,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?

A) A routine medical check-up unrelated to research.
B) A voluntary research study aimed at improving care coordination for adolescents and young adults with cancer.
C) A mandatory government health survey for cancer statistics.
D) A commercial interview for marketing purposes.

Correct answer: B) A voluntary research study aimed at improving care coordination for adolescents and young adults with cancer."
1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""Improving Care Coordination for Adolescents and Young Adults With Cancer: Implementing a Bridge Between Needs and Services""?
A) To provide financial assistance to adolescents and young adults with cancer;
B) To evaluate the effectiveness of a new chemotherapy drug;
C) To gather feedback on an intervention designed to assess and address the needs of adolescents and young adults with cancer;
D) To compare different cancer treatment methods in terms of patient recovery times.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected participation time for an individual in this study?
A) Approximately 60 minutes for a one-time interview; B) Over a period of 6 months; C) For the duration of the cancer treatment; D) One week with daily check-ins

Correct answer: A) Approximately 60 minutes for a one-time interview"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study ""Improving Care Coordination for Adolescents and Young Adults With Cancer""?

A) Participants will be responsible for all medical and research-related costs.
B) Participants will be reimbursed for any costs incurred directly from the study.
C) All study-related costs will be covered by the study, but regular medical care costs will be the participant's responsibility.
D) Participants will have to pay a participation fee to be part of the study.

Correct answer: C) All study-related costs will be covered by the study, but regular medical care costs will be the participant's responsibility."
4,A description of the procedures to be followed,"What will your participation in the study primarily involve?

A) Completing a series of in-person physical examinations at the research facility.
B) Participating in a 60-minute telephone interview to provide feedback on the intervention.
C) Undergoing a series of medical treatments specific to adolescents and young adults with cancer.
D) Attending a focus group discussion with other study participants at the research center.

Correct answer: B) Participating in a 60-minute telephone interview to provide feedback on the intervention."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw from the study?
A) Inform the study investigators and discuss any potential health or safety consequences; B) Continue to participate in the study until it is completed; C) Pay a fee for withdrawing from the study; D) Return any financial compensation received for participating
Correct answer: A"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for the participants?
A) Regular medical care and treatment for cancer; B) The use of a 60-minute telephone interview to gather feedback on the NA-SB intervention; C) Standard psychological evaluations; D) Routine physical examinations for cancer patients

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many individuals are expected to participate in the research study focused on care coordination for adolescents and young adults with cancer?
A) 5; B) 8; C) 12; D) 20
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with participating in the study described in the consent form?
A) Physical side effects from medication; B) Discomfort from medical procedures; C) Breach of confidentiality; D) Financial costs due to participation

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What is the primary benefit mentioned in the consent form for participants providing feedback on the AYA Needs Assessment & Service Bridge (NA-SB)?

A) Participants will receive financial compensation for their time.
B) Participants will directly benefit from improved cancer care services.
C) Participants' feedback will contribute to refining the NA-SB to better address the needs of AYAs and cancer care providers.
D) Participants will receive personal medical advice for their condition.

Correct answer: C) Participants' feedback will contribute to refining the NA-SB to better address the needs of AYAs and cancer care providers."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to participants if they choose not to be involved in the study regarding the AYA Needs Assessment & Service Bridge (NA-SB)?
A) Participants can opt for standard care without the NA-SB intervention; B) Participants will be required to attend in-person counseling sessions; C) Participants will not receive any care or services related to their condition; D) Participants will be enrolled in a different research study focused on AYA cancer care.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","What measures will be taken to ensure the confidentiality of your records in this study?
A) All interviews will be conducted in public settings; B) Research records will be coded and access will be limited to authorized personnel; C) Personal information will be shared on a public website; D) No specific measures are mentioned for confidentiality

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation and medical treatment if a participant is injured during the study?

A) Participants will receive financial compensation and free medical treatment if injured.
B) Participants will not receive financial compensation, but will receive free medical treatment if injured.
C) Participants will not receive financial compensation or medical treatment if injured.
D) The consent form does not specify details about compensation or medical treatment for injuries.

Correct answer: C) Participants will not receive financial compensation or medical treatment if injured."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury or have questions about your rights as a participant in the study, whom should you contact?

A) The principal investigator, Sarah Birken, PhD;
B) The Institutional Review Board (IRB) chairman;
C) The Research Subject Advocate at Wake Forest;
D) Your personal healthcare provider.

Correct answer: B) The Institutional Review Board (IRB) chairman;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form indicate about your right to participate in the study?

A) Participation in the study is mandatory for all eligible individuals.
B) You may choose to participate in the study, but if you refuse, you will lose access to certain medical services.
C) You have the option to participate in the study, and if you decide not to, there will be no penalty or loss of benefits you are entitled to.
D) If you start participating in the study, you are required to complete it without the option to withdraw.

Correct answer: C) You have the option to participate in the study, and if you decide not to, there will be no penalty or loss of benefits you are entitled to."
