,Topics,Questions
0,A statement that the study involves research,"Does the consent form indicate that the activity being conducted is a research study?
A) Yes, it is explicitly stated as a research study.
B) No, the activity is not research-related.
C) It is a commercial product trial, not research.
D) The form does not specify the nature of the activity.

Correct answer: A) Yes, it is explicitly stated as a research study."
1,An explanation of the purposes of the research,"What is the primary goal of the pilot clinical study involving the Untire mobile health app?
A) To evaluate the effectiveness of a new chemotherapy drug; B) To assess the acceptability and preliminary effectiveness of the Untire app for managing cancer-related fatigue; C) To compare different types of physical exercise for cancer recovery; D) To study the long-term effects of cancer treatment on patient mobility

Correct answer: B"
2,The expected duration of the subject's participation,"For how long will the participants' data be stored after the completion of the study according to the consent form?
A) 10 years; B) 5 years; C) 3 years; D) 1 year
Correct answer: B) 5 years"
3,Any additional costs to the subject that may result from participation in the research,"What will be the financial implications for participants who decide to take part in the Untire app pilot clinical study?
A) Participants will have to pay for the use of the Untire app.
B) Participants will incur additional costs for data usage on their mobile device.
C) There are no additional costs mentioned for participants in the study.
D) Participants will be charged for the questionnaires and assessments they complete during the study.

Correct answer: C) There are no additional costs mentioned for participants in the study."
4,A description of the procedures to be followed,"What will happen after you provide consent to participate in the study regarding the use of the Untire app?
A) You will be asked to complete a series of questionnaires and use the app regularly, with data being collected for research purposes.
B) You will receive a physical copy of the Untire app to install on your mobile device.
C) You will be required to attend in-person training sessions for the Untire app at the University of Bath.
D) You will be given access to a premium version of the app that is not available to the public.

Correct answer: A) You will be asked to complete a series of questionnaires and use the app regularly, with data being collected for research purposes."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Untire app study after consenting to participate?
A) You will be required to provide a reason for your withdrawal; B) Your care from the NHS may be affected; C) You will no longer be able to use the Untire app; D) Withdrawing from the study will not affect the quality of care you receive from the NHS.

Correct answer: D"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for the participants?
A) Regular follow-up care with their NHS provider; B) Use of the Untire mobile health application to manage cancer-related fatigue; C) Completion of standard questionnaires regarding their health status; D) Provision of contact details for future research studies.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the pilot clinical study for the Untire mobile health app?
A) 50; B) 100; C) 150; D) The number of participants is not specified in the consent form.
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with participating in the study involving the Untire mobile health app for cancer-related fatigue?
A) Risk of physical side effects from medication; B) Risk of data breach and loss of confidentiality; C) Risk of increased cancer-related fatigue due to app usage; D) Risk of injury from clinical procedures

Correct answer: B) Risk of data breach and loss of confidentiality"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits can participants expect from taking part in the Untire app pilot clinical study?
A) Guaranteed improvement in cancer-related fatigue
B) Possible improvement in managing cancer-related fatigue
C) Financial compensation for participation
D) Immediate medical treatment for cancer

Correct answer: B) Possible improvement in managing cancer-related fatigue"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to participants who choose not to use the Untire app as part of the study?
A) Participants can receive standard NHS care for cancer-related fatigue without the use of the Untire app; B) Participants are required to use a different mobile health intervention; C) Participants will be enrolled in a different clinical trial automatically; D) There are no alternative treatments or interventions offered outside of the study.
Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have access to your identifiable data if you participate in the Untire app study?
A) The general public; B) Only the members of the research team; C) All University of Bath staff; D) Any healthcare provider

Correct answer: B) Only the members of the research team"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form indicate about compensation and medical treatment if a participant is injured during the study?
A) Participants will receive financial compensation and free medical treatment if injured.
B) The consent form does not specify any compensation or medical treatment for injuries.
C) Participants will be directed to NHS services for any injuries sustained.
D) The study will cover all medical expenses related to injuries from the study.

Correct answer: B) The consent form does not specify any compensation or medical treatment for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have any questions about your rights as a participant in this study, or if you experience any research-related injury, whom should you contact?

A) The National Health Service (NHS); B) The Chief Investigator, Emil Vuillermoz; C) The University of Bath's general inquiries; D) The Research Ethics Committee (REC)

Correct answer: B) The Chief Investigator, Emil Vuillermoz"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide to withdraw from the Untire app study after initially agreeing to participate?
A) You will receive a penalty for withdrawing.
B) Your care from the NHS will be negatively impacted.
C) You can withdraw at any time without any impact on the quality of care you receive from the NHS.
D) You will lose benefits to which you are otherwise entitled.

Correct answer: C) You can withdraw at any time without any impact on the quality of care you receive from the NHS."
