,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the VK-2019 study according to the consent form?
A) The study is a non-research clinical evaluation of a widely used medication for EBV-associated cancers.
B) The study is a Phase 2, open-label research trial investigating a novel treatment for EBV-positive nasopharyngeal cancer and other EBV-associated cancers.
C) The study is a routine medical procedure that involves standard treatment for nasopharyngeal cancer without any research components.
D) The study is a survey-based research project focusing on patient satisfaction with existing EBV cancer treatments.

Correct answer: B) The study is a Phase 2, open-label research trial investigating a novel treatment for EBV-positive nasopharyngeal cancer and other EBV-associated cancers."
1,An explanation of the purposes of the research,"What is the primary purpose of the research study involving VK-2019?
A) To assess the long-term side effects of VK-2019 in healthy volunteers; B) To evaluate the anti-cancer effect of VK-2019 in patients with EBV-related nasopharyngeal cancer for whom no standard treatment is available; C) To compare the effectiveness of VK-2019 with traditional chemotherapy treatments; D) To study the impact of VK-2019 on blood pressure and cardiovascular health
Correct answer: B"
2,The expected duration of the subject's participation,"How long is the treatment period for participants in this study?
A) Up to 6 months; B) Up to 12 months; C) Up to 18 months; D) Up to 24 months
Correct answer: B) Up to 12 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs associated with participating in the VK-2019 clinical trial?
A) Participants will receive a stipend for each study visit.
B) Participants will be responsible for all medical and travel costs associated with the study.
C) The study will cover costs that are not part of routine medical care, but participants may incur additional costs such as transportation.
D) Health insurance is provided by the study to cover any additional costs incurred by participants.

Correct answer: C) The study will cover costs that are not part of routine medical care, but participants may incur additional costs such as transportation."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures that participants will undergo during the study treatment period?
A) Participants will receive VK-2019 intravenously once a week for 12 cycles.
B) Participants will be asked to take VK-2019 orally once daily for up to 12 cycles, each cycle lasting 28 days.
C) Participants will be required to stay in the hospital for continuous observation throughout the 12 cycles of treatment.
D) Participants will undergo a surgical procedure to implant a device for VK-2019 administration.

Correct answer: B) Participants will be asked to take VK-2019 orally once daily for up to 12 cycles, each cycle lasting 28 days."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you decide to withdraw from the study at any point after consenting to participate?
A) You will be required to pay for all study-related costs incurred up to the point of withdrawal; B) You may be asked to continue participating in certain study procedures for data integrity; C) Your decision to withdraw will not affect your future medical care or entitlement to benefits; D) You will be obligated to continue the study until the next scheduled assessment.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Routine blood pressure and temperature checks; B) Administration of the drug VK-2019; C) Standard chemotherapy treatments; D) Regular physical examinations

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants is the research study aiming to enroll for the trial of the novel small molecule EBNA1 inhibitor, VK 2019?
A) 10; B) 20; C) 30; D) 40
Correct answer: C) 30"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the study drug VK-2019 as described in the consent form?
A) Temporary hair loss; B) Severe allergic reaction; C) Increased risk of diabetes; D) Memory impairment

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the VK-2019 study for Epstein Barr Virus positive cancers?
A) Participants will definitely experience a reduction in cancer growth.
B) Participants will receive financial compensation for contributing to the advancement of medical knowledge.
C) Participants may or may not directly benefit from the study, but the information gathered may help in the development of future treatments.
D) Participants are guaranteed to receive new and effective treatment for their condition as a result of the study.

Correct answer: C) Participants may or may not directly benefit from the study, but the information gathered may help in the development of future treatments."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative options available to you instead of participating in the VK-2019 clinical trial for Epstein Barr Virus positive nasopharyngeal cancer?
A) Participating in a different clinical trial; B) Receiving standard chemotherapy, targeted therapy, or immunotherapy; C) Opting for no treatment at all; D) Choosing comfort or palliative care
Correct answer: B"
