,Topics,Questions
0,A statement that the study involves research,"Which of the following statements accurately reflects the nature of the study described in the consent form?
A) The study is a routine medical treatment for prostate cancer.
B) The study is a research trial investigating the effects of olaparib on prostate cancer with certain genetic changes.
C) The study is a survey on patient satisfaction with prostate cancer care.
D) The study is a commercial promotion for a new prostate cancer medication.

Correct answer: B) The study is a research trial investigating the effects of olaparib on prostate cancer with certain genetic changes."
1,An explanation of the purposes of the research,"What is the primary objective of the research study involving Olaparib for prostate cancer patients?
A) To compare the effectiveness of Olaparib with standard chemotherapy treatments; B) To assess the long-term side effects of Olaparib in a general population; C) To determine the clinical effects of Olaparib in men with metastatic castration-resistant prostate cancer with specific genetic changes; D) To evaluate the cost-effectiveness of Olaparib for treating all types of prostate cancer.
Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected participation duration for a subject in the Olaparib prostate cancer study, including treatment and follow-up?
A) Up to 1 year; B) Up to 2 years; C) Up to 3 years; D) Up to 5 years
Correct answer: B) Up to 2 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs that may be incurred by participating in the research study?

A) Participants will be charged for the study drug, olaparib.
B) Participants will have to pay for research bone marrow procedure or testing.
C) Participants may have extra costs such as staff and equipment to administer study drugs, standard doctor visits, lab tests, and extra tests outside of standard care.
D) There are no additional costs associated with participating in the study.

Correct answer: C) Participants may have extra costs such as staff and equipment to administer study drugs, standard doctor visits, lab tests, and extra tests outside of standard care."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the procedures that participants will undergo during the study for ""Olaparib in Prostate Cancer Patients with Evidence of Homologous Recombination Deficiency""?

A) Participants will only be required to take olaparib once daily and provide blood samples at the beginning and end of the study.
B) Participants will be asked to take olaparib twice daily, provide blood samples, and undergo regular imaging procedures such as bone scans and CAT scans.
C) Participants will undergo a surgical procedure to remove their prostate as part of the study's treatment regimen.
D) Participants will receive a one-time high-dose radiation treatment in addition to taking olaparib.

Correct answer: B) Participants will be asked to take olaparib twice daily, provide blood samples, and undergo regular imaging procedures such as bone scans and CAT scans."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen to your participation in the study if you decide to withdraw?
A) You will be required to reimburse the cost of the olaparib provided to you; B) Your medical care outside of the study will be adversely affected; C) Your previously collected information will remain in the study records and cannot be removed; D) You will be prohibited from seeking medical care for your condition in the future.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures in the study is considered experimental for the treatment of prostate cancer patients with evidence of homologous recombination deficiency?
A) Standard hormonal therapies for prostate cancer;
B) Administration of olaparib twice daily to study its clinical effects;
C) Routine CT scans and bone scans to monitor the progression of the disease;
D) Use of condoms and other contraceptive methods during the study period.

Correct answer: B) Administration of olaparib twice daily to study its clinical effects."
7,The approximate number of subjects involved in the study,"How many men with castration-resistant prostate cancer will be enrolled in the study?
A) 10; B) 20; C) 30; D) 40
Correct answer: C) 30"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the treatment of olaparib in this study?
A) Increased risk of common cold
B) Temporary hair color change
C) Development of acute myeloid leukemia
D) Immediate skin tanning effect

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the Olaparib prostate cancer study?
A) Guaranteed cure for prostate cancer
B) Guaranteed reduction in prostate cancer symptoms
C) Potential to experience a Prostate Specific Antigen (PSA) decline and contribute to future cancer research
D) Financial compensation for participation

Correct answer: C) Potential to experience a Prostate Specific Antigen (PSA) decline and contribute to future cancer research"
