,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best reflects the nature of the activity described in the consent form?
A) The activity is a routine medical procedure with no research component.
B) The activity is a commercial product trial for immediate market release.
C) The activity is a research study comparing two methods of sample removal after laparoscopic surgery.
D) The activity is a mandatory government health assessment with no research purpose.

Correct answer: C) The activity is a research study comparing two methods of sample removal after laparoscopic surgery."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new drug for kidney function; B) To compare the recovery times between different surgical methods; C) To assess the feasibility of transvaginal specimen extraction versus traditional abdominal incision methods after laparoscopic kidney surgery; D) To test a new laparoscopic equipment design

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the total duration of participation for each subject in this study?
A) 6 months; B) 2 years; C) 1 year; D) 3 months
Correct answer: A) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"What is the expected additional cost that the patient will have to bear for participating in the study?
A) About 38,000 won, which will be covered by the research cost
B) About 150,000 won, which will be covered by the patient's insurance
C) No additional costs are expected for the patient
D) Variable costs depending on the instruments and drugs used during surgery

Correct answer: A) About 38,000 won, which will be covered by the research cost"
4,A description of the procedures to be followed,"What is the procedure for participants who are eligible and decide to participate in the study regarding sample removal after laparoscopic resection of the kidney?

A) Participants will undergo a gynecological examination to determine eligibility for transvaginal sample removal, and if eligible, they will be assigned to either the transvaginal or transabdominal sample removal group.
B) All participants will automatically have their samples removed through the vagina without the need for a gynecological examination.
C) Participants will have their samples removed through an additional abdominal incision without the option of transvaginal extraction.
D) Participants will choose their preferred method of sample removal after the laparoscopic resection of the kidney.

Correct answer: A) Participants will undergo a gynecological examination to determine eligibility for transvaginal sample removal, and if eligible, they will be assigned to either the transvaginal or transabdominal sample removal group."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any point after consenting to participate?
A) You will be required to pay for all medical costs incurred during the study; B) You may be subject to medical treatment disadvantages; C) You will not face any disadvantages or damages for your medical treatment; D) The research team will continue to use your data without your consent.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Laparoscopic resection of large organs such as kidneys;
B) Removal of resected organ samples through an additional abdominal incision;
C) Transvaginal extraction of laparoscopically-excised kidney specimen;
D) Gynecological examination prior to surgery.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants will be enrolled in the clinical study comparing transvaginal versus transabdominal extraction of laparoscopically-excised kidney specimens?
A) 50; B) 100; C) 180; D) 200
Correct answer: C) 180"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are some of the potential risks or discomforts associated with the sample removal method through the vagina after laparoscopic resection of the kidney as described in the consent form?
A) Increased risk of long-term chronic pain; B) Possibility of vascular or organ damage during surgery; C) Risk of severe allergic reactions to anesthesia; D) High likelihood of significant blood loss leading to transfusion

Correct answer: B) Possibility of vascular or organ damage during surgery"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to the subject for participating in the study?
A) Guaranteed improvement in postoperative recovery
B) Direct financial compensation for participation
C) A promise of personal health benefits from the new procedure
D) Automatic exemption from all medical costs related to the surgery

Correct answer: B) Direct financial compensation for participation"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the study, what is the standard procedure for removing the resected organ after laparoscopic surgery?
A) The organ is left in place and not removed; 
B) The organ is removed through a natural orifice without any incision;
C) The organ is removed through an additional abdominal incision of 5-7 cm;
D) The organ is dissolved using medication and absorbed by the body.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who is authorized to access your medical records for the purpose of verifying clinical trial procedures and data according to the new consent form?
A) Only the research team conducting the study;
B) Monitoring personnel, inspectors, review committees, and the Minister of Food and Drug Safety;
C) Family members of the participant;
D) All hospital staff regardless of their involvement in the study.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state regarding compensation for potential injury during the study?
A) Participants will receive full compensation for any injuries sustained during the study.
B) Participants will not receive any compensation for injuries related to the study.
C) The study will cover additional medical consultation costs, but there is no separate compensation for possible complications caused by laparoscopic surgery.
D) All medical costs, including those for injury treatment, will be covered by the study.

Correct answer: C) The study will cover additional medical consultation costs, but there is no separate compensation for possible complications caused by laparoscopic surgery."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any adverse effects or have concerns about the research study, whom should you contact first?
A) The IRB (Bioethics Review Committee) or Subject Protection Center; B) The responsible researcher or co-researcher; C) Your family physician; D) The Minister of Food and Drug Safety

Correct answer: B) The responsible researcher or co-researcher"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form indicate about your ability to withdraw from the study?
A) You may withdraw at any time, but you will lose access to certain medical treatments.
B) You may withdraw at any time, and this will not affect your access to medical treatments you are otherwise entitled to.
C) You cannot withdraw once you have agreed to participate in the study.
D) Withdrawing from the study will result in a financial penalty.

Correct answer: B) You may withdraw at any time, and this will not affect your access to medical treatments you are otherwise entitled to."
