,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the BMT CTN 1902 study?
A) The study is a non-research commercial program.
B) The study is a Phase II Multicenter Trial that is not considered research.
C) The study is a Phase II Multicenter Trial and involves research.
D) The study is solely for educational purposes and does not involve research.

Correct answer: C) The study is a Phase II Multicenter Trial and involves research."
1,An explanation of the purposes of the research,"What is the primary goal of the BMT CTN 1902 research study?
A) To evaluate the long-term effects of standard blood pressure medication; B) To assess the effectiveness of a new exercise program for multiple myeloma patients; C) To determine if CAR T-cell therapy combined with lenalidomide maintenance therapy can delay the recurrence of multiple myeloma; D) To compare the outcomes of autologous and allogeneic hematopoietic cell transplantation

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the BMT CTN 1902 study?
A) Approximately 15 months
B) 6 months
C) 24 months
D) 30 months

Correct answer: A) Approximately 15 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs incurred by the subject for participating in the BMT CTN 1902 study?
A) The subject will be responsible for all medical costs associated with the study.
B) The subject will receive payment for participating in the study.
C) The subject will not have to pay for the chemotherapy, CAR T-cell therapy, and maintenance therapy provided by the study.
D) The subject will be reimbursed for travel and meal expenses during the study.

Correct answer: C) The subject will not have to pay for the chemotherapy, CAR T-cell therapy, and maintenance therapy provided by the study."
4,A description of the procedures to be followed,"Which of the following is a correct sequence of procedures that a participant will undergo as part of the BMT CTN 1902 study?
A) Initial medical tests, leukapheresis, CAR T-cell therapy, chemotherapy, maintenance therapy with lenalidomide
B) Leukapheresis, initial medical tests, chemotherapy, CAR T-cell therapy, maintenance therapy with lenalidomide
C) Initial medical tests, chemotherapy, leukapheresis, CAR T-cell therapy, maintenance therapy with lenalidomide
D) Initial medical tests, chemotherapy, CAR T-cell therapy, leukapheresis, maintenance therapy with lenalidomide

Correct answer: C) Initial medical tests, chemotherapy, leukapheresis, CAR T-cell therapy, maintenance therapy with lenalidomide"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the BMT CTN 1902 study at any time?
A) You will be required to reimburse the cost of the treatments you received; B) Your decision to withdraw will not affect your current or future medical care; C) You will not be allowed to participate in any other clinical trials in the future; D) You will have to continue the study treatments outside of the study context.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the BMT CTN 1902 study?
A) Standard maintenance therapy with lenalidomide;
B) Use of chemotherapy drugs fludarabine and cyclophosphamide;
C) Collection of blood cells through leukapheresis for standard diagnostic purposes;
D) Administration of bb2121 CAR T-cell therapy following autologous hematopoietic cell transplantation.

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the BMT CTN 1902 study?
A) 20; B) 30; C) 40; D) 50
Correct answer: C) 40"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the CAR T-cell therapy described in the BMT CTN 1902 study?
A) Temporary hair loss; B) Increased risk of common cold; C) Cytokine Release Syndrome (CRS); D) Improved immune system function

Correct answer: C) Cytokine Release Syndrome (CRS)"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the BMT CTN 1902 study for patients with multiple myeloma?
A) Guaranteed cure of multiple myeloma
B) Financial compensation for participation
C) Possibility of delaying the return of multiple myeloma
D) Immediate improvement in overall health status

Correct answer: C) Possibility of delaying the return of multiple myeloma"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available if a patient chooses not to participate in the BMT CTN 1902 study?
A) Standard chemotherapy without the addition of CAR T-cell therapy; B) Immediate enrollment in a different clinical trial; C) Only symptomatic treatment without addressing the underlying multiple myeloma; D) Other medicines, radiation, or a combination of medicines and radiation, or joining another clinical trial
Correct answer: D"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following entities are authorized to access your personal health information for the BMT CTN 1902 study, as per the consent form? Select all that apply.
A) Your local gym's health and wellness staff
B) The National Marrow Donor Program (NMDP)
C) The Food and Drug Administration (FDA)
D) Celgene, the company that makes lenalidomide and bb2121 CAR T-cell therapy
E) Social media platforms for advertising purposes

Correct answer: B, C, D"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If a participant suffers an injury as a direct result of the study drug, what will the study sponsor, Celgene Corporation, provide?
A) Full compensation for all medical and non-medical expenses
B) Reimbursement for reasonable and necessary medical expenses related to emergency care, hospitalization, diagnosis, and treatment
C) A fixed monetary compensation regardless of the actual costs incurred
D) No compensation or reimbursement for any medical expenses

Correct answer: B) Reimbursement for reasonable and necessary medical expenses related to emergency care, hospitalization, diagnosis, and treatment"
