,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical treatment for headaches after concussion.
B) A Phase II Randomized Controlled Double-Blind Clinical Trial for headache treatment after concussion.
C) A general survey about headache prevalence in the general population.
D) An educational seminar on the management of concussion symptoms.

Correct answer: B) A Phase II Randomized Controlled Double-Blind Clinical Trial for headache treatment after concussion."
1,An explanation of the purposes of the research,"What is the primary objective of the research study titled ""A Phase II Randomized Controlled Double-Blind Clinical Trial of Sphenopalatine Ganglion Blocks for Headache after Concussion""?
A) To compare the effectiveness of two different surgical procedures for treating concussions;
B) To assess the safety and efficacy of sphenopalatine ganglion blocks in improving headaches after a concussion;
C) To determine the long-term effects of concussion on cognitive function;
D) To evaluate the use of over-the-counter medications in the treatment of post-concussion symptoms.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the ""A Phase II Randomized Controlled Double-Blind Clinical Trial of Sphenopalatine Ganglion Blocks for Headache after Concussion"" study?
A) 1 week
B) 2 weeks
C) 1 month
D) 3 months

Correct answer: B) 2 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject that may result from participation in the research study ""A Phase II Randomized Controlled Double-Blind Clinical Trial of Sphenopalatine Ganglion Blocks for Headache after Concussion""?

A) Participants will be responsible for all medical costs associated with the study, including the sphenopalatine ganglion block procedure.
B) The study will cover all costs, and participants will not incur any additional expenses.
C) Participants or their health plan will pay for regular care costs, but the study will cover research-related items or services.
D) Participants will be billed for travel and accommodation expenses related to study visits.

Correct answer: C) Participants or their health plan will pay for regular care costs, but the study will cover research-related items or services."
4,A description of the procedures to be followed,"What will participants be required to do as part of the study procedures according to the new consent form?
A) Attend weekly in-person therapy sessions for six months.
B) Complete a short online survey daily for a two-week period and attend one research study visit for the sphenopalatine ganglion block procedure.
C) Undergo a surgical procedure to implant a medical device.
D) Participate in a monthly group discussion about concussion symptoms for a year.

Correct answer: B) Complete a short online survey daily for a two-week period and attend one research study visit for the sphenopalatine ganglion block procedure."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Sphenopalatine Ganglion Blocks for Headache after Concussion"" study before its completion?
A) You will be required to pay a penalty fee for early withdrawal; 
B) You will lose access to all medical care provided by the University of Michigan;
C) You will not face any penalties and will retain your entitled benefits;
D) Your health insurance will be canceled as a result of your withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures in the study is considered experimental?
A) Standard medical care for concussion as directed by your doctor
B) Daily online surveys about headache symptoms and severity
C) Sphenopalatine ganglion block with either lidocaine or placebo saline solution
D) Follow-up appointments at the concussion clinic

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the ""A Phase II Randomized Controlled Double-Blind Clinical Trial of Sphenopalatine Ganglion Blocks for Headache after Concussion"" study?
A) 10; B) 24; C) 50; D) 100
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the ""Sphenopalatine Ganglion Blocks for Headache after Concussion"" study?
A) Temporary relief of headache symptoms; B) Temporary numbness of the nose and throat; C) Guaranteed improvement in concussion recovery; D) Permanent alteration of taste sensation

Correct answer: B) Temporary numbness of the nose and throat"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the ""Sphenopalatine Ganglion Blocks for Headache after Concussion"" study?

A) Participants will definitely experience relief from their concussion-related headaches.
B) Participants may or may not experience improvements in headache after concussion, and the results could help establish new treatments for headaches due to concussion in the future.
C) Participants will receive financial compensation for the complete cure of their concussion-related headaches.
D) Participants are guaranteed to benefit from the new treatment being tested in the study.

Correct answer: B) Participants may or may not experience improvements in headache after concussion, and the results could help establish new treatments for headaches due to concussion in the future."
