,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the ACTIVATE study as presented in the consent form?
A) The ACTIVATE study is a routine clinical treatment for breast cancer survivors.
B) The ACTIVATE study is a research project designed to evaluate an exercise program for breast cancer survivors.
C) The ACTIVATE study is a commercial fitness program targeting the general public.
D) The ACTIVATE study is a mandatory medical intervention for breast cancer treatment.

Correct answer: B) The ACTIVATE study is a research project designed to evaluate an exercise program for breast cancer survivors."
1,An explanation of the purposes of the research,"What is the primary goal of the ACTIVATE study?
A) To test the effectiveness of a new medication for breast cancer survivors; B) To evaluate the feasibility and acceptability of a 24-week exercise program for female breast cancer survivors; C) To compare different dietary plans for improving fitness; D) To assess the impact of social support on recovery after breast cancer treatment

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total duration of the ACTIVATE study for each participant?
A) 3 months; B) 24 weeks; C) 1 year; D) 30 days
Correct answer: B) 24 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs you may incur as a participant in the ACTIVATE study?
A) Participants will be billed for study-related activities.
B) Participants will receive compensation for travel costs and parking when applicable.
C) Participants will have to purchase their own exercise equipment for the study.
D) Participants will be responsible for the cost of the Fitbit provided for physical activity tracking.

Correct answer: B) Participants will receive compensation for travel costs and parking when applicable."
4,A description of the procedures to be followed,"What will participants in the ACTIVATE study be asked to do during the 6-Month assessment visit?
A) Complete an MRI scan and a CPET test.
B) Attend a detailed orientation session about the exercise program.
C) Participate in a final group exercise session via videoconferencing.
D) Undergo a surgical procedure related to their previous breast cancer treatment.

Correct answer: A) Complete an MRI scan and a CPET test."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ACTIVATE study after consenting to participate?
A) You will be required to pay for any study-related activities you participated in; B) You will lose access to medical treatment at the University of Washington; C) You may withdraw at any time without penalty or loss of benefits to which you are otherwise entitled; D) You will be obligated to continue the exercise program independently.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following components of the ACTIVATE study is considered experimental?
A) Standard medical vital signs collection; B) The 24-week exercise program with videoconferencing sessions; C) Filling out surveys about general wellbeing and health habits; D) Receiving a detailed 24-week exercise plan after the study ends

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants will the ACTIVATE study enroll?
A) 50 participants; B) 100 participants; C) 150 participants; D) 200 participants

Correct answer: B) 100 participants"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the ACTIVATE study?
A) Severe allergic reactions to the exercise equipment; B) Mild muscle soreness from the 1 Rep Max activity; C) Long-term memory loss; D) Immediate disqualification from future medical treatments

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit mentioned in the ACTIVATE study consent form for participants who complete the exercise program?
A) Guaranteed cure for breast cancer
B) Financial compensation for participation
C) Improvement in professional athletic performance
D) Mild physical health benefit from regular exercise

Correct answer: D"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the ACTIVATE study, what alternative option is recommended for increasing your physical activity?
A) Enrolling in a different clinical trial focused on dietary changes; 
B) Consulting with your doctor or healthcare provider to start and maintain an exercise routine; 
C) There are no alternatives provided; 
D) Immediate enrollment in the exercise program without participating in the study.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be protected if you participate in the ACTIVATE study?
A) Your personal information will be shared publicly on the study's website.
B) Your personal information will be linked to your name and stored in an unsecured database.
C) Your personal information will be assigned an identification number and stored in an encrypted, password-protected, HIPAA-compliant secured network.
D) Your personal information will be disclosed to commercial entities for marketing purposes.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If a participant believes they have been harmed from participating in the ACTIVATE study, what are they instructed to do according to the consent form?
A) Contact the Human Subjects Division immediately for compensation.
B) Seek legal advice to file a lawsuit against the University of Washington.
C) Contact Kerryn Reding, the Principal Investigator, to report the incident.
D) The consent form does not provide instructions for what to do in case of harm.

Correct answer: C) Contact Kerryn Reding, the Principal Investigator, to report the incident."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any harm from participating in the ACTIVATE study, whom should you contact?

A) The Human Subjects Division at the University of Washington;
B) Kerryn Reding, the Principal Investigator of the study;
C) The National Cancer Institute;
D) Your personal healthcare provider.

Correct answer: B) Kerryn Reding, the Principal Investigator of the study."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your ability to withdraw from the ACTIVATE study?

A) Withdrawing from the study will result in a penalty.
B) You may withdraw at any time without any impact on your entitled benefits.
C) If you withdraw, you will lose access to certain medical treatments.
D) Withdrawal from the study requires payment of a fee.

Correct answer: B) You may withdraw at any time without any impact on your entitled benefits."
