,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) It is a routine medical treatment with no research components.
B) It is a commercial promotion for a new medication.
C) It is a research study investigating a potential new use for an existing medication.
D) It is a voluntary survey without any medical interventions.

Correct answer: C) It is a research study investigating a potential new use for an existing medication."
1,An explanation of the purposes of the research,"What is the primary objective of the research study described in the consent form?
A) To evaluate the effectiveness of a new exercise program for pancreatic cancer patients; B) To assess the safety and potential benefits of dapagliflozin when added to standard chemotherapy for pancreatic cancer; C) To compare the outcomes of different chemotherapy drugs in treating type 2 diabetes; D) To investigate the use of a ketogenic diet in conjunction with chemotherapy for cancer patients.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total duration of participation for a subject in the pancreatic cancer treatment study, including treatment and follow-up?
A) 6 weeks; B) 8 weeks of treatment plus 4 months of follow-up; C) 3 months; D) 1 year

Correct answer: B) 8 weeks of treatment plus 4 months of follow-up"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding potential additional costs to you as a participant in the pancreatic cancer study?

A) You will receive a stipend to cover any additional costs incurred during the study.
B) You will be responsible for any co-pays and deductibles required by your health plan/insurance for procedures that are part of the study.
C) All costs associated with the study will be billed directly to the research team, and you will not have any financial responsibility.
D) Participation in the study will automatically cover all your medical expenses outside of the study.

Correct answer: B) You will be responsible for any co-pays and deductibles required by your health plan/insurance for procedures that are part of the study."
4,A description of the procedures to be followed,"What is the correct sequence of procedures that a participant will undergo during the study?

A) Initial screening, daily BIOSENSE ketone breath monitoring, weekly phone check-ins, and follow-up assessments every 2 weeks for 4 months.
B) Weekly phone check-ins, daily BIOSENSE ketone breath monitoring, initial screening, and monthly follow-up assessments for 8 weeks.
C) Initial screening, weekly phone check-ins, daily BIOSENSE ketone breath monitoring, and follow-up assessments every 2 weeks for the first month and then every 4 weeks for 3 months.
D) Monthly follow-up assessments for 8 weeks, initial screening, daily BIOSENSE ketone breath monitoring, and weekly phone check-ins.

Correct answer: C) Initial screening, weekly phone check-ins, daily BIOSENSE ketone breath monitoring, and follow-up assessments every 2 weeks for the first month and then every 4 weeks for 3 months."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw from the pancreatic cancer study early?
A) Inform the study team immediately and discuss any potential risks with your doctor;
B) Stop taking the study medication without notifying anyone;
C) Continue taking the study medication until it runs out;
D) Wait until the study is completed before informing the study team of your decision to withdraw.

Correct answer: A) Inform the study team immediately and discuss any potential risks with your doctor;"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Standard chemotherapy with Gemzar and Abraxane; B) Taking dapagliflozin in conjunction with standard chemotherapy; C) Routine blood and urine tests to check organ function; D) Physical exams every two weeks

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the pancreatic cancer treatment study?
A) 10; B) 18; C) 25; D) 30

Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the drug dapagliflozin, as described in the consent form for the pancreatic cancer study?
A) Increased risk of common cold
B) Dehydration leading to dizziness or lightheadedness
C) Heightened sensitivity to sunlight
D) Increased appetite and weight gain

Correct answer: B) Dehydration leading to dizziness or lightheadedness"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the pancreatic cancer treatment study involving dapagliflozin?

A) Guaranteed cure for pancreatic cancer
B) Direct financial compensation for participation
C) Possible future benefits for others with pancreatic cancer through new treatment insights
D) Immediate improvement in overall health unrelated to cancer

Correct answer: C) Possible future benefits for others with pancreatic cancer through new treatment insights"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available to you if you choose not to participate in the study?
A) Continuing with standard chemotherapy without the addition of dapagliflozin; B) Enrolling in a different research study; C) Opting for no treatment at all; D) Seeking palliative or comfort care
Correct answer: A, B, C, D"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements is true regarding the confidentiality of your records in this study?
A) Your identity will be shared publicly along with the study results.
B) Your personal health information will be available to the research team and may be shared with government representatives and other specified entities.
C) All your health information will be de-identified before being used in the study.
D) Your social security number will be published alongside the study findings for verification purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you suffer an injury as a direct result of participating in this study, what should you do and what kind of support can you expect from the research team?
A) Contact the investigator immediately and seek medical care; no support or compensation is provided.
B) Contact the investigator immediately; the research team will try to reduce, control, and treat any complications, but no financial compensation is arranged.
C) Do not contact the investigator; seek medical care independently and bear all the costs.
D) Contact the investigator immediately; financial compensation and free medical treatment will be provided for any study-related injuries.

Correct answer: B) Contact the investigator immediately; the research team will try to reduce, control, and treat any complications, but no financial compensation is arranged."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you contact immediately?

A) The National Institutes of Health (NIH); B) The Human Research Protection Office; C) The Principal Investigator, Dr. Kian-Huat Lim; D) Your personal physician

Correct answer: C) The Principal Investigator, Dr. Kian-Huat Lim"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does it mean for your participation in the study to be voluntary?
A) You are required to participate and may face penalties if you choose not to participate.
B) You have been automatically enrolled in the study and must complete it.
C) You have chosen to participate on your own free will and can withdraw at any time without penalties.
D) You will receive additional benefits from your healthcare provider for participating.

Correct answer: C) You have chosen to participate on your own free will and can withdraw at any time without penalties."
