,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the TOPS for African American Breast Cancer Survivors study?

A) The study is a routine check-up program that does not involve any research.
B) The study is a commercial weight loss program that is being marketed to the public.
C) The study is a research project investigating the feasibility and acceptability of a weight loss program among African American breast cancer survivors.
D) The study is a mandatory health intervention for African American breast cancer survivors.

Correct answer: C) The study is a research project investigating the feasibility and acceptability of a weight loss program among African American breast cancer survivors."
1,An explanation of the purposes of the research,"What is the primary objective of the TOPS research study for African American breast cancer survivors?
A) To evaluate the effectiveness of a new breast cancer treatment; B) To assess the feasibility and acceptability of a community-based weight loss program; C) To study the impact of peer-led support groups on mental health; D) To compare different types of breast cancer medications

Correct answer: B"
2,The expected duration of the subject's participation,"For how long will participants be actively involved in the TOPS weight loss study?
A) 3 months; B) 6 months; C) 9 months; D) 12 months
Correct answer: D) 12 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs incurred by participants in the TOPS for African American Breast Cancer Survivors study?

A) Participants will have to pay for their own transportation to the Duke facility for weigh-ins.
B) Participants will be responsible for the annual membership fee of the TOPS program.
C) There are no additional costs to participants for being in the study, as the study covers the TOPS program membership fee.
D) Participants will need to purchase their own digital scales for at-home weigh-ins.

Correct answer: C) There are no additional costs to participants for being in the study, as the study covers the TOPS program membership fee."
4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants will follow as part of the TOPS weight loss program for the study?

A) Participants will attend monthly in-person group meetings and receive a digital scale for at-home weigh-ins.
B) Participants will attend weekly virtual group meetings, receive a digital scale for at-home weigh-ins, and have in-person weight checks at specified intervals.
C) Participants will only have in-person weight checks with the study team at the beginning and end of the study, with no other interactions.
D) Participants will be required to attend daily group meetings and submit weekly written reports on their weight loss progress.

Correct answer: B) Participants will attend weekly virtual group meetings, receive a digital scale for at-home weigh-ins, and have in-person weight checks at specified intervals."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw from the TOPS for African American Breast Cancer Survivors study?
A) Continue to attend the study visits for measurements without participating in other activities;
B) Contact Dr. Nia S. Mitchell in writing to inform her of your decision to withdraw;
C) Pay back any compensation you have received for participating in the study;
D) Immediately stop using the digital scale provided by the study.

Correct answer: B) Contact Dr. Nia S. Mitchell in writing to inform her of your decision to withdraw."
6,Identification of any procedures which are experimental,"Which aspect of the TOPS for African American Breast Cancer Survivors study is considered experimental?
A) Regular check-ups with the participant's primary healthcare provider
B) Participation in weekly group virtual meetings discussing weight management
C) Use of a digital scale for at-home weigh-ins provided by the study
D) Evaluation of the feasibility and acceptability of the TOPS program through participant feedback and weight change monitoring

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the TOPS for African American Breast Cancer Survivors study?
A) 25; B) 50; C) 75; D) 100

Correct answer: B) 50"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk identified for participants with diabetes in the TOPS study for African American Breast Cancer Survivors?
A) Increased risk of cancer recurrence; B) Episodes of low blood sugar; C) Development of insulin resistance; D) Increased risk of heart disease
Correct answer: B) Episodes of low blood sugar"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may experience by taking part in the TOPS weight loss program study for African American Breast Cancer Survivors?

A) Guaranteed weight loss and cure of Type II diabetes
B) Possible weight loss and improvement in medical conditions such as hypertension
C) Automatic enrollment in a paid gym membership
D) Free medical treatment for any injuries sustained during the study

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What is an alternative to participating in the TOPS weight loss program for African American breast cancer survivors?
A) Joining a local gym and creating a personal fitness plan; B) Enrolling in a different weight loss program; C) Undergoing surgical weight loss procedures; D) There are no alternatives offered

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your confidentiality will be maintained in the TOPS for African American Breast Cancer Survivors study?
A) Your identity will be shared with all study participants during group meetings.
B) Your personal information will be kept in a locked file cabinet in a secured area and protected by a Certificate of Confidentiality.
C) All audio recordings and transcripts from the virtual focus group will include your full name and contact details.
D) The study team is not obligated to take any measures to protect your private information.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in the TOPS for African American Breast Cancer Survivors study, what does the study provide in terms of compensation or medical treatment?

A) The study will provide free medical care and compensation for injuries sustained during the study.
B) The study will provide immediate necessary medical care at Duke University Medical Center, but there is no commitment to provide monetary compensation or free medical care.
C) The study will compensate for injuries with additional payments beyond the study compensation.
D) The study will refer you to an external healthcare provider and cover all associated costs.

Correct answer: B) The study will provide immediate necessary medical care at Duke University Medical Center, but there is no commitment to provide monetary compensation or free medical care."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you contact for immediate medical care?

A) Your personal physician; B) The Duke University Health System Institutional Review Board (IRB) Office; C) Dr. Nia S. Mitchell during regular business hours, after-hours, weekend, and holidays; D) The National Cancer Institute (NCI)

Correct answer: C) Dr. Nia S. Mitchell during regular business hours, after-hours, weekend, and holidays"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the TOPS for African American Breast Cancer Survivors study or if you choose to withdraw from the study at any point?

A) You will incur a penalty and may lose some benefits.
B) You will not face any penalties or lose benefits to which you are otherwise entitled.
C) Your healthcare provider will be notified and you may receive limited care.
D) You will be required to reimburse the cost of the TOPS program membership.

Correct answer: B) You will not face any penalties or lose benefits to which you are otherwise entitled."
