,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?
A) A commercial product survey
B) A routine medical check-up
C) A research study
D) A community service program

Correct answer: C"
1,An explanation of the purposes of the research,"What is the primary objective of the Cope 360 app being studied in this research?
A) To provide entertainment for caregivers; B) To assist caregivers with symptom tracking, medication management, and emergency preparedness; C) To monitor the physical activity of caregivers; D) To serve as a communication platform between caregivers and non-medical support services

Correct answer: B"
2,The expected duration of the subject's participation,"How long are participants expected to use the Cope 360 app as part of the study?
A) 3 months; B) 6 months; C) 12 months; D) Throughout the child's cancer treatment
Correct answer: B) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs for participating in the Cope 360 for Caregivers of Children with Cancer study?
A) Participants will have to pay for the Cope 360 app if they are placed in the experimental group.
B) Participants may incur costs related to data usage on their personal smartphone when using the Cope 360 app.
C) Participants will be charged for completing the surveys at 1, 3, and 6 months.
D) There are no additional costs to participants for being part of the study.

Correct answer: B) Participants may incur costs related to data usage on their personal smartphone when using the Cope 360 app."
4,A description of the procedures to be followed,"What steps will you be required to take if you are selected to participate in the Cope 360 study for caregivers of children with cancer?

A) Download the Cope 360 app onto your personal smartphone, use it for a 6-month period, and participate in surveys at 1, 3, and 6 months.
B) Attend weekly in-person meetings at Riley Hospital for Children to discuss the app's features and provide feedback.
C) Undergo a medical examination to determine your suitability for using the Cope 360 app.
D) Provide daily written reports about your child's cancer treatment and your caregiving experience.

Correct answer: A) Download the Cope 360 app onto your personal smartphone, use it for a 6-month period, and participate in surveys at 1, 3, and 6 months."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Cope 360 for Caregivers of Children with Cancer study?
A) You will be required to pay back any gift cards received; B) You will lose access to medical care for your child at Riley Hospital for Children; C) Withdrawing from the study will not affect your entitlement to benefits or result in any penalties; D) You will be obligated to continue using the Cope 360 app for the remainder of the study period.
Correct answer: C"
6,Identification of any procedures which are experimental,"Which component of the study is considered experimental for the caregivers participating in the research?
A) Completing surveys sent via email or over the phone at 1, 3, and 6 months;
B) Using the Cope 360 app for symptom tracking, medication management, and emergency preparedness;
C) Receiving standard education about caregiving for children with cancer;
D) Receiving gift cards for completing various stages of the study.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many caregivers are expected to participate in the Cope 360 study for caregivers of children with cancer?
A) 50; B) 100; C) 150; D) The exact number is not specified in the consent form.
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks identified for participants in the Cope 360 for Caregivers of Children with Cancer study?
A) Risk of the app malfunctioning and causing harm to the user's device; B) Risk of experiencing adverse medical events from using the app; C) Risk of loss of confidentiality and discomfort from answering questions or being recorded; D) Risk of the app using excessive data and incurring additional phone charges.

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits can caregivers of children with cancer expect from participating in the Cope 360 app study?

A) Guaranteed improvement in the health of their child with cancer.
B) Direct financial compensation for their participation at various stages of the study.
C) Assurance of receiving better medical care for their child during the study.
D) The possibility of feeling better about their caregiving role and contributing to future research that may help others.

Correct answer: D"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to caregivers who choose not to participate in the Cope 360 app study?
A) Caregivers can participate in a different study focused on caregiver support; B) Caregivers will receive standard education without the use of the Cope 360 app; C) Caregivers will be provided with a different app for managing their child's cancer care; D) Caregivers will have access to a 24/7 helpline for immediate support.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be protected during this study?
A) All personal information will be publicly accessible for educational purposes.
B) Personal information may be disclosed if required by law, but efforts will be made to keep it confidential.
C) Personal information will be shared with all study sponsors without any restrictions.
D) The study will not collect any personal information from participants.

Correct answer: B) Personal information may be disclosed if required by law, but efforts will be made to keep it confidential."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants in the event of an injury during the study?

A) Participants will receive free medical treatment for any injuries directly caused by the study.
B) Participants will receive a predetermined monetary compensation for any injuries.
C) The consent form does not specify compensation for injuries, only for participation in study activities.
D) Participants will receive comprehensive health insurance coverage for the duration of the study.

Correct answer: C) The consent form does not specify compensation for injuries, only for participation in study activities."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns about your participation in the study or wish to discuss any issues related to the research, whom should you contact?

A) The National Cancer Institute; B) Emily Mueller, MD, or the study team; C) The IU Human Subjects Office; D) Your personal physician

Correct answer: C) The IU Human Subjects Office"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the Cope 360 study for caregivers of children with cancer?

A) You will lose access to certain benefits provided by the IU School of Medicine or Riley Hospital for Children.
B) You will face a penalty for not participating.
C) Your current or future relationship with IU School of Medicine or Riley Hospital for Children will not be affected.
D) You will be required to provide a reason for not participating.

Correct answer: C) Your current or future relationship with IU School of Medicine or Riley Hospital for Children will not be affected."
