,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the POIMS Trial?
A) The POIMS Trial is a standard treatment program for early-stage NSCLC.
B) The POIMS Trial is a research study investigating the effects of pre-operative radiation on the immune response in early-stage NSCLC.
C) The POIMS Trial is a commercially available service for improving surgical outcomes in lung cancer.
D) The POIMS Trial is a routine surgical procedure for non-small cell lung cancer without any research components.

Correct answer: B) The POIMS Trial is a research study investigating the effects of pre-operative radiation on the immune response in early-stage NSCLC."
1,An explanation of the purposes of the research,"What is the primary goal of the POIMS Trial research study?
A) To test a new surgical technique for non-small cell lung cancer; B) To evaluate the effects of pre-operative radiation on the immune response in early stage non-small cell lung cancer; C) To compare different chemotherapy regimens; D) To assess the long-term survival rates of advanced lung cancer patients

Correct answer: B) To evaluate the effects of pre-operative radiation on the immune response in early stage non-small cell lung cancer"
2,The expected duration of the subject's participation,"For how long will participants be actively involved in the POIMS Trial study, including follow-up after surgery?
A) Up to 1 year; B) Up to 2 years; C) Up to 5 years; D) Up to 6 months
Correct answer: C) Up to 5 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding potential costs to you for participating in the POIMS Trial?
A) You will be responsible for all medical costs associated with the study, including standard care and research-related treatments.
B) The study will cover all costs, including your standard medical care and any additional tests or procedures required for research purposes.
C) You may be responsible for normal co-pays, deductibles, and non-covered services that are not the responsibility of the study, and some procedures may require pre-authorization from your insurance company.
D) You will receive a stipend that will cover all medical and personal expenses incurred during the study period.

Correct answer: C) You may be responsible for normal co-pays, deductibles, and non-covered services that are not the responsibility of the study, and some procedures may require pre-authorization from your insurance company."
4,A description of the procedures to be followed,"What is the correct sequence of procedures that a participant will undergo in the POIMS Trial for early stage NSCLC?

A) Screening, Radiation Treatment, Surgery, Follow-up Visits  
B) Surgery, Radiation Treatment, Follow-up Visits, Screening  
C) Radiation Treatment, Screening, Surgery, Follow-up Visits  
D) Screening, Surgery, Radiation Treatment, Follow-up Visits  

Correct answer: A) Screening, Radiation Treatment, Surgery, Follow-up Visits"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the POIMS Trial at any time?
A) You will be required to reimburse the cost of the study treatments you have received; B) You will no longer be eligible for any medical treatment at the University of Kansas Medical Center; C) Your decision to withdraw will not affect your future care at KUMC; D) You will have to provide a valid reason for your withdrawal to the research team.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the POIMS Trial for patients with early-stage non-small cell lung cancer (NSCLC)?
A) Standard surgical removal of the tumor; B) Pre-operative radiation treatment (SBRT) followed by surgery; C) Routine blood draws for standard medical care; D) Follow-up visits or telephone calls every 3-6 months for health checks

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the POIMS Trial at the University of Kansas Medical Center?
A) 5; B) 10; C) 15; D) 20
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the POIMS Trial for patients with early-stage NSCLC?
A) Increased risk of common cold; B) Wound healing problems and longer post-operative recovery; C) Immediate cure of the lung cancer; D) Reduced need for surgery

Correct answer: B) Wound healing problems and longer post-operative recovery"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to the subject for participating in the POIMS Trial?
A) Guaranteed cure of non-small cell lung cancer
B) Immediate financial gain from future commercial products
C) Possible decrease in cancer recurrence due to immune system activation
D) Assurance of no post-operative complications

Correct answer: C) Possible decrease in cancer recurrence due to immune system activation"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available if you choose not to participate in the POIMS Trial for early stage NSCLC?
A) You can opt for a combination of chemotherapy and radiation without surgery; B) You can receive routine treatment that is already available or consider another research study; C) You will be required to undergo an experimental drug trial; D) No alternative treatments are available outside of the POIMS Trial.

Correct answer: B"
