,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the THRIVE Smart study?
A) It is a commercial product trial for a new smart pill bottle.
B) It is a research study designed to improve oral chemotherapy adherence using mobile health technology.
C) It is a routine check-up program for women with breast cancer.
D) It is a survey to collect general health data from the public.

Correct answer: B) It is a research study designed to improve oral chemotherapy adherence using mobile health technology."
1,An explanation of the purposes of the research,"What is the primary goal of the THRIVE Smart research study?
A) To evaluate the effectiveness of a new chemotherapy drug for breast cancer; B) To assess the impact of a smart pill bottle on medication adherence in women with breast cancer; C) To provide financial assistance to women with breast cancer; D) To compare the effectiveness of text message reminders versus standard care in reducing symptoms of breast cancer.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the THRIVE Smart study expected to last for each participant?
A) 1 month; B) 3 months; C) 6 months; D) 12 months
Correct answer: B) 3 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs for subjects participating in the THRIVE Smart study?

A) Participants will have to pay for the smart pill bottle and text messaging services.
B) Participants will incur costs for the surveys they complete during the study.
C) Participants will not incur any additional costs for participating in the study.
D) Participants will be charged for any technical support required for the smart pill bottle.

Correct answer: C) Participants will not incur any additional costs for participating in the study."
4,A description of the procedures to be followed,"What will happen if you decide to participate in the THRIVE Smart study?

A) You will be asked to use a traditional pillbox for your medication.
B) You will be required to attend weekly in-person meetings at the research facility.
C) You will use a smart pill bottle to track medication adherence and may receive text message interactions.
D) You will be provided with a new experimental oral chemotherapy drug for your treatment.

Correct answer: C) You will use a smart pill bottle to track medication adherence and may receive text message interactions."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the THRIVE Smart study at any point after enrolling?
A) You will be required to pay back the compensation received for participating; B) You will be barred from future research studies at Emory University; C) You may withdraw at any time and it will not affect your future care at Emory University; D) Your medical records will be removed from the study database immediately upon withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental procedure in the THRIVE Smart study?
A) Standard chemotherapy treatment with Capecitabine (Xeloda);
B) Use of a smart pill bottle to monitor medication adherence and trigger clinical alerts;
C) Completing standard medical history and physical exams;
D) Receiving standard oncology care and follow-up appointments.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants will the THRIVE Smart study aim to enroll?
A) 50 participants; B) 100 participants; C) 150 participants; D) The number of participants is not specified in the consent form.
Correct answer: D) The number of participants is not specified in the consent form."
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the THRIVE Smart study?
A) Risk of allergic reactions to the medication; B) Loss of time and potential anxiety from using a smart pill bottle; C) Increased risk of cancer progression; D) Risk of physical injury from study procedures

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to participants in the THRIVE Smart study?
A) Guaranteed improvement in breast cancer prognosis
B) Compensation for time and effort in the form of gift cards
C) Automatic enrollment in additional unrelated clinical trials
D) Assurance of complete anonymity of personal data in public databases

Correct answer: B) Compensation for time and effort in the form of gift cards"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you decide not to participate in the THRIVE Smart study?
A) You can opt for regular clinic visits without the use of a smart pill bottle; 
B) You will be provided with a different type of medication adherence technology;
C) There are no alternative options mentioned in the study consent form;
D) You will be enrolled in a different study focused on oral chemotherapy adherence.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who is authorized to use and/or disclose your Protected Health Information (PHI) for the THRIVE Smart study?
A) Only the Principal Investigator and the research staff;
B) The Principal Investigator, research staff, Winship Cancer Institute of Emory University, NRG Oncology, and associated administrative personnel;
C) Any healthcare provider in the United States;
D) Only the funding sources, Developmental Funds from the Winship Cancer Institute of Emory University and NRG Oncology.

Correct answer: B"
