,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical procedure with no research component
B) A commercial promotion for indocyanine green (ICG)
C) A multicenter randomized controlled trial involving research
D) A voluntary survey without any medical intervention

Correct answer: C) A multicenter randomized controlled trial involving research"
1,An explanation of the purposes of the research,"What is the primary objective of the research study titled ""Low vs Standard Dose Indocyanine Green in the Identification of Biliary Anatomy Using Near-Infrared Fluorescence Imaging""?
A) To compare the effectiveness of two different doses of a medical dye in improving the visibility of liver and bile ducts during surgery;
B) To evaluate the safety of using indocyanine green (ICG) in patients with a history of shellfish and iodine allergy;
C) To determine the cost-effectiveness of using near-infrared fluorescence imaging in routine surgeries;
D) To assess the patient recovery time when using standard versus low doses of ICG.

Correct answer: A) To compare the effectiveness of two different doses of a medical dye in improving the visibility of liver and bile ducts during surgery."
2,The expected duration of the subject's participation,"How long will participants be involved in the Low vs Standard Dose Indocyanine Green study?
A) Up to 2 weeks; B) Up to 6 months; C) Up to 1 year; D) Indefinite period of time
Correct answer: A) Up to 2 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Low vs Standard Dose Indocyanine Green study?

A) Participants will be charged additional fees for the medical dye used in the study.
B) Participants will receive a stipend to cover any potential additional costs incurred.
C) There are no extra costs to participants for being involved in the study.
D) Participants must pay for the cost of surgery associated with the study.

Correct answer: C) There are no extra costs to participants for being involved in the study."
4,A description of the procedures to be followed,"What will happen if you agree to participate in the study regarding the dosage of indocyanine green (ICG) for near-infrared fluorescence imaging of biliary tract?

A) You will be given a fixed dose of ICG without any randomization.
B) You will be asked to choose between the standard dose and the lower dose of ICG.
C) You will be randomly assigned to receive either the standard dose or the lower dose of ICG by blindly drawing an envelope from a box.
D) You will be given both the standard dose and the lower dose of ICG in two separate surgeries.

Correct answer: C) You will be randomly assigned to receive either the standard dose or the lower dose of ICG by blindly drawing an envelope from a box."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study at any time?
A) You will be required to pay a penalty for early withdrawal; B) You will lose access to all medical care provided by the University of Florida; C) You will not face any penalty or loss of benefits you are entitled to; D) Your health insurance will be cancelled as a result of withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental according to the new consent form?
A) The use of ultrasound or x-ray imaging during surgery;
B) The administration of a standard 2.5 mg dose of indocyanine green (ICG);
C) The comparison between a standard dose and a lower dose of indocyanine green (ICG) for imaging;
D) The routine pre-operative and post-operative care including blood tests and liver biopsies.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Low vs Standard Dose Indocyanine Green study?
A) 20; B) 35; C) 50; D) 100
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with the administration of indocyanine green (ICG) during the study?
A) Temporary discoloration of the skin; B) Mild allergic reactions such as itching or headache; C) Increased risk of long-term liver damage; D) Immediate improvement in bile duct visibility

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits might participants in the study experience from the use of a lower dose of Indocyanine Green (ICG) during surgery?
A) A higher risk of side effects
B) No change in the visualization of anatomy during surgery
C) Improved visualization of anatomy during surgery and a lower risk of side effects
D) Guaranteed improvement in post-surgical recovery

Correct answer: C) Improved visualization of anatomy during surgery and a lower risk of side effects"
