,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in?
A) A routine medical check-up with your primary care physician.
B) A research study to evaluate a telephone-based intervention for Hispanic cancer survivors with anxiety and/or depression.
C) A commercial survey to assess customer satisfaction with healthcare services.
D) A volunteer opportunity for community service at a local hospital.

Correct answer: B) A research study to evaluate a telephone-based intervention for Hispanic cancer survivors with anxiety and/or depression."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new chemotherapy drug for Hispanic cancer survivors; B) To assess the ability of Hispanic cancer survivors to use a telephone-based program to treat depression and anxiety; C) To compare different surgical techniques for cancer treatment; D) To study the impact of diet and exercise on cancer recovery

Correct answer: B"
2,The expected duration of the subject's participation,"For approximately how long will participants be involved in the ""Cultural and Linguistic Adaptation of a Telephone-Based Intervention to Treat Depression and Anxiety in Hispanic Cancer Survivors"" study?
A) 3 months; B) 4 months; C) 6 months; D) 1 year
Correct answer: B) 4 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study?

A) Participants will have to pay for the therapy sessions and interviews related to the study.
B) Participants will incur costs for the workbook and materials provided during the study.
C) There are no additional costs to participants for taking part in the study.
D) Participants will be responsible for the costs of any medical care not related to the study.

Correct answer: C) There are no additional costs to participants for taking part in the study."
4,A description of the procedures to be followed,"How often will participants receive calls from a therapist during the study, and what is the primary purpose of these calls?
A) Once a month to discuss general health.
B) Once a week for 12 weeks to review the workbook chapter and exercises.
C) Daily to monitor medication adherence.
D) Twice a week to provide updates on their physical health.

Correct answer: B) Once a week for 12 weeks to review the workbook chapter and exercises."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study on treating depression and anxiety in Hispanic cancer survivors?
A) You will be required to pay for the costs of the therapy sessions you have already received; B) You will be asked to return the workbook and any other study materials; C) Your decision to withdraw will not result in any penalty or loss of benefits you are entitled to; D) You will be prohibited from seeking treatment elsewhere for your condition.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for the participants?
A) Weekly phone calls with a therapist to discuss personal health issues; B) Cognitive-behavioral therapy (CBT) delivered through a workbook and weekly telephone sessions; C) Regular medical care provided by the participant's own healthcare provider; D) Completion of telephone interviews for standard health assessments

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many Hispanic cancer survivors will be participating in the telephone-based intervention study?
A) 5; B) 10; C) 12; D) 20

Correct answer: C) 12"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with participating in the study described in the consent form?
A) Physical side effects from medication; B) Discomfort from discussing personal issues; C) Risk of cancer recurrence; D) Financial costs for therapy sessions

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the study for Hispanic cancer survivors experiencing anxiety and/or depressive symptoms?
A) Guaranteed elimination of anxiety and depressive symptoms
B) Learning cognitive-behavioral therapy strategies to manage symptoms
C) Receiving financial compensation for any medical costs incurred
D) Immediate access to new cancer treatments

Correct answer: B) Learning cognitive-behavioral therapy strategies to manage symptoms"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative treatment options are available to you if you decide not to participate in the telephone-based intervention study for Hispanic cancer survivors with anxiety and/or depression?
A) You can choose to have no treatment at all for your symptoms;
B) You can seek treatment from a community provider outside of the study;
C) You will be automatically enrolled in a different research study;
D) You will receive a self-help book on managing anxiety and depression without any guidance.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be handled in this study?
A) Your personal health information will be shared publicly to benefit other research studies.
B) Your personal health information will be kept confidential, with access limited to authorized personnel and used for study purposes only.
C) All your personal health information will be destroyed immediately after the telephone interviews.
D) Your personal health information will be disclosed to all study participants for comparison purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience any discomfort or stress as a result of participating in the study, what kind of compensation or medical treatment is available to you?

A) Participants will receive free medical treatment for any study-related injuries.
B) Participants will receive monetary compensation for any discomfort or stress experienced during the study.
C) The study does not arrange for free treatment or any other type of payment for injuries, but emergency treatment and professional services will be available.
D) Participants will be compensated with additional therapy sessions for any discomfort or stress experienced.

Correct answer: C) The study does not arrange for free treatment or any other type of payment for injuries, but emergency treatment and professional services will be available."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury or have an after-hours emergency, whom should you contact?
A) The Institutional Review Board (IRB) Chairman; B) The Research Subject Advocate at Wake Forest; C) The psychiatrist on call by calling the provided emergency number; D) Your personal physician

Correct answer: C) The psychiatrist on call by calling the provided emergency number"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the study or if you choose to withdraw from the study at any point?

A) You will lose access to certain medical services that you currently have.
B) You will face a penalty for deciding not to participate or for withdrawing.
C) You will not face any penalty or loss of benefits you are otherwise entitled to and can discontinue at any time.
D) You will be required to pay a fee for the time and resources used during your participation.

Correct answer: C) You will not face any penalty or loss of benefits you are otherwise entitled to and can discontinue at any time."
