,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the MAGNET study as outlined in the consent form?
A) The MAGNET study is a commercial service offering for stomach diagnostics.
B) The MAGNET study is a routine medical procedure that is part of standard care.
C) The MAGNET study is a research trial investigating a new method of stomach examination.
D) The MAGNET study is a voluntary survey about gastrointestinal health practices.

Correct answer: C) The MAGNET study is a research trial investigating a new method of stomach examination."
1,An explanation of the purposes of the research,"What is the primary goal of the MAGNET study?
A) To compare the effectiveness of traditional endoscopy with a new magnetically controlled capsule endoscopy; B) To test a new medication for stomach ulcers; C) To evaluate the safety of MRI scans for gastrointestinal issues; D) To assess the impact of dietary changes on stomach symptoms

Correct answer: A"
2,The expected duration of the subject's participation,"How long will participants be engaged with the MAGNET study, including clinic visits and follow-up calls?
A) 1 week; B) 1 month; C) 6 months; D) 1 year
Correct answer: B) 1 month"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the MAGNET study?
A) Subjects will be billed for both the capsule endoscopy and the follow-up EGD.
B) Subjects will incur additional costs for participating in the study, including the cost of the capsule endoscopy.
C) Subjects will not be billed for the capsule endoscopy, but may be billed for the standard of care follow-up EGD.
D) Subjects will receive a stipend to cover all medical costs associated with the study.

Correct answer: C) Subjects will not be billed for the capsule endoscopy, but may be billed for the standard of care follow-up EGD."
4,A description of the procedures to be followed,"Which of the following best describes the procedure for the capsule endoscopy as part of the MAGNET study?

A) Participants will undergo a traditional endoscopy first, followed by the capsule endoscopy.
B) Participants will swallow a capsule that is not controlled externally and will pass naturally through the stomach.
C) Participants will swallow a magnetically controlled capsule that takes pictures of the stomach, which is then followed by a traditional endoscopy.
D) Participants will be required to undergo an MRI immediately after swallowing the capsule to track its position.

Correct answer: C) Participants will swallow a magnetically controlled capsule that takes pictures of the stomach, which is then followed by a traditional endoscopy."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"If you choose to withdraw from the MAGNET study, what will be the impact on your medical care?
A) You will be charged a fee for withdrawing from the study; B) You will lose access to all medical care from the GW Medical Faculty Associates; C) There will be no penalty or loss of benefits you are otherwise entitled to; D) You will be required to pay back the stipend you received for participating

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the MAGNET study?
A) Traditional endoscopy (EGD) performed by a gastroenterologist
B) Use of a standard video capsule endoscope without magnetic control
C) The use of a magnetically controlled ingestible video capsule (NaviCamTM) for stomach examination
D) Standard outpatient follow-up care after an endoscopy

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the MAGNET study?
A) 50; B) 72; C) 100; D) 150
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the MAGNET study?
A) Risk of allergic reaction to the capsule material; B) Difficulty swallowing the capsule or non-natural excretion of the capsule; C) Increased risk of developing gastrointestinal diseases; D) Risk of significant radiation exposure during the capsule endoscopy procedure.

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the MAGNET study?
A) Guaranteed improvement of stomach-related symptoms
B) Expedited outpatient EGD for your symptoms
C) Free lifetime supply of multivitamins
D) Automatic enrollment in additional unrelated medical studies

Correct answer: B) Expedited outpatient EGD for your symptoms"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative diagnostic procedures available to a patient who chooses not to participate in the MAGNET study?
A) The patient can opt for a series of blood tests and observation; B) The patient may undergo a traditional endoscopy (EGD) as standard care; C) The patient can only receive treatment through participation in the study; D) The patient will be advised to have a CT scan as the only alternative

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who may have access to your personal health information if you participate in the MAGNET study?
A) Only the Principal Investigator and no one else; B) The study team, healthcare providers, and specific organizations as outlined in the consent form; C) All hospital staff members; D) The general public
Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury or illness directly related to the use of the video capsule (NaviCam MCC) or the study procedures, who will cover the reasonable medical expenses needed for treatment?

A) The participant's private insurance
B) The George Washington University Hospital
C) AnX Robotica, the manufacturer of the video capsule
D) No coverage will be provided; the participant is responsible for all medical expenses

Correct answer: C) AnX Robotica, the manufacturer of the video capsule"
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the MAGNET study, whom should you contact immediately?

A) The Institutional Review Board (IRB) at GWU
B) Dr. Andrew C. Meltzer, the Principal Investigator
C) The manufacturer of the video capsule, AnX Robotica
D) Your personal physician

Correct answer: B) Dr. Andrew C. Meltzer, the Principal Investigator"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the MAGNET study?

A) Withdrawing from the study will result in a penalty and loss of medical benefits.
B) You may withdraw from the study at any time without any penalty or loss of benefits you are entitled to.
C) If you withdraw from the study, you will be required to pay a fee.
D) Withdrawal from the study is only permitted with the approval of the study coordinator.

Correct answer: B) You may withdraw from the study at any time without any penalty or loss of benefits you are entitled to."
