,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the SyMon SAYS study?

A) The study is a routine clinical treatment for children with cancer and does not involve research.
B) The study is a commercial program for symptom monitoring and does not involve research.
C) The study is a research project aimed at evaluating a symptom monitoring program for children with cancer.
D) The study is a mandatory government health assessment for children with cancer.

Correct answer: C) The study is a research project aimed at evaluating a symptom monitoring program for children with cancer."
1,An explanation of the purposes of the research,"What is the primary aim of the SyMon-SAYS research study?
A) To provide financial assistance to families of children with cancer; B) To develop a new cancer treatment medication; C) To evaluate the effectiveness of a symptom monitoring program for children with cancer; D) To compare different cancer treatment facilities.

Correct answer: C) To evaluate the effectiveness of a symptom monitoring program for children with cancer."
2,The expected duration of the subject's participation,"For how long will participants be involved in the SyMon SAYS study?
A) 8 weeks; B) 12 weeks; C) 16 weeks; D) 24 weeks
Correct answer: C) 16 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the SyMon SAYS research study?
A) Participants will incur additional costs that will be billed to their insurance.
B) Participants will be responsible for the cost of the smartphone provided for the study.
C) There are no study-related costs to the participants or their insurance company.
D) Participants will have to pay for the surveys and assessments they complete during the study.

Correct answer: C) There are no study-related costs to the participants or their insurance company."
4,A description of the procedures to be followed,"What steps will participants need to take if they are assigned to Group A in the SyMon-SAYS study?

A) Complete a nine-item symptom survey via the Epic MyChart patient portal every week for 8 weeks.
B) Complete a nine-item symptom survey via the Epic MyChart patient portal every week for 16 weeks.
C) Report symptoms via phone calls to the study team every other week for 16 weeks.
D) Attend in-person weekly meetings at the hospital for symptom reporting for 16 weeks.

Correct answer: B) Complete a nine-item symptom survey via the Epic MyChart patient portal every week for 16 weeks."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw your child from the SyMon SAYS study?
A) Your child will no longer receive any medical care from Lurie Children’s Hospital; B) Your child's regular care at Lurie Children’s Hospital will be discontinued; C) Withdrawing from the study will not affect your child's regular care at Lurie Children’s Hospital; D) Your child will be required to participate in a different study as a condition of their regular care.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the SyMon SAYS study is considered experimental for the participants?
A) Regular treatment and care at Ann and Robert H. Lurie Children’s Hospital of Chicago; B) Completion of standard medical and health questionnaires; C) Use of the Epic MyChart patient portal for regular health updates; D) Participation in the SyMon-SAYS symptom monitoring program via the Epic MyChart patient portal.
Correct answer: D"
7,The approximate number of subjects involved in the study,"How many children and their parents are being invited to participate in the SyMon-SAYS research study?
A) 50-100; B) 8-17 years old; C) Over 200; D) Not specified

Correct answer: D) Not specified"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential discomfort that participants might experience during the SyMon SAYS study?
A) Physical pain from medical procedures; B) Mild upset from answering sensitive questions; C) Increased risk of cancer; D) Financial costs from participating in the study
Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits mentioned in the SyMon SAYS study for participating children and their families?
A) Guaranteed improvement in the child's health condition
B) Direct financial compensation for participation
C) Better quality of care for future patients based on study findings
D) Immediate access to new experimental treatments for cancer

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available for your child if you choose not to participate in the SyMon SAYS study?
A) Your child will receive a different type of symptom monitoring system; B) Your child will be provided with alternative experimental treatments; C) Your child will continue with their regular treatment without participating in the study; D) Your child will be referred to a different research study focused on cancer treatment.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have access to your child's personal and health information collected during the SyMon SAYS study?
A) Only the study sponsor and the study doctor; B) Any healthcare provider worldwide; C) The study staff, including Lurie Children’s employees and Medical Staff, the Institutional Review Board (IRB), and specific other organizations as listed in the consent form; D) All members of the public through an online database.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants in the SyMon SAYS study if an injury occurs as a result of participation?

A) Participants will receive free medical treatment for any study-related injuries.
B) Participants will receive a predetermined amount of monetary compensation for any study-related injuries.
C) The consent form does not specify any compensation for study-related injuries.
D) Participants will receive compensation in the form of additional healthcare services unrelated to the study.

Correct answer: C) The consent form does not specify any compensation for study-related injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have questions about your child's rights as a participant in the study or wish to report a complaint, whom should you contact?
A) The study sponsor; B) The Institutional Review Board (IRB) Office; C) The principal investigator of the study; D) Your child's primary care physician
Correct answer: B) The Institutional Review Board (IRB) Office"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to allow your child to participate in the SyMon SAYS study?

A) Your child will not be able to receive regular medical care at Ann and Robert H. Lurie Children’s Hospital of Chicago.
B) Your child's current medical care will be affected, and they may lose benefits they are entitled to.
C) Your child's regular medical care will continue as usual, and they will not lose any benefits they are otherwise entitled to.
D) Your child will be required to participate in a different study as an alternative.

Correct answer: C) Your child's regular medical care will continue as usual, and they will not lose any benefits they are otherwise entitled to."
