,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the ERUP Study as outlined in the consent form?
A) The ERUP Study is a commercial product trial for a new ultrasound machine.
B) The ERUP Study is a routine medical procedure that all patients undergo.
C) The ERUP Study is a research project evaluating the role of ultrasound technology in prostate cancer assessment and monitoring.
D) The ERUP Study is a mandatory government health screening program for prostate cancer.

Correct answer: C) The ERUP Study is a research project evaluating the role of ultrasound technology in prostate cancer assessment and monitoring."
1,An explanation of the purposes of the research,"What is the primary goal of the ERUP Study as described in the consent form?
A) To evaluate the effectiveness of a new medication for prostate cancer; B) To assess the impact of dietary changes on prostate health; C) To investigate the role of emerging ultrasound technologies in monitoring localized prostate cancer; D) To provide a new treatment plan for all prostate cancer patients

Correct answer: C"
2,The expected duration of the subject's participation,"For participants in Phase 2 of the ERUP Study, how often will they be invited to have ultrasound scans as part of the study's monitoring process?
A) Every 3 months; B) Every 6 months; C) Once a year; D) Every month

Correct answer: B) Every 6 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the ERUP Study?
A) Participants will incur additional costs for travel and parking which will not be reimbursed.
B) Participants will be charged for the ultrasound scans required for the study.
C) Travel and parking expenses related to attendance for the research will be reimbursed by the ultrasound department.
D) Participants will have to pay for the ultrasound equipment used during the study.

Correct answer: C) Travel and parking expenses related to attendance for the research will be reimbursed by the ultrasound department."
4,A description of the procedures to be followed,"What will happen during the ultrasound scan procedure if you agree to participate in the ERUP Study Phase 1?
A) You will have a single ultrasound scan using the standard machine only.
B) You will have two ultrasound scans, one with a standard machine and another with a new micro-ultrasound machine, each taking about 5 minutes.
C) You will have an MRI scan followed by a series of blood tests instead of an ultrasound.
D) You will undergo a surgical procedure as part of the ultrasound scan.

Correct answer: B) You will have two ultrasound scans, one with a standard machine and another with a new micro-ultrasound machine, each taking about 5 minutes."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you decide to withdraw your consent to participate in the ERUP Study at any stage?
A) You will be required to reimburse the cost of any scans already performed; B) Your medical care will be adversely affected; C) You may withdraw at any time without affecting your medical care or legal rights; D) You will be obligated to participate in future related studies.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the ERUP Study as described in the consent form?
A) Routine blood tests and digital rectal examinations for prostate monitoring
B) Standard transrectal ultrasound scan for prostate assessment
C) Use of micro-ultrasound technology for the assessment and monitoring of localized prostate cancer
D) MRI scans of the prostate for initial diagnosis

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants will be invited for the ultrasound scans in Phase 2 of the ERUP Study?
A) 50; B) 100; C) A minimum of 1 and a maximum of 4; D) 200

Correct answer: C) A minimum of 1 and a maximum of 4"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the ERUP Study as outlined in the consent form?
A) Risk of significant radiation exposure from ultrasound scans; B) Discomfort or pain from the ultrasound probe insertion; C) Financial costs to the participant for the ultrasound scans; D) No known risks associated with the ultrasound scans

Correct answer: D"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the ERUP Study for individuals with localized prostate cancer on an Active Surveillance Programme?
A) Participants will receive immediate and personalized treatment adjustments based on the study findings.
B) Participants will contribute to the advancement of ultrasound technology in prostate cancer detection, potentially aiding future patients.
C) Participants will be guaranteed a cure for their prostate cancer as a result of the study.
D) Participants will receive financial compensation for contributing to the improvement of the NHS services.

Correct answer: B) Participants will contribute to the advancement of ultrasound technology in prostate cancer detection, potentially aiding future patients."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you choose not to participate in the ERUP Study for monitoring localized prostate cancer?
A) You will continue with standard care, including routine blood tests and digital rectal examinations; B) You will be enrolled in a different clinical trial focusing on prostate cancer treatment; C) You will receive a new experimental drug therapy for prostate cancer; D) No alternative monitoring or treatment options will be provided.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal information be handled in the ERUP Study according to the consent form?
A) Your full name and contact details will be publicly available along with the study results.
B) Your information will be coded with a number and stored on a secure server, accessible only to the research team.
C) Your personal information will be shared with all study participants for future contact and networking.
D) The data collected will be stored without any security measures and may be accessed by unauthorized personnel.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form indicate about compensation and medical treatment if a participant is injured during the study?
A) Participants will receive free medical treatment for any study-related injuries.
B) Participants will receive financial compensation for any study-related injuries.
C) The consent form does not arrange for free treatment or payment for study-related injuries, but necessary facilities and professional services will be available.
D) The consent form guarantees a fixed amount of compensation for any injuries sustained during the study.

Correct answer: C) The consent form does not arrange for free treatment or payment for study-related injuries, but necessary facilities and professional services will be available."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have questions about your rights as a participant in the ERUP Study or wish to report a research-related injury, whom should you contact?

A) The Chief Investigator of the study, Pamela Parker;
B) The data protection officer via email at HEYIG@nhs.net;
C) The local cancer alliance network;
D) The urology nurse specialist at Castle Hill Hospital.

Correct answer: B) The data protection officer via email at HEYIG@nhs.net;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements best reflects the voluntary nature of participation in the ERUP Study as described in the consent form?
A) Participants are required to remain in the study once they have signed the consent form.
B) Participants may face penalties if they choose not to participate in the study.
C) Participants can withdraw from the study at any time without affecting their medical care or legal rights.
D) Refusal to participate in the study will result in a loss of benefits that the participant is otherwise entitled to.

Correct answer: C) Participants can withdraw from the study at any time without affecting their medical care or legal rights."
