,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements accurately reflects the nature of the study described in the consent form?
A) The study is a routine treatment program not considered research.
B) The study is a non-research educational activity.
C) The study is a research project investigating the effects of Crizotinib on Single Nucleotide Polymorphisms in lung cancer patients.
D) The study is a commercial product trial without any research components.

Correct answer: C) The study is a research project investigating the effects of Crizotinib on Single Nucleotide Polymorphisms in lung cancer patients."
1,1,An explanation of the purposes of the research,"What is the primary objective of the Pharmacogenomics IND EXEMPT SNP Clinical Study - Crizotinib and Single Nucleotide Polymorphisms (Drugs-SNPs)?
A) To compare the effectiveness of different surgical techniques in lung cancer treatment.
B) To investigate the relationship between single nucleotide polymorphisms and the response to and toxicity of Crizotinib in non-small cell lung cancer patients.
C) To assess the long-term survival rates of patients with non-small cell lung cancer without any treatment.
D) To determine the best practices for administering chemotherapy in pediatric patients.

Correct answer: B"
2,2,The expected duration of the subject's participation,"For how long will participants be actively receiving the study drugs in this clinical trial?
A) 3 months; B) 6 months; C) 12 months; D) 2 years

Correct answer: B) 6 months"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Pharmacogenomics IND EXEMPT SNP Clinical Study?
A) Subjects will receive a stipend for participating in the study.
B) Subjects will incur additional costs for the study drugs and their administration.
C) Subjects' insurance will be billed for the study drugs and their administration.
D) There are no additional costs to the subjects for participating in the study.

Correct answer: C) Subjects' insurance will be billed for the study drugs and their administration."
4,4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants will undergo in the Pharmacogenomics IND EXEMPT SNP Clinical Study for Crizotinib and Single Nucleotide Polymorphisms?
A) Participants will only complete questionnaires about their health and medication usage.
B) Participants will be asked to provide only a one-time blood sample for genetic testing.
C) Participants will undergo a series of tests including blood, urine, and tissue tests, as well as precise sequencing of target gene DNA, and will be randomized into one of two treatment groups for chemotherapy.
D) Participants will receive a standard treatment without any additional tests or monitoring.

Correct answer: C) Participants will undergo a series of tests including blood, urine, and tissue tests, as well as precise sequencing of target gene DNA, and will be randomized into one of two treatment groups for chemotherapy."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any point?
A) You will be required to continue the study treatments without any further follow-up; B) You will be charged a penalty fee for early withdrawal; C) You may stop participating and will discuss safe discontinuation with the study doctor; D) Your health insurance will be cancelled as a result of your withdrawal.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following procedures in the study is considered experimental?
A) Standard chemotherapy with high dose drugs for non-small cell lung cancer;
B) Low dose chemotherapy drugs for non-small cell lung cancer;
C) Routine blood and urine tests for monitoring health during chemotherapy;
D) Lung tissue biopsy for initial cancer diagnosis.

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the Pharmacogenomics IND EXEMPT SNP Clinical Study - Crizotinib and Single Nucleotide Polymorphisms?
A) 100; B) 300; C) 600; D) 800

Correct answer: C) 600"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort mentioned in the consent form for participants in the Pharmacogenomics IND EXEMPT SNP Clinical Study?
A) Risk of personal data being accessed unlawfully; B) Risk of increased cancer progression due to study drugs; C) Risk of severe allergic reactions to all medications used; D) Risk of being charged for all medical procedures related to the study

Correct answer: A"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the Pharmacogenomics IND EXEMPT SNP Clinical Study - Crizotinib and Single Nucleotide Polymorphisms?

A) Participants will definitely experience a reduction in their non-small cell lung cancer symptoms.
B) Participants will contribute to research that may benefit future patients with non-small cell lung cancer.
C) Participants are guaranteed to receive financial compensation for contributing to the advancement of medical research.
D) Participants will receive a new, FDA-approved treatment for non-small cell lung cancer that is superior to current treatments.

Correct answer: B"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available to you if you choose not to participate in the Pharmacogenomics IND EXEMPT SNP Clinical Study for Crizotinib and Single Nucleotide Polymorphisms?
A) You may opt for standard chemotherapy treatment as per your doctor's advice; B) You can participate in another clinical trial if eligible; C) You may decide to forgo any treatment for your condition; D) You will be automatically enrolled in a different study without the need for consent.

Correct answer: A"
