,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of WINSHIP4933-19 as outlined in the consent form?
A) It is a routine medical procedure with no research components.
B) It is a research study designed to answer a scientific question.
C) It is a commercial service offered to the public.
D) It is a mandatory medical treatment for all breast cancer patients.

Correct answer: B) It is a research study designed to answer a scientific question."
1,An explanation of the purposes of the research,"What is the primary goal of the WINSHIP4933-19 research study?
A) To evaluate the effectiveness of a new chemotherapy drug for breast cancer; B) To improve the detection of metastasis in Invasive Lobular breast cancer using novel imaging techniques; C) To assess the impact of dietary changes on breast cancer outcomes; D) To compare the recovery times of different breast cancer surgeries

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected participation period for a subject in the WINSHIP4933-19 study?
A) Up to 5 years; B) 2 weeks; C) 1 year; D) 6 months

Correct answer: A) Up to 5 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs for subjects participating in the WINSHIP4933-19 study?

A) Subjects will have to pay for the two experimental PET-CT scans and the special blood test out of pocket.
B) Subjects will not incur any costs for the study procedures, including the PET-CT scans and the special blood test.
C) Subjects will be responsible for the costs of biopsies or additional imaging tests, which will be billed to their insurance.
D) Subjects will receive a stipend to cover any additional costs that may arise from participating in the study.

Correct answer: C) Subjects will be responsible for the costs of biopsies or additional imaging tests, which will be billed to their insurance."
4,A description of the procedures to be followed,"Which of the following procedures will participants undergo as part of the WINSHIP4933-19 study?

A) Two PET-CT scans using different radiotracers on the same day and a single blood draw of 10 mL.
B) Two PET-CT scans using different radiotracers on separate days and a single blood draw of 20 mL.
C) One PET-CT scan using a single radiotracer and multiple blood draws totaling 40 mL.
D) One MRI scan and a blood draw of 20 mL on the same day.

Correct answer: B) Two PET-CT scans using different radiotracers on separate days and a single blood draw of 20 mL."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study at any point?
A) You will be required to pay for all study-related procedures that have been performed; B) You may be asked to complete some final steps and procedures for safety reasons; C) Your access to medical care outside of the study will be restricted; D) You will have to reimburse the study for the compensation received for completed visits.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures are considered experimental in the WINSHIP4933-19 study?
A) Standard care imaging such as CT, MRI, or FDG PET-CT scans; B) Blood tests to check for general health; C) PET-CT scans using the radiotracers fluciclovine and Ga-68 PSMA; D) Biopsies performed as a standard of care

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the WINSHIP4933-19 research study?
A) 10; B) 20; C) 30; D) 40
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the WINSHIP4933-19 study?
A) Excessive time commitment for study procedures; B) Guaranteed improvement in cancer detection; C) Immediate financial gain from the study's outcomes; D) Guaranteed cure for breast cancer
Correct answer: A) Excessive time commitment for study procedures"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to the subject for participating in the WINSHIP4933-19 research study?
A) Guaranteed improvement in the subject's breast cancer condition
B) Direct financial compensation for the subject's time and effort
C) Immediate access to FDA-approved treatments for breast cancer
D) Personal medical advice from the research team on unrelated health issues

Correct answer: B) Direct financial compensation for the subject's time and effort"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you decide not to participate in the WINSHIP4933-19 research study?
A) You will receive a different set of experimental PET-CT scans not related to this study; 
B) You will be enrolled in a different research study focused on breast cancer treatment;
C) You will receive standard of care imaging which includes CT, MRI or FDG PET-CT as decided by your doctor;
D) There are no alternative options available outside of this research study.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected in this study?
A) Your personal health information will be shared publicly to help with the research study.
B) Your personal health information will be used and disclosed only by the study team and will not be shared with any third parties.
C) Your personal health information may be used and disclosed by the study team and shared with certain individuals and organizations involved in the study, but efforts will be made to protect your identity by using a study number instead of your name.
D) Your personal health information will be completely open to the public, including your name and other identifying details.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in the WINSHIP4933-19 study, which of the following statements is true regarding compensation for medical treatment?
A) The study sponsor has set aside a fund to cover all medical treatment costs related to the injury.
B) Emory and Saint Joseph’s will provide free medical treatment for any injuries directly caused by the study.
C) Emory and Saint Joseph’s will help you get medical treatment, but there is no special fund set aside, and your insurer will be billed for treatment costs.
D) You will receive full compensation for any injuries, regardless of insurance coverage or the cause of the injury.

Correct answer: C) Emory and Saint Joseph’s will help you get medical treatment, but there is no special fund set aside, and your insurer will be billed for treatment costs."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an adverse reaction or injury related to the research study, whom should you contact immediately?

A) Your primary care physician;
B) Dr. Schuster's research nurse (study coordinator) Bridget Fielder;
C) The nearest emergency room;
D) The Emory Institutional Review Board.

Correct answer: B) Dr. Schuster's research nurse (study coordinator) Bridget Fielder."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form indicate about your ability to decline participation in the study?
A) Declining to participate will result in a loss of medical benefits.
B) Participation is mandatory once you agree to the initial screening.
C) You can refuse to participate or stop participating at any time without any impact on your medical care.
D) If you refuse to participate, you will be subject to a penalty.

Correct answer: C"
