,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the Gastric Financial Navigation Study?

A) It is a routine check-up program for general health maintenance.
B) It is a research study designed to evaluate the impact of a financial navigation program for cancer patients and their caregivers.
C) It is a commercial service offering financial advice to the general public.
D) It is a compulsory government audit of patient finances.

Correct answer: B) It is a research study designed to evaluate the impact of a financial navigation program for cancer patients and their caregivers."
1,An explanation of the purposes of the research,"What is the primary goal of the Pilot Randomized Study of a Proactive Financial Navigation Intervention in Patients With Newly Diagnosed Gastric and Gastroesophageal Junction (GEJ) Adenocarcinoma?
A) To compare the effectiveness of different chemotherapy treatments for gastric cancer; B) To assess the impact of a financial navigation program on patients' understanding of cancer care costs and their ability to access financial resources; C) To determine the best surgical procedures for patients with gastric and GEJ cancer; D) To evaluate the psychological impact of cancer diagnosis on patients and caregivers.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for subjects in the Pilot Randomized Study of a Proactive Financial Navigation Intervention?
A) 1 month; B) 3 months; C) 6 months; D) 12 months
Correct answer: C) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"What does the new consent form indicate about any additional costs you may incur as a result of participating in the study?
A) Participants will have to pay for the financial counseling sessions.
B) Participants will be charged for the assistance from the Patient Advocate Foundation.
C) There are no additional costs for participating in the study.
D) Participants will need to purchase the educational videos provided in the study.

Correct answer: C) There are no additional costs for participating in the study."
4,A description of the procedures to be followed,"What will happen if you agree to participate in the financial navigation program study for patients with newly diagnosed gastric and GEJ adenocarcinoma?
A) You will be automatically assigned to the intervention group.
B) You will be required to attend in-person financial counseling sessions weekly.
C) You will be randomly assigned to either the intervention group or the usual care group with a 50% chance for each.
D) You will receive a series of 12 monthly phone calls from the study team.

Correct answer: C) You will be randomly assigned to either the intervention group or the usual care group with a 50% chance for each."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Pilot Randomized Study of a Proactive Financial Navigation Intervention after consenting to participate?
A) You will be required to pay for any services received during the study; B) You will lose access to your regular medical care; C) Your survey results and information will remain in the study records and cannot be removed; D) You will be obligated to continue the study activities until completion.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental component of the Pilot Randomized Study of a Proactive Financial Navigation Intervention in Patients With Newly Diagnosed Gastric and Gastroesophageal Junction (GEJ) Adenocarcinoma?
A) Completing surveys about financial experiences and quality of life;
B) Review of medical records by the research study team;
C) Participation in monthly phone calls with community-based partners for financial navigation assistance;
D) Watching a series of online videos about financial literacy and healthcare coverage.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants, including patients and caregivers, will be enrolled in the financial navigation study?
A) 20; B) 40; C) 60; D) 80

Correct answer: C) 60"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the Gastric Financial Navigation Study?
A) Physical side effects from medical treatments; B) Emotional distress from discussing sensitive financial information; C) Time commitment for monthly phone calls; D) Risk of not receiving any medical care during the study

Correct answer: B) Emotional distress from discussing sensitive financial information"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the financial navigation program for cancer patients and their caregivers as described in the study?
A) Guaranteed financial compensation for medical expenses
B) Assistance in understanding and managing cancer care costs and accessing resources
C) Provision of a permanent financial advisor for all future healthcare needs
D) Immediate debt forgiveness for all cancer-related expenses

Correct answer: B) Assistance in understanding and managing cancer care costs and accessing resources"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to participants who choose not to enroll in the financial navigation program of the study?
A) Participants can seek financial advice from independent financial advisors; 
B) Participants will not have any alternative options and must manage their finances without assistance;
C) Participants can access financial programs offered by their community or where they receive their cancer treatment;
D) Participants are required to find their own resources without any guidance from the study team.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled in the Gastric Financial Navigation Study?
A) Your personal information will be shared publicly to promote the study.
B) Your personal information will be kept confidential and only accessed by authorized study team members and specific partners mentioned in the consent form.
C) Your personal information will be used for marketing purposes unrelated to the study.
D) All your financial information will be accessible to any staff member at the Seattle Cancer Care Alliance without restrictions.

Correct answer: B"
