,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the Managing Distress in Malignant Brain Cancer study?
A) The study is a commercial service offered to patients with brain cancer.
B) The study is a routine treatment that all patients with brain cancer receive.
C) The study is a research project investigating the effectiveness of the CALM therapy approach for brain cancer patients.
D) The study is a mandatory government program for brain cancer surveillance.

Correct answer: C) The study is a research project investigating the effectiveness of the CALM therapy approach for brain cancer patients."
1,An explanation of the purposes of the research,"What is the primary goal of the Managing Distress in Malignant Brain Cancer study?
A) To compare the effectiveness of different chemotherapy drugs for brain cancer; B) To assess the impact of the CALM therapy on mood and quality of life in brain cancer patients; C) To determine the best surgical techniques for treating brain metastasis; D) To evaluate the financial costs of long-term cancer treatment

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total expected duration of participation for subjects in the Managing Distress in Malignant Brain Cancer study?
A) 3 months; B) 4 months; C) 6 months; D) 12 months

Correct answer: C) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"What financial costs will you, as a participant, be responsible for if you decide to join the Managing Distress in Malignant Brain Cancer study?
A) You will be responsible for the costs of the CALM intervention sessions.
B) You will need to pay for the online surveys and Zoom sessions.
C) There are no financial costs to you for participating in this study.
D) You will be charged for the therapy materials provided during the study.

Correct answer: C) There are no financial costs to you for participating in this study."
4,A description of the procedures to be followed,"What is the correct sequence of procedures a participant will undergo after enrolling in the Managing Distress in Malignant Brain Cancer study?

A) Complete online surveys, attend CALM intervention sessions, participate in an exit interview, and receive Amazon e-gift cards as compensation.
B) Attend CALM intervention sessions, complete online surveys, receive Amazon e-gift cards as compensation, and participate in an exit interview.
C) Participate in an exit interview, complete online surveys, attend CALM intervention sessions, and receive Amazon e-gift cards as compensation.
D) Receive Amazon e-gift cards as compensation, complete online surveys, participate in an exit interview, and attend CALM intervention sessions.

Correct answer: A) Complete online surveys, attend CALM intervention sessions, participate in an exit interview, and receive Amazon e-gift cards as compensation."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Managing Distress in Malignant Brain Cancer study?
A) You will be required to pay for any services you received during the study; B) Withdrawing from the study will result in a loss of medical care benefits; C) You will no longer be eligible to receive the $20 Amazon e-gift card for participation; D) Your decision to withdraw will not affect your medical care or entitlement to benefits you otherwise have.

Correct answer: D"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental therapy being tested in this study for patients with brain cancer?
A) Regular neuropsychological evaluations and recommendations from Dr. Loughan;
B) The Managing Cancer and Living Meaningfully (CALM) intervention program;
C) Standard medical care for brain metastasis at the VCU Massey Cancer Center;
D) Access to usual care in clinic for any mental health or cognitive concerns.

Correct answer: B) The Managing Cancer and Living Meaningfully (CALM) intervention program."
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Managing Distress in Malignant Brain Cancer study?
A) 50 participants; B) 100 participants; C) 150 participants; D) The document does not specify the number of participants. 

Correct answer: D) The document does not specify the number of participants."
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in the Managing Distress in Malignant Brain Cancer study?
A) Physical side effects from medication; B) Emotional distress from discussing personal health issues; C) Financial costs for participating in the study; D) Risk of cancer progression due to participation

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits may participants experience from the Managing Distress in Malignant Brain Cancer study?
A) Guaranteed cure for brain cancer
B) Improvement in mood and quality of life
C) Financial gain from the sale of personal health information
D) Access to exclusive medical treatments not available to non-participants

Correct answer: B"
