,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being invited to participate in according to the consent form?
A) A routine medical check-up with your primary care provider.
B) A voluntary research study to evaluate cancer screening methods.
C) A mandatory government health screening program.
D) A commercial promotion for home testing kits.

Correct answer: B) A voluntary research study to evaluate cancer screening methods."
1,1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To assess the effectiveness of a new cancer treatment medication; B) To evaluate the acceptability and impact of self-sampling kits on cancer screening rates in rural areas; C) To compare the cost-effectiveness of home screening versus in-clinic screening; D) To determine the best marketing strategies for cancer awareness campaigns

Correct answer: B"
2,2,The expected duration of the subject's participation,"How much time is anticipated for a participant to be involved in the research study, including the completion of surveys and self-sampling kits?
A) Approximately 1 hour and 30 minutes; B) Approximately 2 hours; C) Approximately 1 hour; D) Approximately 35 minutes
Correct answer: A"
3,3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of participants for taking part in the cancer screening research study?

A) Participants will have to pay for the self-sampling kits and surveys.
B) Participants will be charged for any follow-up care required after the study.
C) There are no costs to participants for participating in the study.
D) Participants will need to cover the costs of mailing back the self-sampling kits.

Correct answer: C) There are no costs to participants for participating in the study."
4,4,A description of the procedures to be followed,"What will happen after you are randomly assigned to one of the two groups in the study?

A) If assigned to the control group, you will complete an at-home self-sampling kit for cervical and colorectal cancer.
B) If assigned to the intervention group, you will be asked to call your provider to schedule a cervical and colorectal cancer screening.
C) If assigned to the control group, you will be asked to call your provider to schedule a cervical and colorectal cancer screening.
D) Both groups will complete the at-home self-sampling kits and no surveys will be conducted.

Correct answer: C) If assigned to the control group, you will be asked to call your provider to schedule a cervical and colorectal cancer screening."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw your permission for the researchers to use or share your health information for this study?
A) Contact the principal investigator in writing using the provided address; B) No action is required, as withdrawal is automatic; C) Inform your primary care provider to stop the study; D) Pay a fee to withdraw from the study

Correct answer: A"
6,6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this research study?
A) Scheduling a cervical and colorectal cancer screening with your provider; B) Completing a survey about your health and screening practices; C) Using at-home self-sampling kits for cervical and colorectal cancer screening; D) Receiving standard clinician-collected tests for cancer screening.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the cancer screening research study?
A) 50; B) 100; C) 150; D) The consent form does not specify the number of participants.
Correct answer: D"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are some of the potential risks or discomforts that participants might experience in this study?
A) Experiencing minor internal damage from the self-sampling kit for cervical cancer; B) Severe allergic reactions to the self-sampling kit materials; C) Long-term health complications as a direct result of participating in the study; D) Risk of breach of confidentiality despite precautions

Correct answer: A and D"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the cancer screening research study?

A) Participants will receive a guaranteed cure for any detected cancer.
B) Participants will directly benefit from the use of self-sampling kits by receiving immediate medical treatment for cancer.
C) Participants may contribute to the long-term benefit of making self-sampling for cervical and colorectal cancer a more common practice, potentially improving the screening process.
D) Participants will receive personalized medical advice on cancer prevention as a direct benefit of the study.

Correct answer: C"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative option is available if you choose not to participate in the cancer screening study?
A) You can opt for a clinician-collected cancer screening test at a local hospital; B) You will be provided with a different type of home cancer screening kit; C) There are no alternative screening options available; D) You are recommended to contact your primary care provider to receive cervical and colorectal cancer screenings.
Correct answer: D"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes the measures taken to protect your confidentiality in this research study?
A) Your identifying information will be made publicly available for research transparency.
B) Your identifying information will be stored on a public database without any security measures.
C) Your identifying information will be kept on a secure, password-protected server and access is limited to the study team.
D) The researchers will share your personal health information with marketing agencies for promotional purposes.

Correct answer: C"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants in the event of injury during the research study?
A) Free medical treatment for any injuries sustained during the study.
B) A predetermined monetary compensation for any injuries sustained during the study.
C) No specific compensation for injuries; however, all necessary medical facilities and professional services will be available.
D) Participants will receive Walmart gift cards as compensation for their participation, regardless of injury.

Correct answer: C) No specific compensation for injuries; however, all necessary medical facilities and professional services will be available."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience discomfort or believe you may have been harmed from participating in the research, whom should you contact?

A) The principal investigator, Dr. Jennifer Moss;
B) The nearest hospital emergency department;
C) The Penn State College of Medicine's general information line;
D) The research protection advocate in the HMC Human Subjects Protection Office.

Correct answer: A) The principal investigator, Dr. Jennifer Moss;"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the cancer screening research study?

A) You will lose access to certain medical benefits you currently have.
B) You will face a penalty for not participating.
C) Your decision will not result in any penalty or loss of benefits to which you are entitled.
D) You will not be able to receive any medical care from Primary Health Network.

Correct answer: C) Your decision will not result in any penalty or loss of benefits to which you are entitled."
