,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best reflects the nature of the activity described in the consent form?
A) The activity is a routine medical check-up with no research component.
B) The activity is a commercial product trial.
C) The activity is a research study investigating the effects of exercise on blood cells in Chronic Lymphocytic Leukaemia patients.
D) The activity is a leisure sports event organized for Chronic Lymphocytic Leukaemia patients.

Correct answer: C) The activity is a research study investigating the effects of exercise on blood cells in Chronic Lymphocytic Leukaemia patients."
1,An explanation of the purposes of the research,"What is the primary focus of the research study described in the consent form?
A) The effects of long-term medication use in Chronic Lymphocytic Leukaemia; B) The impact of diet on Chronic Lymphocytic Leukaemia; C) How acute exercise affects the mobilization of tumor and immune cells into the blood in Chronic Lymphocytic Leukaemia; D) The genetic predisposition to Chronic Lymphocytic Leukaemia

Correct answer: C"
2,The expected duration of the subject's participation,"For how many years will the blood samples collected during the study potentially be stored for future research?
A) 5 years; B) 10 years; C) 15 years; D) 20 years
Correct answer: B) 10 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Characterising Tumour and Immune Cell Mobilisation Into Blood in Response to Acute Exercise in Chronic Lymphocytic Leukaemia study?
A) Participants will be charged for the blood and adipose tissue biopsies required during the study.
B) Participants will incur additional costs for any medical care needed as a result of participating in the study.
C) The consent form does not mention any additional costs to the participant for taking part in the study.
D) Participants will have to pay for the storage of their blood samples for future research.

Correct answer: C) The consent form does not mention any additional costs to the participant for taking part in the study."
4,A description of the procedures to be followed,"Which of the following procedures will participants in the study undergo?
A) A single blood test at the beginning of the study.
B) A series of blood tests and potential storage of blood samples for future research.
C) A mandatory adipose tissue biopsy from the waist.
D) An immediate destruction of blood samples after initial analysis.

Correct answer: B) A series of blood tests and potential storage of blood samples for future research."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What happens to your data if you choose to withdraw from the study after the follow-up period is completed?
A) Your data will be immediately destroyed and not used in the study analysis;
B) Your data will be retained and used in the study analysis, but your identifying information will be destroyed;
C) Your data and identifying information will be kept indefinitely for future research without your consent;
D) You will be required to provide a reason for your withdrawal, and your data will be kept based on that reason.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures in the study is considered experimental for participants with Chronic Lymphocytic Leukaemia?
A) Routine blood tests during regular check-ups; B) Genetic and epigenetic analysis of blood samples; C) Obtaining an adipose tissue biopsy from the waist; D) Inspection of medical notes by regulatory authorities

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Chronic Lymphocytic Leukaemia exercise study according to the consent form?
A) 50; B) 100; C) 150; D) The consent form does not specify the number of participants.

Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience in this study?
A) Long-term medication side effects; B) Discomfort from exercise; C) Pain or discomfort from the optional adipose tissue biopsy; D) Increased progression of Chronic Lymphocytic Leukaemia

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Chronic Lymphocytic Leukaemia exercise study as described in the consent form?
A) Guaranteed cure for Chronic Lymphocytic Leukaemia
B) Financial compensation for participation
C) Contribution to future research that may benefit others with Chronic Lymphocytic Leukaemia
D) Personal medical advice from the research team

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the exercise study for Chronic Lymphocytic Leukaemia, which of the following alternative procedures or treatments may be available to you?
A) You may continue with your current treatment plan as advised by your healthcare provider; B) You will be required to participate in a different exercise program; C) You will be automatically enrolled in another research study; D) No alternatives are available and you must participate in the study.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who is authorized to inspect relevant sections of your medical notes and data collected during the study for Chronic Lymphocytic Leukaemia?
A) Only the primary researcher conducting the study;
B) Individuals from The Department for Health at the University of Bath, regulatory authorities, or the NHS Trust;
C) All staff members at the University of Bath;
D) Any member of the public interested in the research findings.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form indicate about compensation and medical treatment if a participant is injured during the study?
A) Participants will receive financial compensation for any injury sustained during the study.
B) The consent form does not mention any compensation or medical treatment for injuries.
C) Participants will be provided with free medical treatment for any injuries sustained.
D) Further information regarding compensation and medical treatment for injuries can be obtained from the research team.

Correct answer: B) The consent form does not mention any compensation or medical treatment for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have any questions about your rights as a research subject or wish to discuss problems or concerns related to the study, whom should you contact?

A) The Department for Health at the University of Bath;  
B) The NHS Trust;  
C) The person who took your consent for the study;  
D) A healthcare lawyer not affiliated with the study.

Correct answer: C) The person who took your consent for the study."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form indicate about your ability to withdraw from the study?
A) You can withdraw at any time but your data will not be destroyed.
B) You can withdraw at any time, but only before the follow-up period is completed.
C) You can withdraw at any time, but your data may still be used if the follow-up period is completed.
D) Withdrawing from the study will result in a penalty or loss of benefits you are otherwise entitled to.

Correct answer: C) You can withdraw at any time, but your data may still be used if the follow-up period is completed."
