,Topics,Questions
0,A statement that the study involves research,"Which of the following statements accurately reflects the nature of the study described in the consent form?
A) The study is a routine medical procedure with no research components.
B) The study is a Phase 1 clinical trial evaluating experimental therapies for B-cell Acute Lymphoblastic Leukemia (ALL).
C) The study is a survey research focusing on patient satisfaction with hospital care.
D) The study is a long-term observational study without any intervention.

Correct answer: B) The study is a Phase 1 clinical trial evaluating experimental therapies for B-cell Acute Lymphoblastic Leukemia (ALL)."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To compare the effectiveness of different blood pressure medications; B) To assess the long-term effects of dietary changes on leukemia; C) To evaluate the safety and potential benefits of Orca-T and CD19/CD22-CAR T cells in adults with B-cell Acute Lymphoblastic Leukemia; D) To determine the best physical therapy practices for post-stroke patients

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the active participation period for participants in this research study?
A) 1 year; B) 2 years; C) 5 years; D) 15 years
Correct answer: B) 2 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding potential additional costs to you as a participant in this research study?
A) You will be responsible for all medical costs associated with the study, including routine care.
B) The study will cover all medical and personal costs, including transportation and personal time.
C) You and/or your health insurance must pay for services, supplies, procedures, and care that are required for routine medical care, as well as any co-payments or deductibles required by your insurance.
D) Participation in this study will provide you with full health insurance coverage for the duration of the study.

Correct answer: C"
4,A description of the procedures to be followed,"Which of the following statements best describes the procedures that participants will undergo during the study?

A) Participants will only receive a single dose of chemotherapy as part of the myeloablative conditioning regimen.
B) Participants will be required to stay in the hospital for approximately 7 days following cell infusion, but may need to stay longer as determined by the healthcare team.
C) Participants will receive the Orca-T graft and donor conventional CD19/CD22-CAR T cells infusion simultaneously on the same day.
D) Participants will not undergo any blood tests or monitoring after receiving the Orca-T graft and CD19/CD22-CAR T cells infusion.

Correct answer: B) Participants will be required to stay in the hospital for approximately 7 days following cell infusion, but may need to stay longer as determined by the healthcare team."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw from the study?
A) Immediately stop taking the study medication and inform your primary care physician; B) Contact Dr. Muffly at 650-721-2785 to formally withdraw your participation; C) Continue with the study procedures until the scheduled end of the study; D) Wait for the study team to contact you for confirmation of withdrawal

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the Phase 1 Trial for adults with B-cell Acute Lymphoblastic Leukemia (ALL)?
A) Standard chemotherapy for ALL; B) Use of Orca-T graft and donor conventional CD19/CD22-CAR T cells following myeloablative conditioning; C) Routine blood tests for monitoring health status; D) Administration of antibiotics for infection prevention

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants is the research study aiming to enroll at Stanford University for the Phase 1 Trial Evaluating the Safety of Myeloablative Conditioning, Orca-T, and Allogeneic, Donor-Derived CD19/CD22-CAR T cells in Adults with B-cell Acute Lymphoblastic Leukemia (ALL)?
A) 10-15; B) 12-18; C) 20-25; D) 30-35
Correct answer: B) 12-18"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the Orca-T infusion in the study?
A) Immediate improvement in blood pressure; B) Allergic reactions to components used in manufacturing Orca-T; C) Decreased risk of infection; D) Enhanced physical performance
Correct answer: B) Allergic reactions to components used in manufacturing Orca-T"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements accurately describes the potential benefits of participating in the Phase 1 Trial for B-cell Acute Lymphoblastic Leukemia (ALL) as outlined in the consent form?
A) Participants will definitely experience a reduction in their leukemia symptoms.
B) Participants will receive financial compensation for contributing to the advancement of medical research.
C) Participants may contribute to the development of new treatments for B-cell ALL and potentially help future patients.
D) Participants are guaranteed to receive personal health benefits from the experimental treatments used in the study.

Correct answer: C"
