,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the LCCC 20-3115 study?
A) It is a commercial product testing study.
B) It is a research study to test an educational workbook intervention.
C) It is a routine medical evaluation without any research components.
D) It is a personal genetic counseling session unrelated to research.

Correct answer: B) It is a research study to test an educational workbook intervention."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new medication for Lynch Syndrome; B) To assess the impact of a nutritional program on Lynch Syndrome patients; C) To test the feasibility of an educational workbook intervention to improve cascade screening for Lynch Syndrome; D) To compare the outcomes of different surgical procedures in Lynch Syndrome patients.
Correct answer: C"
2,The expected duration of the subject's participation,"For how long will participants be involved in the ""Overcoming Barriers to the Uptake of Cascade Screening for Lynch Syndrome"" study?
A) 12 weeks; B) 6 weeks; C) 3 weeks; D) 8 weeks
Correct answer: B) 6 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs that participants may incur as a result of participating in the research study ""Overcoming Barriers to the Uptake of Cascade Screening for Lynch Syndrome""?

A) Participants will have to pay for the educational workbook and survey tools used in the study.
B) Participants will be responsible for the costs associated with internet access and the device needed for the study.
C) Participants will be charged for the genetic counseling sessions related to the study.
D) Participants will be required to pay for the Zoom video conferencing software used for interviews.

Correct answer: B) Participants will be responsible for the costs associated with internet access and the device needed for the study."
4,A description of the procedures to be followed,"What steps will participants take after enrolling in the study on cascade screening for Lynch Syndrome?
A) Participants will immediately complete the workbook exercises and survey.
B) Participants will attend a genetic counseling session, use the workbook independently, and then complete a survey and interview.
C) Participants will undergo genetic testing before using the workbook.
D) Participants will only complete a survey without any interview or workbook exercises.

Correct answer: B) Participants will attend a genetic counseling session, use the workbook independently, and then complete a survey and interview."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Overcoming Barriers to the Uptake of Cascade Screening for Lynch Syndrome"" study after beginning participation?
A) You will be required to pay a penalty fee for early withdrawal; B) You will be obligated to continue the study activities until a replacement participant is found; C) You may stop participating at any time without any penalties; D) Your access to Lynch Syndrome-related healthcare services will be restricted.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is the experimental procedure being tested in the study regarding Lynch Syndrome?
A) Routine genetic counseling sessions for Lynch Syndrome patients; B) Use of an educational workbook designed to facilitate family communication and encourage genetic testing; C) Standard genetic testing for Lynch Syndrome; D) Receiving a $75 Amazon gift card for study participation

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many Lynch Syndrome patients does the study aim to recruit for participation?
A) 5; B) 10; C) 15; D) 20
Correct answer: C) 15"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is the main risk associated with participating in the study on the feasibility of an educational workbook intervention for Lynch Syndrome?
A) Physical side effects from medical treatments; B) Breach of participant confidentiality; C) Financial costs to the participant; D) Risk of cancer from genetic testing

Correct answer: B) Breach of participant confidentiality"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential personal benefit that participants may experience from using the educational workbook in the study on Lynch Syndrome cascade screening?
A) Participants may receive a definitive cure for Lynch Syndrome.
B) Participants may learn more about Lynch Syndrome and effective communication with family members.
C) Participants will be guaranteed insurance coverage for any Lynch Syndrome-related treatments.
D) Participants will receive professional genetic counseling certification.

Correct answer: B) Participants may learn more about Lynch Syndrome and effective communication with family members."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the educational workbook intervention study for Lynch Syndrome, what is an alternative option available to you?
A) You will be provided with standard genetic counseling services without the use of the workbook; B) You will be required to participate in a different Lynch Syndrome study; C) There are no alternative options available; D) You will receive a different form of educational intervention through mail.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your confidentiality will be maintained during the ""Overcoming Barriers to the Uptake of Cascade Screening for Lynch Syndrome"" study?
A) Your identity will be shared with the public along with the study results.
B) Your interview will be recorded without video and stored securely, with access limited to the research team, and your data will be de-identified for analysis.
C) All your personal health information will be made available on www.clinicaltrials.gov.
D) The researchers will provide your personal health information to your employer upon request.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form indicate about compensation and medical treatment if a participant is injured during the study?

A) Participants will receive free medical treatment for any injuries sustained during the study.
B) Participants will receive financial compensation for any injuries sustained during the study.
C) The consent form does not arrange for compensation or free medical treatment for injuries related to the study.
D) Participants will be provided with additional Amazon gift cards if they are injured during the study.

Correct answer: C) The consent form does not arrange for compensation or free medical treatment for injuries related to the study."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns about your rights as a research subject or wish to offer input or obtain information about the study, whom should you contact?
A) The principal investigator of the study; B) The Institutional Review Board (IRB); C) The study sponsor; D) Your personal physician

Correct answer: B) The Institutional Review Board (IRB)"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form indicate about the voluntary nature of participation in the study on the uptake of cascade screening for Lynch Syndrome?
A) Participation is mandatory and required by law.
B) Participation is voluntary, and you can choose not to participate without any penalties.
C) Refusal to participate will result in a loss of medical benefits.
D) Participants must complete the study once they start, and cannot withdraw.

Correct answer: B) Participation is voluntary, and you can choose not to participate without any penalties."
