,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the PROMIS WOMAN Education Program as outlined in the consent form?
A) The program is a routine healthcare service provided to all patients at the University of Kentucky.
B) The program is a research study aimed at improving cervical cancer prevention methods among Muslim American women.
C) The program is a commercial service offered by the University of Kentucky for a fee.
D) The program is a general educational course unrelated to health or medical research.

Correct answer: B) The program is a research study aimed at improving cervical cancer prevention methods among Muslim American women."
1,An explanation of the purposes of the research,"What is the primary goal of the PROMIS WOMAN Education Program research study?
A) To increase physical activity among Muslim American women; 
B) To improve dietary habits in the Muslim American community; 
C) To enhance cervical cancer prevention methods tailored to the religious and cultural needs of Muslim American women; 
D) To study the effects of sleep patterns on health outcomes in Muslim American women.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the total expected duration of participation for each subject in the PROMIS WOMAN Education Program study?
A) 2 hours for the intervention session and 45 minutes each for pre- and post-surveys; B) 6 months; C) 1 year; D) 3 weeks

Correct answer: A) 2 hours for the intervention session and 45 minutes each for pre- and post-surveys"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements accurately reflects the additional costs you may incur as a result of participating in the PROMIS WOMAN Education Program study?
A) Participants will be responsible for any travel expenses incurred to attend the education sessions.
B) Participants will be charged for completing the pre-test and post-test surveys.
C) There are no additional costs to participants, and they will be compensated for their time.
D) Participants must pay for the educational materials provided during the intervention program.

Correct answer: C) There are no additional costs to participants, and they will be compensated for their time."
4,A description of the procedures to be followed,"Which of the following best describes the sequence of procedures that a participant will undergo in the PROMIS WOMAN Education Program study?

A) Participants will complete a pre-survey, attend the intervention program, and then complete a post-survey and a satisfaction survey.
B) Participants will attend the intervention program, complete a pre-survey, and then be asked to participate in a focus group discussion.
C) Participants will be asked to complete a post-survey before attending the intervention program, followed by a pre-survey and a satisfaction survey.
D) Participants will first complete a satisfaction survey, then attend the intervention program, and finally complete the pre-survey and post-survey.

Correct answer: A) Participants will complete a pre-survey, attend the intervention program, and then complete a post-survey and a satisfaction survey."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the PROMIS WOMAN Education Program study at any time?
A) You will be required to reimburse the study for any compensation received; B) You will lose access to medical care at the University of Kentucky; C) Your decision to withdraw will not result in any penalty or loss of benefits you are entitled to; D) You will be prohibited from participating in future research studies at VCU

Correct answer: C"
6,Identification of any procedures which are experimental,"Which component of the PROMIS WOMAN Education Program is considered experimental in nature?
A) Completing a standard cervical cancer screening at a healthcare facility; B) Participating in a culturally tailored educational session designed for Muslim American women; C) Receiving a routine HPV vaccination; D) Undergoing a regular medical check-up with a primary care physician.

Correct answer: B) Participating in a culturally tailored educational session designed for Muslim American women."
7,The approximate number of subjects involved in the study,"How many participants will be recruited to evaluate the feasibility and acceptability of the adapted program in the PROMIS WOMAN Education Program study?
A) 10
B) 20
C) 30
D) 40

Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might encounter in the PROMIS WOMAN Education Program study?
A) Physical side effects from medical procedures; B) Emotional distress or discomfort from discussing sensitive topics; C) Risk of injury during educational sessions; D) Exposure to hazardous materials during the study

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to participants in the PROMIS WOMAN Education Program study?

A) Participants may receive a guaranteed cure for cervical cancer.
B) Participants will gain increased knowledge and awareness about cervical cancer prevention.
C) Participants will be exempt from future medical check-ups related to cervical cancer.
D) Participants will receive personalized medical treatment for cervical cancer during the study.

Correct answer: B) Participants will gain increased knowledge and awareness about cervical cancer prevention."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the PROMIS WOMAN Education Program, what alternative options are available for cervical cancer prevention education?
A) You will be provided with a standard cervical cancer prevention pamphlet; 
B) There are no alternative educational programs offered; 
C) You will be enrolled in a general health education program not specific to cervical cancer; 
D) You will receive one-on-one counseling sessions with a healthcare provider.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be protected during the PROMIS WOMAN Education Program study?
A) Personal information will be shared publicly to promote the study's findings.
B) Personal information will be anonymized and securely stored, accessible only to authorized research team members.
C) Personal information will be used for marketing purposes unrelated to the study.
D) Personal information will be disclosed to all study sponsors without any confidentiality measures.

Correct answer: B) Personal information will be anonymized and securely stored, accessible only to authorized research team members."
