,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a commercial product survey with no research component.
B) The activity is part of a routine medical treatment plan, not a research study.
C) The activity is a recreational program evaluation, not related to research.
D) The activity is a research study comparing two mouth sprays for dry mouth treatment in cancer survivors.

Correct answer: D) The activity is a research study comparing two mouth sprays for dry mouth treatment in cancer survivors."
1,1,An explanation of the purposes of the research,"What is the primary goal of the research study involving two mouth sprays for post-irradiation xerostomia in head and neck cancer survivors?
A) To compare the taste preferences between two mouth sprays; B) To evaluate the effectiveness of two mouth sprays in treating dry mouth symptoms; C) To assess the long-term side effects of using mouth sprays; D) To determine the cost-effectiveness of mouth sprays compared to traditional treatments

Correct answer: B) To evaluate the effectiveness of two mouth sprays in treating dry mouth symptoms"
2,2,The expected duration of the subject's participation,"How long is the total expected duration of participation for each subject in the mouth spray study?
A) 4 weeks; B) 6 weeks; C) 8 weeks; D) 10 weeks
Correct answer: B) 6 weeks"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs for participating in the mouth spray study for post-irradiation xerostomia in head and neck cancer survivors?
A) Participants will be responsible for the costs of emergency treatment related to research injuries.
B) Participants will incur costs for the mouth sprays used during the study.
C) Participants will be charged for completing the surveys and pH testing.
D) There are no additional costs to participants for being in the study.

Correct answer: D) There are no additional costs to participants for being in the study."
4,4,A description of the procedures to be followed,"What is the correct sequence of steps a participant will follow during the study period?

A) Initial survey, 2 weeks using Mouth Spray A, 1-week washout period, pH testing, 2 weeks using Mouth Spray B, final survey.
B) 1-week washout period, initial survey, pH testing, 2 weeks using Mouth Spray A, 1-week washout period, 2 weeks using Mouth Spray B, final survey.
C) 1-week washout period, pH testing, initial survey, 2 weeks using Mouth Spray B, 1-week washout period, 2 weeks using Mouth Spray A, final survey.
D) Initial survey, pH testing, 1-week washout period, 2 weeks using Mouth Spray A, 2 weeks using Mouth Spray B, 1-week washout period, final survey.

Correct answer: B) 1-week washout period, initial survey, pH testing, 2 weeks using Mouth Spray A, 1-week washout period, 2 weeks using Mouth Spray B, final survey."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the mouth spray study?
A) You will be required to pay back any compensation received; B) You will continue to be part of the study without using the mouth sprays; C) You will not be able to receive any medical care from the University of Pittsburgh or UPMC; D) You can stop participating at any time without affecting your relationship with the University of Pittsburgh or UPMC.

Correct answer: D"
6,6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for participants who have undergone radiation treatment for head and neck cancer?
A) Regular use of over-the-counter mouth sprays for hydration;
B) Comparison of two different over-the-counter mouth sprays to assess their effectiveness in treating dry mouth symptoms;
C) Routine pH testing of saliva to monitor acid levels in the mouth;
D) Completion of surveys regarding the effectiveness of standard dry mouth treatments.

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many individuals does the study aim to enroll for the evaluation of the two mouth sprays for post-irradiation xerostomia?
A) 100; B) 150; C) 200; D) 250
Correct answer: B) 150"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with the washout periods during the study?
A) Increased risk of cancer recurrence; B) Greater amount of dry mouth symptoms; C) Severe allergic reactions to water; D) Permanent loss of taste sensation

Correct answer: B) Greater amount of dry mouth symptoms"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the mouth spray study for post-irradiation xerostomia in head and neck cancer survivors?
A) Guaranteed cure for dry mouth symptoms
B) Potential relief from dry mouth symptoms using the mouth sprays
C) Financial compensation for the cost of medical treatments for dry mouth
D) A permanent supply of mouth sprays for personal use

Correct answer: B) Potential relief from dry mouth symptoms using the mouth sprays"
