,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in?
A) A routine medical treatment with no experimental procedures.
B) A research study evaluating the effectiveness of Tranexamic Acid in bone sarcoma surgeries.
C) A survey about patient satisfaction with hospital services.
D) A commercial promotion for a new medication.

Correct answer: B) A research study evaluating the effectiveness of Tranexamic Acid in bone sarcoma surgeries."
1,An explanation of the purposes of the research,"What is the primary objective of the research study involving Tranexamic Acid (TXA) in patients undergoing limb salvage surgery for bone sarcoma?
A) To compare the effectiveness of TXA against a placebo in reducing postoperative pain;
B) To assess the impact of TXA on the speed of bone healing after surgery;
C) To evaluate the efficacy of TXA in preventing postoperative blood loss and associated complications;
D) To determine the cost-effectiveness of using TXA in all surgical procedures.

Correct answer: C"
2,The expected duration of the subject's participation,"How long will participants be actively involved in the study following their surgery?
A) Until 72 hours post-surgery; B) For 6 weeks post-surgery; C) For 1 year post-surgery; D) Indefinitely, with regular follow-ups

Correct answer: B) For 6 weeks post-surgery"
3,Any additional costs to the subject that may result from participation in the research,"Will participants in the study receive any financial compensation or have to pay any additional costs for participating in the research?

A) Participants will receive a stipend for their participation.
B) Participants will have to pay for the medication used in the study.
C) Participants will not receive any payments nor will they incur any additional costs.
D) Participants will be charged for additional post-operative care related to the study.

Correct answer: C) Participants will not receive any payments nor will they incur any additional costs."
4,A description of the procedures to be followed,"What will happen during the study if you are randomized to receive Tranexamic Acid (TXA)?

A) You will receive a placebo injection of 10 ml of normal saline during the operation.
B) You will be given an intravenous infusion of Tranexamic Acid during your surgery.
C) You will undergo a different surgical procedure than initially planned.
D) You will be monitored for side effects for a period of 6 months post-surgery.

Correct answer: B) You will be given an intravenous infusion of Tranexamic Acid during your surgery."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Tranexamic Acid study after initially consenting to participate?
A) You will be required to reimburse the cost of any treatments received during the study; B) You will be automatically enrolled in an alternative study; C) You will not face any penalties and will continue to receive the standard care as previously discussed with your surgeon; D) Your surgery will be canceled and rescheduled for a later date.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) General anesthesia during surgery; B) Routine post-operative care and monitoring; C) Administration of Tranexamic Acid (TXA) or placebo during surgery; D) Surgical limb salvage procedure

Correct answer: C) Administration of Tranexamic Acid (TXA) or placebo during surgery"
7,The approximate number of subjects involved in the study,"How many patients will be participating in the randomized controlled trial for assessing the efficacy of Tranexamic Acid in bone sarcoma patients?
A) 12; B) 24; C) 36; D) 48
Correct answer: C) 36"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with the use of Tranexamic Acid (TXA) in the study?
A) Increased risk of infection; B) Risk of clot formation in limb vessels; C) Risk of allergic reactions to anesthesia; D) Risk of long-term disability

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to subjects participating in the Tranexamic Acid study for bone sarcoma patients undergoing limb salvage surgery?
A) Guaranteed cure for bone sarcoma
B) Decreased risk of postoperative blood loss and associated complications
C) Financial compensation for participation in the study
D) Immediate post-surgery recovery

Correct answer: B) Decreased risk of postoperative blood loss and associated complications"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are your options if you choose not to participate in the Tranexamic Acid study for bone sarcoma patients undergoing limb salvage surgery?
A) You will be required to undergo an alternative experimental treatment; 
B) Your surgery will be postponed until you agree to participate;
C) You will receive the standard care and surgical plan previously discussed with your surgeon and anesthesiologist;
D) You will not receive any surgical treatment for your condition.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal information be handled in the study regarding the efficacy of Tranexamic Acid in bone sarcoma patients?
A) Information will be shared publicly for educational purposes;
B) Information will be stored in a locker cabinet accessible only to investigators and submitted to the hospital Clinical Research Office;
C) Information will be disclosed to all hospital staff members;
D) Personal information will be used for marketing purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation in case of injury due to participation in the research study?
A) Participants will receive a fixed monetary compensation for any injury.
B) Participants will be provided with free medical treatment for any injury.
C) Any adverse event occurring due to research will be managed as per hospital policy, without specific mention of compensation.
D) Participants will be compensated with future discounts on medical services at the hospital.

Correct answer: C) Any adverse event occurring due to research will be managed as per hospital policy, without specific mention of compensation."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns or questions about your rights as a participant in this study, whom should you contact?

A) The Secretary, Institutional Review Board at SKMCH & RC;
B) The Principal Investigator of the study;
C) The hospital's general information desk;
D) Your personal physician.

Correct answer: A) The Secretary, Institutional Review Board at SKMCH & RC;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the Tranexamic Acid study or if you choose to withdraw from the study at any point?

A) You will incur a penalty and may lose some medical benefits.
B) Your standard healthcare or surgical plan will remain unchanged.
C) You will be required to pay a fee for withdrawing.
D) Your medical records will be excluded from hospital files.

Correct answer: B) Your standard healthcare or surgical plan will remain unchanged."
