,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical check-up with no research component.
B) A commercial promotion for a new health-related product.
C) A research study involving healthy women volunteers to test a decision support website.
D) A social media campaign to raise awareness about breast cancer.

Correct answer: C) A research study involving healthy women volunteers to test a decision support website."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To provide a new treatment for breast cancer; B) To test a decision support website for women with DCIS; C) To conduct a survey on general health; D) To offer financial advice to breast cancer patients
Correct answer: B"
2,The expected duration of the subject's participation,"How much time should a participant expect to dedicate to this study in total?
A) 15-30 minutes; B) 45-60 minutes; C) 2 hours; D) 30-45 minutes
Correct answer: B) 45-60 minutes"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study titled ""The Mathematics of Breast Cancer Overtreatment: Improving Treatment Choice through Effective Communication of Personalized Cancer Risk""?

A) Participants will have to pay for the use of the decision support website.
B) Participants will incur costs related to the time spent participating in the study.
C) There are no additional costs to participants for being in the study.
D) Participants will be responsible for the costs of any medical treatment they receive as part of the study.

Correct answer: C) There are no additional costs to participants for being in the study."
4,A description of the procedures to be followed,"What steps will you need to take if you agree to participate in the study?

A) You will need to visit the Duke Mammography Clinic for a series of in-person assessments.
B) You will be asked to sign the consent form, explore a decision support website, and complete a survey.
C) You will be required to undergo a medical procedure at the Duke University Health System.
D) You will participate in a series of phone interviews with the study team over a period of several weeks.

Correct answer: B) You will be asked to sign the consent form, explore a decision support website, and complete a survey."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study after participating for a period of time?
A) You will be required to pay back the compensation received; B) Your health care services at Duke will be limited; C) Your participation will cease and no new data will be collected, but data already collected may still be used; D) You will be obligated to participate in a follow-up study
Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for the participants?
A) Completing a standard health questionnaire; B) Testing a decision support website designed for women with DCIS; C) Receiving a routine mammogram at the Duke Mammography Clinic; D) Providing personal health information for compensation purposes

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be recruited from the Duke Mammography Clinic for this study?
A) 100; B) 150; C) 200; D) 250
Correct answer: C) 200"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is the primary risk associated with participating in the study titled ""The Mathematics of Breast Cancer Overtreatment: Improving Treatment Choice through Effective Communication of Personalized Cancer Risk""?

A) Physical side effects from medical treatments
B) Emotional distress from discussing personal health issues
C) Potential loss of confidentiality of personal health information
D) Financial costs incurred by participating in the study

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the breast cancer overtreatment study?

A) Participants will receive personalized treatment for breast cancer.
B) Participants will receive a definitive diagnosis of breast cancer.
C) Participants may help improve future treatment decision-making for patients with DCIS.
D) Participants will receive medical advice on their personal health conditions.

Correct answer: C) Participants may help improve future treatment decision-making for patients with DCIS."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available for women diagnosed with DCIS if they choose not to participate in the study?
A) They can seek a second opinion from another medical professional; B) They can opt for standard treatment without the use of the decision support website; C) They will have to participate in a different study; D) No alternative options are provided

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled in the study ""The Mathematics of Breast Cancer Overtreatment: Improving Treatment Choice through Effective Communication of Personalized Cancer Risk""?
A) Your personal information will be shared publicly to promote the study.
B) Your personal information will be kept completely confidential and will not be shared with anyone.
C) Your personal information may be accessed by the study team, Duke University Health System Institutional Review Board, NIH representatives, and government agencies, but steps will be taken to ensure confidentiality.
D) Only the Principal Investigator will have access to your personal information, and it will not be shared with any other individuals or agencies.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What will happen if you experience an injury as a result of participating in this breast cancer overtreatment study?
A) You will receive free medical treatment for the injury.
B) The study will compensate you for the injury.
C) The study does not arrange for compensation or treatment for injury.
D) You will be referred to a specialist for injury treatment at no cost to you.

Correct answer: C) The study does not arrange for compensation or treatment for injury."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns or questions about your participation in the study, whom should you contact?

A) The National Institutes of Health (NIH); 
B) The Principal Investigator, Dr. Marc Ryser, during regular business hours; 
C) The Duke University Health System Institutional Review Board (IRB) Office; 
D) Your personal physician

Correct answer: B) The Principal Investigator, Dr. Marc Ryser, during regular business hours"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide to withdraw from the study after agreeing to participate?
A) You will incur a penalty and may lose benefits.
B) You will not be able to receive healthcare at Duke anymore.
C) Your withdrawal will not involve any penalty or loss of benefits, and it will not affect your access to healthcare at Duke.
D) The study team will continue to collect new data about you for study purposes.

Correct answer: C"
