,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the ""Forgotten Voices: Addressing Unmet Needs in Brain Tumor Caregivers"" study?

A) The study is a commercial service offered to caregivers of brain tumor patients.
B) The study is a routine therapy session that does not involve any research activities.
C) The study is a research project aiming to evaluate the effectiveness of the CALM intervention for caregivers.
D) The study is a general survey of caregivers' experiences without any specific therapeutic intervention.

Correct answer: C) The study is a research project aiming to evaluate the effectiveness of the CALM intervention for caregivers."
1,1,An explanation of the purposes of the research,"What is the primary goal of the ""Forgotten Voices"" research study?
A) To evaluate the effectiveness of a new medication for brain tumor patients; B) To assess the impact of the Managing Cancer and Living Meaningfully (CALM) therapy on caregivers of brain cancer patients; C) To provide financial assistance to caregivers of brain cancer patients; D) To compare different surgical techniques for brain tumor removal.

Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the expected duration of participation for caregivers in the ""Forgotten Voices"" study?
A) Up to 4 months; B) Up to 6 months; C) Up to 1 year; D) Up to 2 weeks

Correct answer: A) Up to 4 months"
3,3,Any additional costs to the subject that may result from participation in the research,"What financial costs will you be responsible for if you decide to participate in the ""Forgotten Voices"" study?
A) Cost of therapy sessions and online surveys
B) Cost of transportation and study-related materials
C) No financial costs, but your time will be required for meetings and sessions
D) Payment for the video recording equipment used during sessions

Correct answer: C) No financial costs, but your time will be required for meetings and sessions"
4,4,A description of the procedures to be followed,"What is the correct sequence of procedures a participant will follow if they decide to participate in the ""Forgotten Voices"" study?

A) Complete baseline questionnaires, attend therapy sessions, complete session surveys, and participate in an exit interview.
B) Participate in an exit interview, attend therapy sessions, complete session surveys, and then complete baseline questionnaires.
C) Attend therapy sessions first, then complete baseline questionnaires, followed by session surveys, and end with an exit interview.
D) Complete session surveys, attend therapy sessions, participate in an exit interview, and then complete baseline questionnaires.

Correct answer: A) Complete baseline questionnaires, attend therapy sessions, complete session surveys, and participate in an exit interview."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Forgotten Voices"" study?
A) You will be required to pay for any services received during the study; B) Withdrawing from the study will result in a penalty or loss of benefits you are entitled to; C) You may withdraw at any time without penalty or loss of benefits you are otherwise entitled to; D) Your medical care will be negatively affected if you decide to withdraw.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following is considered an experimental procedure in the ""Forgotten Voices"" study?
A) Completing standard medical treatments for brain cancer; 
B) Participating in the Managing Cancer and Living Meaningfully (CALM) therapy sessions;
C) Attending regular appointments with your primary care physician;
D) Receiving routine care from the hospital's oncology department.

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many caregivers are expected to participate in the ""Forgotten Voices"" study?
A) 3; B) 6; C) 12; D) 24

Correct answer: B) 6"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in the ""Forgotten Voices"" study?
A) Physical side effects from medication; B) Emotional distress from discussing personal experiences; C) Financial costs for participating in the study; D) Risk of injury during physical activities

Correct answer: B"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that caregivers may experience by participating in the CALM therapy sessions as part of this study?
A) Guaranteed improvement in the health of the patient with brain cancer
B) Possible improvement in the caregiver's mood and quality of life
C) Financial compensation for medical expenses related to brain cancer
D) Assurance of a cure for the patient's brain cancer through participation

Correct answer: B) Possible improvement in the caregiver's mood and quality of life"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the Forgotten Voices study, what other options are available to you as a caregiver?
A) You can still accompany your loved one to their CALM sessions without participating in the research study; B) You will be excluded from all CALM sessions with your loved one; C) You will be required to participate in an alternative research study; D) There are no other options or support available for caregivers.

Correct answer: A"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be protected if you participate in the ""Forgotten Voices"" study?
A) Your personal information will be shared publicly on the study's website.
B) Your personal information will be kept private and stored securely, with access limited to authorized individuals.
C) All session recordings will be made available to the public for educational purposes.
D) Your social security number will be shared with other study participants for payment processing purposes.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants if they experience any injury as a result of their participation in the ""Forgotten Voices"" study?

A) Participants will receive free medical treatment for any injuries sustained during the study.
B) Participants will receive financial compensation for any injuries sustained during the study.
C) The consent form does not mention any compensation for injuries sustained during the study.
D) Participants will receive additional Amazon e-gift cards as compensation for any injuries sustained during the study.

Correct answer: C) The consent form does not mention any compensation for injuries sustained during the study."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have any questions or concerns about your participation in the ""Forgotten Voices"" study, whom should you contact?

A) The American Psychological Foundation;
B) The principal investigator, Dr. Ashlee Loughan, or Kelcie D. Willis, MS;
C) The Department of Health and Human Services;
D) The Virginia Commonwealth University Office of Research.

Correct answer: B) The principal investigator, Dr. Ashlee Loughan, or Kelcie D. Willis, MS."
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you choose not to participate or decide to withdraw from the ""Forgotten Voices"" study at any time?

A) You will incur a penalty or lose benefits to which you are otherwise entitled.
B) Your medical care, employment status, or academic standing at VCU, VCU Massey Cancer Center, or VCU Health may be affected.
C) You will not face any penalty or loss of benefits to which you are otherwise entitled.
D) You will be required to pay for the costs of the study procedures that have been performed.

Correct answer: C) You will not face any penalty or loss of benefits to which you are otherwise entitled."
