,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the study for which the consent is being sought?
A) The study is a routine medical evaluation that does not involve research.
B) The study is a non-randomized observational study without any interventions.
C) The study is a randomized clinical trial that involves research to evaluate a treatment for body image concerns in head and neck cancer survivors.
D) The study is a commercial survey conducted by a pharmaceutical company for marketing purposes.

Correct answer: C) The study is a randomized clinical trial that involves research to evaluate a treatment for body image concerns in head and neck cancer survivors."
1,An explanation of the purposes of the research,"What is the primary goal of the BRIGHT study for head and neck cancer survivors?
A) To compare the effectiveness of two different surgical techniques; B) To assess the impact of a new chemotherapy drug; C) To evaluate the effectiveness of a telemedicine-based cognitive behavioral therapy for body image concerns; D) To provide financial assistance for cancer treatment

Correct answer: C"
2,The expected duration of the subject's participation,"How many months will participants be involved in the BRIGHT study for head and neck cancer survivors?
A) 3 months; B) 6 months; C) 9 months; D) 12 months
Correct answer: C) 9 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements best describes the additional costs you may incur as a result of participating in this research study?
A) You will be responsible for all medical and therapy costs associated with the study.
B) There will be no additional costs to you for procedures required in this research study, but routine clinical care will be billed to you or your insurance.
C) The study will cover all medical and therapy costs, including routine clinical care and any additional treatments.
D) You will receive all treatments and procedures free of charge, including those not related to the study.

Correct answer: B) There will be no additional costs to you for procedures required in this research study, but routine clinical care will be billed to you or your insurance."
4,A description of the procedures to be followed,"What is the correct sequence of steps a participant will undergo after agreeing to participate in the BRIGHT study for head and neck cancer survivors?

A) Complete baseline questionnaires, be randomly assigned to a group, undergo six weekly telemedicine sessions, and complete follow-up questionnaires.
B) Undergo a physical examination, receive six weeks of medication, and attend a final in-person assessment.
C) Be randomly assigned to a group, receive a medical device for home monitoring, and attend monthly in-person follow-up visits.
D) Attend an educational seminar, receive a series of injections, and participate in a focus group discussion.

Correct answer: A) Complete baseline questionnaires, be randomly assigned to a group, undergo six weekly telemedicine sessions, and complete follow-up questionnaires."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study at any time?
A) You will be required to pay a penalty fee for early withdrawal; 
B) Your medical care or benefits at MUSC will be negatively affected; 
C) You will still be responsible for any services rendered up to the point of withdrawal; 
D) Your decision to withdraw will not affect your current or future medical care or benefits at MUSC.

Correct answer: D"
6,Identification of any procedures which are experimental,"Which of the following interventions is considered experimental in this study for head and neck cancer survivors?
A) Standard medical treatment for head and neck cancer;
B) Routine clinical care and follow-up appointments;
C) Brief Tele-Cognitive Behavioral Therapy Intervention (BRIGHT) via video telemedicine;
D) Educational sessions on general health maintenance.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the study from the Medical University of South Carolina (MUSC)?
A) 50; B) 75; C) 100; D) 150
Correct answer: B) 75"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in this study?
A) Physical risks from medical procedures; B) Discomfort from discussing personal body image concerns; C) Risk of exposure to radiation; D) Risk of surgical complications

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may experience from the BRIGHT study for head and neck cancer survivors?
A) Guaranteed elimination of body image concerns
B) Possible decrease in body image concerns and improved quality of life
C) Financial compensation for medical expenses incurred during the study
D) Immediate access to new head and neck cancer treatments outside of the study

Correct answer: B) Possible decrease in body image concerns and improved quality of life"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What is the alternative to participating in the BRIGHT study for head and neck cancer survivors with body image concerns?
A) Undergoing standard chemotherapy treatment; 
B) Choosing not to participate in the study without any consequences to standard care; 
C) Receiving a different form of psychotherapy not offered in the study; 
D) Being automatically enrolled in another unrelated clinical trial.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes the confidentiality measures for your personal health information in this study?
A) Your personal health information may be shared with anyone without restrictions.
B) Your personal health information is protected by a Certificate of Confidentiality and cannot be disclosed without your consent, except as required by law.
C) Your personal health information will be made public as part of the study results.
D) The study does not include any measures to maintain the confidentiality of your personal health information.

Correct answer: B"
