,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the FWD1802 study?
A) The study is a commercial promotion for a new FDA-approved medication.
B) The study is a non-research related health survey.
C) The study is a phase I open-label dose escalation trial for research purposes.
D) The study is a routine treatment program for breast cancer patients.

Correct answer: C) The study is a phase I open-label dose escalation trial for research purposes."
1,An explanation of the purposes of the research,"What is the primary goal of the research study involving FWD1802?
A) To evaluate the effectiveness of FWD1802 in treating high blood pressure
B) To assess the safety and tolerability of FWD1802 in patients with ER+/HER2- unresectable locally advanced or metastatic breast cancer
C) To compare the efficacy of FWD1802 with standard chemotherapy treatments
D) To determine the impact of FWD1802 on cognitive function in elderly patients

Correct answer: B"
2,The expected duration of the subject's participation,"What is the expected duration of participation for a subject enrolled in the FWD1802 study?
A) Up to 6 months; B) Up to 12 months; C) Until disease progression or other discontinuation criteria are met; D) A fixed period of 3 months
Correct answer: C) Until disease progression or other discontinuation criteria are met"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in this study?
A) Subjects will be responsible for the costs of medical treatment for any study-related injuries.
B) Subjects will be charged for the study drug and associated medical procedures.
C) Subjects will not incur any costs for participating in the study.
D) Subjects will be compensated for travel and living expenses during the study.

Correct answer: C) Subjects will not incur any costs for participating in the study."
4,A description of the procedures to be followed,"Which of the following statements best describes the procedure for administering the study drug FWD1802 to participants in Part A of the study?

A) Participants in Part A will take FWD1802 continuously without any breaks throughout the study.
B) Participants in Part A will take a single dose of FWD1802 on Cycle 0 Day 1, followed by a 4-day observation period before starting daily dosing on Cycle 1 Day 1.
C) Participants in Part A will receive FWD1802 intravenously during each visit to the clinic.
D) Participants in Part A will take FWD1802 only on the days they visit the clinic for their scheduled appointments.

Correct answer: B) Participants in Part A will take a single dose of FWD1802 on Cycle 0 Day 1, followed by a 4-day observation period before starting daily dosing on Cycle 1 Day 1."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any time?
A) You will be required to pay for any study-related costs incurred up to the point of withdrawal; B) You will be asked to participate in an exit interview to discuss the reasons for your withdrawal; C) You may be asked to complete end-of-study evaluations, tests, or biospecimen collection; D) Your health insurance will be cancelled as a result of your withdrawal from the study.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the FWD1802 study is considered experimental?
A) Standard chemotherapy for breast cancer; B) Use of approved hormonal therapies for breast cancer; C) The phase I open-label dose escalation trial of FWD1802 as monotherapy and in combination with Palbociclib; D) Routine blood pressure and temperature checks

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the FWD1802 study for patients with ER+/HER2- unresectable locally advanced or metastatic breast cancer?
A) 50; B) 75; C) 99; D) 150
Correct answer: C"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the FWD1802 study?
A) Temporary discomfort from blood sample collection; B) Long-term disability from study procedures; C) Guaranteed improvement of health condition; D) Financial compensation for participation

Correct answer: A"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the FWD1802 study for subjects with ER+/HER2- unresectable locally advanced or metastatic breast cancer?
A) Participants will definitely experience a reduction in tumor size.
B) Participants will contribute to medical research that may benefit future patients with similar conditions.
C) Participants will receive financial compensation for their contribution to the study.
D) Participants are guaranteed to receive a new, FDA-approved treatment for their condition.

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative options for patients who choose not to participate in the FWD1802 study for ER+/HER2- unresectable locally advanced or metastatic breast cancer?
A) Patients can opt for standard chemotherapy or targeted therapy as advised by their oncologist; B) Patients will be required to participate in a different clinical trial; C) Patients will not receive any treatment for their condition; D) Patients will be given a placebo instead of the study drug.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who among the following is authorized to access your health records that may identify you during the FWD1802 study?
A) The study staff and the sponsor's representatives;
B) Your family and friends;
C) Public media outlets;
D) All members of the general public.

Correct answer: A) The study staff and the sponsor's representatives;"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a direct result of participating in this study, what kind of compensation or treatment can you expect to receive?
A) Full compensation for all medical treatments and lost wages.
B) Only the reasonable costs of necessary medical treatment may be reimbursed, and no compensation for lost wages.
C) A predetermined financial settlement regardless of the actual costs or losses incurred.
D) No compensation or medical treatment will be provided.

Correct answer: B) Only the reasonable costs of necessary medical treatment may be reimbursed, and no compensation for lost wages."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you contact immediately?

A) The Institutional Review Board (IRB)
B) The study doctor or study staff
C) The nearest emergency room if life-threatening
D) The sponsor company's customer service hotline

Correct answer: B) The study doctor or study staff"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the FWD1802 study?
A) Participation in the study is mandatory once you sign the consent form.
B) You may face penalties or lose benefits if you refuse to participate in the study.
C) You can voluntarily decide to stop participating in the study at any time without any penalties or loss of benefits.
D) If you refuse to participate, you will lose access to certain medical treatments.

Correct answer: C) You can voluntarily decide to stop participating in the study at any time without any penalties or loss of benefits."
