,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?

A) A routine medical check-up with your primary care physician.
B) A research study aimed at understanding resilience in older adults with late-stage lung cancer.
C) A commercial survey for marketing purposes.
D) A social gathering for community support without any data collection.

Correct answer: B) A research study aimed at understanding resilience in older adults with late-stage lung cancer."
1,An explanation of the purposes of the research,"What is the primary goal of the ""Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer"" study?
A) To provide financial assistance to older adults with lung cancer;
B) To assess the effectiveness of a new chemotherapy drug for lung cancer;
C) To evaluate a support program aimed at improving goal approach, daily task management, and coping with poor mood in older adults with lung cancer;
D) To compare the survival rates of different lung cancer treatments.

Correct answer: C"
2,The expected duration of the subject's participation,"For approximately how many weeks will participants be involved in the ""Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer"" study?
A) 8 weeks; B) 12 weeks; C) 16 weeks; D) 20 weeks
Correct answer: B) 12 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the ""Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer"" study?

A) Participants will have to pay for the tablet computer (iPad) used for video conferencing.
B) Participants will incur costs for the assessments and questionnaires completed during the study.
C) There are no additional costs to participants as a result of being in this study.
D) Participants will be responsible for the costs of video conferencing sessions.

Correct answer: C) There are no additional costs to participants as a result of being in this study."
4,A description of the procedures to be followed,"How many video conference sessions are participants expected to complete as part of the study intervention, and what is the approximate duration of each session?

A) Up to six sessions, each lasting 20-30 minutes.
B) Up to twelve sessions, each lasting 30-45 minutes.
C) Up to ten sessions, each lasting 45-60 minutes.
D) Up to eight sessions, each lasting 15-20 minutes.

Correct answer: B) Up to twelve sessions, each lasting 30-45 minutes."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer"" study?
A) You will be required to pay for any costs incurred up to the point of withdrawal; B) You will lose access to medical care at Duke University; C) Your withdrawal will not affect your entitlement to benefits or access to health care at Duke; D) You will be obligated to continue participating in other Duke University research studies.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered an experimental procedure in the study described in the consent form?
A) Regular medical care through current providers; B) Use of an accelerometer to monitor physical activity before, during, and after the intervention; C) Completion of questionnaires and assessments related to lung cancer treatment; D) Self-System Therapy sessions conducted via video conferencing

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many older adults are expected to participate in the Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer study at Duke University?
A) 10; B) 15; C) 20; D) 25
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk or discomfort that participants may experience during the Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer study?
A) Physical injury from the medical procedures; B) Increased distress from discussing personal topics; C) Exposure to high levels of radiation; D) Financial costs for participating in the study sessions

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may experience from the ""Resilience Measurement, Prediction, and its Role in Older Adults with Late-Stage Lung Cancer"" study?

A) Guaranteed improvement in physical health and elimination of cancer symptoms
B) Direct financial compensation for participation in the study
C) Possible improvement in coping with pain and other symptoms related to lung cancer
D) Assurance of complete confidentiality with no risk of information disclosure

Correct answer: C"
