,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the ""Fish and Fiber Study"" as outlined in the consent form?
A) The study is a routine medical treatment for existing conditions.
B) The study is a research project designed to understand the effects of fish oil and fiber on the human body.
C) The study is a commercial product trial for a new dietary supplement.
D) The study is a personal fitness program focusing on diet and exercise.

Correct answer: B) The study is a research project designed to understand the effects of fish oil and fiber on the human body."
1,An explanation of the purposes of the research,"What is the primary goal of the ""Fish and Fiber"" research study?
A) To test the effectiveness of a new colonoscopy technique
B) To understand the individual effects of fish oil and fiber on the human body
C) To explore the combined effect of fish oil and fiber on colon health and potential cancer prevention
D) To compare the benefits of corn oil to fish oil on cardiovascular health

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected total duration of participation for each subject in the Fish and Fiber study?
A) 2 months; B) 4 months; C) 6 months; D) 1 year

Correct answer: B) 4 months"
3,Any additional costs to the subject that may result from participation in the research,"What will happen with any potential additional costs incurred by participating in the ""Fish and Fiber"" study?
A) The study will cover all additional costs.
B) You or your health insurance will have to pay for any additional costs.
C) The study will reimburse travel expenses.
D) There are no extra costs for being in this study.

Correct answer: D) There are no extra costs for being in this study."
4,A description of the procedures to be followed,"Which of the following is a correct summary of the procedures you will need to follow if you participate in the Fish and Fiber study?

A) You will only need to take the study supplements for 15 days each period and provide blood and stool samples at the beginning of each period.
B) You will take the study supplements every day for 30 days each period, come to the center for blood draws at the beginning and end of each period, and collect stool samples at the beginning, middle, and end of each period.
C) You will be required to stay at the research center for the duration of the 30-day study periods to ensure compliance with the supplement regimen.
D) You will take the study supplements once a week for 30 weeks and submit to a single comprehensive health examination at the end of the study.

Correct answer: B) You will take the study supplements every day for 30 days each period, come to the center for blood draws at the beginning and end of each period, and collect stool samples at the beginning, middle, and end of each period."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Fish and Fiber study at any point after joining?
A) You will be required to pay a penalty for early withdrawal; B) Your regular medical care will be affected; C) Previously collected information will remain in the study records and cannot be removed; D) You will be prohibited from participating in future research studies at Fred Hutchinson Cancer Research Center

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental component of the Fish and Fiber study?
A) Routine blood tests conducted by your primary care physician;
B) Daily consumption of fish oil and fiber supplements or placebo for 30 days each period;
C) Standard clinical care for any unrelated medical conditions;
D) Collection of personal health and dietary habit information at the beginning of the study.

Correct answer: B) Daily consumption of fish oil and fiber supplements or placebo for 30 days each period."
7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the Fish and Fiber study?
A) 20; B) 30; C) 40; D) 50
Correct answer: C"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are some of the potential risks or discomforts associated with participating in the ""Fish and Fiber"" study?
A) Temporary bruising from blood draws and mild bloating from fiber supplements
B) Severe allergic reactions to the placebo supplements
C) Long-term digestive issues due to changes in diet
D) Increased risk of developing colon cancer

Correct answer: A"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the ""Fish and Fiber"" study?

A) Direct personal health benefits from the supplements provided.
B) Financial compensation for participation in the study.
C) Guaranteed prevention of colon cancer in the future.
D) Contributing to research that may help in the prevention of colon cancer in the future.

Correct answer: D) Contributing to research that may help in the prevention of colon cancer in the future."
