,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical check-up with no research component
B) A commercial promotion for a new medication
C) A prospective, single-arm, phase II clinical study for cervical cancer treatment
D) A non-research related educational program for patients

Correct answer: C) A prospective, single-arm, phase II clinical study for cervical cancer treatment"
1,An explanation of the purposes of the research,"What is the primary goal of the clinical study described in the consent form?
A) To assess the long-term side effects of zimberelimab; B) To evaluate the effectiveness and safety of zimberelimab in combination with concurrent radiotherapy for locally advanced cervical cancer; C) To compare zimberelimab with other existing treatments for cervical cancer; D) To determine the financial impact of zimberelimab treatment on patients

Correct answer: B"
2,The expected duration of the subject's participation,"What is the expected duration of participation for a subject in this clinical study?
A) 1 year; B) 2 years; C) 6 months; D) 3 years

Correct answer: B) 2 years"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs for subjects participating in the study?
A) Subjects will receive a subsidy of 500 RMB for examination costs, and the study drug zimberelimab is provided free of charge.
B) Subjects will have to pay for the study drug zimberelimab and all examination costs.
C) Subjects will be responsible for all medical costs, including those for chemotherapy drugs, radiotherapy, and examinations.
D) There are no additional costs for subjects; all treatment and examination costs are covered by the study.

Correct answer: A) Subjects will receive a subsidy of 500 RMB for examination costs, and the study drug zimberelimab is provided free of charge."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the treatment regimen for participants in the study?

A) Participants will receive zimberelimab injections every 7 days for a maximum duration of six months.
B) Participants will undergo radiotherapy within 8 weeks and receive concurrent chemotherapy every 7 days, up to 5 times, along with zimberelimab injections every 14 days, starting in the first week of radiotherapy, for a maximum duration of one year.
C) Participants will be given oral medication daily for the duration of the study, which is expected to last for 2 years.
D) Participants will be treated with zimberelimab alone without any concurrent radiotherapy or chemotherapy.

Correct answer: B"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any point?
A) You will be required to pay for all the treatments you received during the study; B) Your medical treatment and rights at Zhongshan Hospital will be negatively affected; C) You may be asked to complete relevant laboratory tests and physical examinations for your safety; D) You will be prohibited from seeking medical care at Zhongshan Hospital in the future.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study for locally advanced cervical cancer?
A) Standard chemotherapy administered every 7 days for up to 5 times; B) Zimberelimab in combination with concurrent radiotherapy; C) Routine blood count and blood biochemistry checks every week; D) Echocardiogram performed once per treatment cycle

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many subjects are expected to be recruited for the phase II clinical study of zimberelimab in combination with concurrent radiotherapy for locally advanced cervical cancer?
A) 10; B) 19; C) 50; D) 100
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the cervical cancer study involving zimberelimab and concurrent radiotherapy?
A) Temporary hair loss; B) Increased risk of common cold; C) Bone marrow suppression; D) Improved cardiovascular health

Correct answer: C) Bone marrow suppression"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the zimberelimab study for locally advanced cervical cancer as described in the consent form?
A) Guaranteed remission of the disease
B) Possible improvement in quality of life due to treatment
C) Financial compensation for participation in the study
D) Assurance of no disease progression

Correct answer: B) Possible improvement in quality of life due to treatment"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the zimberelimab and radiotherapy study for locally advanced cervical cancer, which of the following alternative treatment options are available to you?
A) Continuing with your current medication regimen without any changes; B) Using approved or other recommended drugs, such as anti-PD-1 drugs pembrolizumab or nivolumab; C) Undergoing a different experimental treatment not mentioned in the study; D) Only receiving lifestyle and dietary advice without any medical treatment.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have access to your personal health information according to the confidentiality statement in the new consent form?
A) Only the principal investigator and the research team; 
B) The principal investigator, research team, and representatives from the sponsor, ethics committee, and relevant regulatory authority inspectors; 
C) Only the ethics committee and relevant regulatory authority inspectors; 
D) No one will have access to your personal health information.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What type of compensation is provided to participants if they experience injury as a result of taking part in the zimberelimab cervical cancer study?
A) A fixed monetary compensation for any injury
B) Free treatment for the injury at the hospital conducting the study
C) Compensation covered by clinical study insurance provided by the drug supplier
D) No compensation is provided for injuries related to the study

Correct answer: C) Compensation covered by clinical study insurance provided by the drug supplier"
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an adverse event or injury during the study, whom should you notify immediately?

A) Your primary care physician
B) The principal investigator, Genlai Lin
C) The Ethics Committee of Zhongshan Hospital, Fudan University
D) Guangzhou Yu Heng Biotechnology Co.

Correct answer: B) The principal investigator, Genlai Lin"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding the voluntary nature of participation in the clinical study described in the new consent form?
A) Participation in the study is mandatory once consent is given.
B) Participants may face penalties if they choose to withdraw from the study.
C) Participants can withdraw from the study at any time without affecting their medical treatment and rights.
D) Refusal to participate in the study will result in a loss of medical benefits.

Correct answer: C) Participants can withdraw from the study at any time without affecting their medical treatment and rights."
