,Topics,Questions
0,A statement that the study involves research,"Does the consent form indicate that the participant will be involved in a research study?

A) Yes, it involves participation in a research study to evaluate the effects of metformin.
B) No, the consent form is for routine treatment without any research components.
C) The consent form is only for legal documentation and does not involve research.
D) The form is a general health questionnaire unrelated to research.

Correct answer: A) Yes, it involves participation in a research study to evaluate the effects of metformin."
1,An explanation of the purposes of the research,"What is the primary objective of the research study involving metformin for adolescents with acute lymphoblastic leukemia?
A) To determine the best dosage of metformin for daily consumption;
B) To assess the impact of metformin on the quality of life in adolescents;
C) To investigate whether metformin can decrease the expression of ABCB1 and AMPK genes in leukemia cells;
D) To compare the effectiveness of metformin against other standard leukemia treatments.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for a patient in the study involving the effect of metformin on gene expression in adolescents with acute lymphoblastic leukemia?
A) Until the completion of chemotherapy; B) For a period of 1 year; C) Throughout the patient's lifetime; D) The duration is not specified in the consent form.
Correct answer: D) The duration is not specified in the consent form."
3,Any additional costs to the subject that may result from participation in the research,"What will happen regarding additional costs if the participant experiences discomfort or problems during the study?
A) The study will reimburse all expenses incurred.
B) The participant may be responsible for any expenses incurred.
C) The participant will receive financial compensation for any discomfort.
D) All medical expenses will be covered by the study.

Correct answer: B) The participant may be responsible for any expenses incurred."
4,A description of the procedures to be followed,"What additional procedure will be performed at the time of the first bone marrow aspirate study if you agree to participate in the study?

A) An extra blood sample will be taken to analyze gene expression in leukemia cells.
B) A second bone marrow aspirate will be performed for comparative analysis.
C) A physical examination to assess the side effects of metformin.
D) A psychological evaluation to determine the patient's mental state.

Correct answer: A) An extra blood sample will be taken to analyze gene expression in leukemia cells."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if the participant decides to withdraw from the metformin study for adolescents with acute lymphoblastic leukemia?
A) The participant will have to reimburse the cost of the metformin provided; B) The participant will no longer receive any form of treatment for leukemia; C) Withdrawing from the study will not affect the quality of care the participant receives; D) The participant will be required to continue the study for a minimum period before withdrawal is permitted.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Routine chemotherapy treatment for leukemia; B) Blood biometry and bone marrow aspirates to monitor leukemia status; C) Administration of metformin to study its effects on gene expression in leukemia cells; D) Collection of age, gender, and characteristics from patient files

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many adolescents with acute lymphoblastic leukemia are expected to participate in the metformin study?
A) 20; B) 50; C) 100; D) The number of participants is not specified in the consent form.
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience in the study involving metformin for adolescents with acute lymphoblastic leukemia?
A) Headache and dizziness; B) Abdominal pain and bloating; C) Increased heart rate; D) Insomnia

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the metformin study for adolescents with acute lymphoblastic leukemia?
A) Guaranteed cure for leukemia
B) Financial compensation for participation
C) Possible decrease in the expression of genes associated with leukemia
D) Immediate medical reimbursement for any discomfort or problems

Correct answer: C) Possible decrease in the expression of genes associated with leukemia"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the metformin study, what is the standard care option available for adolescents with acute lymphoblastic leukemia at the General Hospital of Mexico ""Dr. Eduardo Liceaga""?
A) The patient will not receive any treatment for leukemia;
B) The patient will receive the standard chemotherapy regimen without the addition of metformin;
C) The patient will only receive supportive care without chemotherapy;
D) The patient will be referred to another institution for alternative experimental treatments.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will the confidentiality of the patient's records be handled in this study?
A) Patient records will be made public for educational purposes;
B) Patient records will be shared with all hospital staff regardless of their involvement in the study;
C) Patient records will be kept confidential and only used by the research team for study purposes;
D) Patient records will be disclosed to third-party advertisers for marketing purposes.

Correct answer: C) Patient records will be kept confidential and only used by the research team for study purposes."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation in the event of injury due to participation in the metformin study?
A) Participants will receive financial compensation for injuries.
B) Participants will receive free medical treatment for injuries.
C) No financial compensation will be provided for any expenses incurred due to discomfort or problems.
D) All medical expenses will be reimbursed by the research study.

Correct answer: C) No financial compensation will be provided for any expenses incurred due to discomfort or problems."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If a participant or their guardian has questions about the patient's rights in the research project, whom should they contact?

A) The hospital's general information desk;
B) Dr. Antonia Cervantes Barrios, President of the Research Ethics Committee;
C) The participant's primary care physician;
D) The local health department.

Correct answer: B) Dr. Antonia Cervantes Barrios, President of the Research Ethics Committee."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about the voluntary nature of participation in the study and the right to withdraw?

A) Participation in the study is mandatory, and withdrawing may result in penalties.
B) Participation in the study is voluntary, and you may withdraw at any time without any penalty or loss of benefits.
C) Withdrawing from the study will result in a loss of medical care benefits.
D) Participants will receive financial compensation for participating, and withdrawing will result in a loss of this compensation.

Correct answer: B) Participation in the study is voluntary, and you may withdraw at any time without any penalty or loss of benefits."
