,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity you are being asked to participate in according to the consent form?
A) A routine medical check-up with no research components.
B) A research study aiming to improve the accuracy of radiation mapping in lung cancer treatment.
C) A commercial promotion for new medical imaging software.
D) A voluntary social event unrelated to medical treatment or research.

Correct answer: B) A research study aiming to improve the accuracy of radiation mapping in lung cancer treatment."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new chemotherapy drug for lung cancer; B) To test the feasibility of a simplified workflow for lung cancer radiation target review with radiology; C) To compare the outcomes of different surgical techniques for lung cancer; D) To assess the impact of a new lung cancer screening method on early detection rates.
Correct answer: B"
2,The expected duration of the subject's participation,"For how long will participants be involved in the Pilot Study for Lung Cancer Radiation Target Review?
A) Up to 6 months after treatment; B) Only during the treatment planning session; C) Throughout the course of radiation therapy and up to one month post-treatment; D) For the entire duration of their cancer treatment

Correct answer: C) Throughout the course of radiation therapy and up to one month post-treatment"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study ""Testing the Feasibility of a Simplified Workflow for Lung Cancer Radiation Target Review with Radiology""?

A) Participants will incur additional costs for all treatment-related procedures, including those specific to the study.
B) Participants will be responsible for costs associated with routine cancer care procedures that would be performed regardless of study participation.
C) The study will cover all medical and personal expenses incurred during the study period.
D) Participants will receive a stipend to cover any incidental expenses related to the study.

Correct answer: B) Participants will be responsible for costs associated with routine cancer care procedures that would be performed regardless of study participation."
4,A description of the procedures to be followed,"What is the primary purpose of the additional review by a radiologist in the radiation treatment planning process for this study?
A) To provide a second opinion on financial aspects of the treatment plan.
B) To ensure that all suspicious areas of cancer are targeted and noncancerous areas receive minimal radiation dose.
C) To replace the radiation oncologist's initial treatment plan with the radiologist's plan.
D) To extend the duration of the radiation treatment for more comprehensive care.

Correct answer: B) To ensure that all suspicious areas of cancer are targeted and noncancerous areas receive minimal radiation dose."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Pilot Study for Lung Cancer Radiation Target Review With Radiology at any point?
A) You will be required to reimburse the cost of the study procedures completed up to that point; B) You will no longer receive any standard medical treatment for your condition; C) Your decision to withdraw will not affect your future medical care or benefits to which you are entitled; D) You will have to provide a valid medical reason to the study team for your withdrawal

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental for patients with locally advanced lung cancer?
A) Standard radiation treatment planning and delivery; B) The addition of a formal radiology review to the radiation treatment planning process; C) Routine-care procedures such as CT scans, PET scans, and pathology reports; D) The use of a board-certified radiologist specializing in lung cancer for standard treatment review.
Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants will be enrolled in the lung cancer radiation target review study?
A) 25; B) 37; C) 45; D) 50
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks identified in the consent form for the Pilot Study: Testing the Feasibility of a Simplified Workflow for Lung Cancer Radiation Target Review With Radiology?
A) Risk of radiation overdose; B) Risk of allergic reaction to contrast materials; C) Slight risk of a breach of confidentiality; D) Risk of physical injury during radiation sessions
Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the lung cancer radiation target review study?
A) Participants will receive a guaranteed cure for their lung cancer.
B) Participants will experience a faster radiation planning process compared to standard procedures.
C) Participants may benefit from a more accurate radiation treatment plan due to the additional review by a radiologist.
D) Participants will receive financial compensation for contributing to the improvement of radiation treatment plans.

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you choose not to participate in the Pilot Study for Lung Cancer Radiation Target Review with Radiology?
A) You will receive the standard radiation treatment without the additional radiologist review; B) You will be referred to a surgical intervention instead of radiation therapy; C) You will be enrolled in a different clinical trial focused on chemotherapy; D) No treatment will be provided for your condition.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be handled in the Pilot Study for Lung Cancer Radiation Target Review with Radiology?
A) Your personal health information will be shared publicly for educational purposes.
B) Your personal health information will be kept confidential, with access limited to authorized individuals and entities involved in the study.
C) Your personal health information will be disclosed to all hospital staff regardless of their involvement in the study.
D) Your personal health information will be stored without any security measures or restrictions on access.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury or illness as a direct result of participating in this study, what kind of support will be provided to you according to the consent form?
A) Full coverage of all medical expenses related to the injury or illness.
B) Limited research insurance coverage for reasonable and necessary treatment of such injuries or illnesses, up to a maximum of $25,000.
C) A guaranteed financial compensation package for any injury or illness.
D) No support or compensation will be provided for any injury or illness.

Correct answer: B"
