,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the DE FACTO 2 study as outlined in the consent form?
A) The DE FACTO 2 study is a non-research related public activity.
B) The DE FACTO 2 study is an observational study that does not involve any interventions.
C) The DE FACTO 2 study is an interventional research study aimed at understanding the effects of a personalized program on physical activity post-cancer treatment.
D) The DE FACTO 2 study is a commercial product testing trial for a new fitness device.

Correct answer: C) The DE FACTO 2 study is an interventional research study aimed at understanding the effects of a personalized program on physical activity post-cancer treatment."
1,An explanation of the purposes of the research,"What is the primary goal of the DE FACTO 2 study?
A) To evaluate the effectiveness of a new cancer treatment medication
B) To understand the impact of a personalized intervention on daily physical activity post-cancer treatment
C) To provide financial assistance to cancer survivors
D) To study the long-term effects of cancer on mental health

Correct answer: B"
2,The expected duration of the subject's participation,"For how long will participants be expected to be involved in the DE FACTO 2 study?
A) 12 weeks; B) 16 months; C) 24 months; D) 60 months
Correct answer: B) 16 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the DE FACTO 2 study?
A) Participants will have to purchase the connected watch provided for the study.
B) Participants will be charged for the data collected by the connected watch.
C) Participants will incur additional costs for the software needed to synchronize the watch data.
D) Participants will not incur any additional costs for the equipment or data collection as part of the study.

Correct answer: D"
4,A description of the procedures to be followed,"Which of the following best describes the initial steps a participant will take after agreeing to participate in the DE FACTO 2 study?

A) Participants will immediately begin the 12-week intervention program without any preliminary assessments.
B) Participants will be required to attend a group orientation session before starting the intervention program.
C) Participants will fill out a questionnaire and receive a connected watch during an entry interview before starting the 12-week intervention program.
D) Participants will undergo a physical fitness test to determine their eligibility before being enrolled in the study.

Correct answer: C) Participants will fill out a questionnaire and receive a connected watch during an entry interview before starting the 12-week intervention program."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What should you do if you decide to withdraw your consent to participate in the DE FACTO 2 study?
A) Continue to participate in the study activities until the scheduled end;
B) Inform Mme Aude-Marie Foucaut and Mme Albane Aumaitre of your decision to withdraw;
C) Return the connected watch immediately to the study coordinators;
D) Pay a penalty for early withdrawal from the study.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following components of the DE FACTO 2 study is considered experimental?
A) Standard physical activity sessions with a certified trainer; B) Personalized intervention combining individual physical activity sessions, motivational interviews, and group workshops; C) Routine use of a connected watch to monitor daily activity; D) Regular follow-up appointments with your primary healthcare provider

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the DE FACTO 2 study?
A) 50; B) 100; C) 150; D) 200
Correct answer: C) 150"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential discomfort mentioned in the DE FACTO 2 study consent form?
A) The need to attend sessions either in person or virtually and to be available for evaluations up to one year post-intervention;
B) The risk of severe allergic reactions to the materials used in the study;
C) The possibility of experiencing significant weight loss as a direct result of the study activities;
D) The chance of personal data being shared publicly without the participant's consent.

Correct answer: A) The need to attend sessions either in person or virtually and to be available for evaluations up to one year post-intervention."
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential personal benefits that participants may experience as a result of joining the DE FACTO 2 study?
A) Increased energy levels, improved mental focus, and better sleep quality.
B) Enhanced physical strength, professional career development, and financial gain.
C) Improved well-being, such as more energy, less rumination, increased confidence, and better respiration.
D) Access to new medical treatments for cancer and personalized medical advice.

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available if you choose not to participate in the DE FACTO 2 study?
A) You can seek general health advice from your primary care physician; B) You will be automatically enrolled in a different physical activity program; C) There are no alternative options provided by the study; D) You will receive a complimentary gym membership

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal data be handled in the DE FACTO 2 study to ensure confidentiality?
A) Personal data will be published with your name and contact details for transparency;
B) Data from the connected watch will be linked to your name and made publicly available;
C) Personal data will be anonymized with a code system to prevent identification and protected by professional secrecy;
D) All personal data will be shared with third-party commercial entities for research purposes.

Correct answer: C) Personal data will be anonymized with a code system to prevent identification and protected by professional secrecy."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the DE FACTO 2 study provide in the event of an injury resulting from participation in the research?
A) Free medical treatment for any injuries sustained during the study.
B) A specific insurance policy has been subscribed to cover potential injuries.
C) A guarantee of compensation for any injuries sustained.
D) Immediate withdrawal from the study and referral to a specialist.

Correct answer: B) A specific insurance policy has been subscribed to cover potential injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any problems or concerns during the DE FACTO 2 study, whom should you contact for assistance?
A) The Committee for the Protection of Human Subjects; B) The National Cancer League; C) The research team, specifically Albane Aumaitre and Aude-Marie Foucaut; D) The insurance company providing liability coverage for the study

Correct answer: C) The research team, specifically Albane Aumaitre and Aude-Marie Foucaut"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the DE FACTO 2 study?

A) You may withdraw at any time, but you will lose certain benefits.
B) You may withdraw at any time, but you must provide a valid reason.
C) You may withdraw at any time without any penalty or loss of benefits you are entitled to.
D) You cannot withdraw once you have agreed to participate in the study.

Correct answer: C) You may withdraw at any time without any penalty or loss of benefits you are entitled to."
