,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the study described in the consent form?
A) The study is a non-research clinical treatment with FDA-approved methods.
B) The study is a Phase Ib Open-label research trial to evaluate a combination of treatments for metastatic colorectal cancer.
C) The study is a commercially available treatment program for early-stage colorectal cancer.
D) The study is a peer support group for colorectal cancer patients without any research components.

Correct answer: B) The study is a Phase Ib Open-label research trial to evaluate a combination of treatments for metastatic colorectal cancer."
1,An explanation of the purposes of the research,"What is the primary objective of the research study described in the consent form?
A) To compare the effectiveness of TAS-102 alone versus in combination with PolyPEPI1018; B) To test the safety of long-term use of TAS-102 in patients without cancer; C) To evaluate the impact of PolyPEPI1018 on early-stage colorectal cancer; D) To assess the safety, tolerability, immunogenicity, and efficacy of PolyPEPI1018 combined with TAS-102 in late-stage metastatic colorectal cancer patients.

Correct answer: D"
2,The expected duration of the subject's participation,"How long is the total duration of the research study that each participant is expected to be involved in, including follow-up assessments after treatment?
A) 6 months; B) 7 months; C) 1 year; D) 2 years

Correct answer: C) 1 year"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs to the subject in this research study?
A) The subject will incur additional costs for all tests and procedures related to the research study.
B) The subject will not incur any costs as all expenses are covered by the research study.
C) The subject may incur additional costs for standard of care tests and procedures, including other drugs or treatments to help control side effects.
D) The subject will be responsible for the full cost of the PolyPEPI1018 vaccine and its administration.

Correct answer: C) The subject may incur additional costs for standard of care tests and procedures, including other drugs or treatments to help control side effects."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the treatment procedures that participants will undergo in the study?

A) Participants will receive PolyPEPI1018 injections once a month and TAS-102 orally every day for the duration of the study.
B) Participants will receive PolyPEPI1018 injections every 2 weeks and TAS-102 orally on Days 1-5 and 8-12 of each 28-day cycle for up to 7 months.
C) Participants will only receive TAS-102 orally as part of the study, with no additional treatments or injections.
D) Participants will be given PolyPEPI1018 injections daily and TAS-102 intravenously during their clinic visits.

Correct answer: B) Participants will receive PolyPEPI1018 injections every 2 weeks and TAS-102 orally on Days 1-5 and 8-12 of each 28-day cycle for up to 7 months."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study at any time?
A) You will be required to pay a penalty fee for early withdrawal; 
B) You will continue to be part of the study but will not receive any further treatments;
C) You may stop participating and this will not affect your future care at Mayo Clinic;
D) Your health insurance will be cancelled as a result of your withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the OBERTO-201 study for metastatic colorectal cancer patients?
A) Standard treatment with TAS-102 alone; B) Subcutaneous injections of the PolyPEPI1018 vaccine in combination with TAS-102; C) Routine blood tests and imaging scans to monitor tumor size; D) Use of birth control methods during the study period

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are planned to be enrolled in the OBERTO-201 study at Mayo Clinic?
A) 5; B) 10; C) 15; D) 20
Correct answer: C"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the investigational treatment in this study?
A) Temporary hair color change; B) Injection site reactions such as pain and swelling; C) Increased energy levels; D) Improved vision clarity

Correct answer: B) Injection site reactions such as pain and swelling"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the OBERTO-201 research study for metastatic colorectal cancer patients?
A) Guaranteed cure for metastatic colorectal cancer
B) Definite improvement in overall health and well-being
C) Possible direct benefit from the study drugs in managing colorectal cancer
D) Financial compensation for participation

Correct answer: C) Possible direct benefit from the study drugs in managing colorectal cancer"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options available if you choose not to participate in the OBERTO-201 study for metastatic colorectal cancer?
A) Standard chemotherapy without the addition of investigational drugs; B) TAS-102 alone outside of the study, regorafenib, or another clinical trial; C) Surgical intervention for metastatic colorectal cancer; D) No alternative treatments are available.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who may have access to your identifiable health information during the MC200404 research study according to the consent form?
A) Only the Principal Investigator and the research team at Mayo Clinic;
B) The research sponsor, the Mayo Clinic Institutional Review Board, and other regulatory agencies;
C) Only you and your personal doctor;
D) Public databases accessible via the internet without any restrictions.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you suffer a research-related injury during the study, which of the following statements is true regarding the cost of medical treatment?
A) The study will provide free medical treatment for the injury.
B) The study will bill the treatment costs to your insurance, and you will be responsible for costs not covered by insurance.
C) The study will compensate you for the full cost of any treatment required for injuries.
D) The study will only provide medical treatment if the injury is life-threatening.

Correct answer: B) The study will bill the treatment costs to your insurance, and you will be responsible for costs not covered by insurance."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you notify immediately?

A) Your primary care physician; B) The Principal Investigator, Joleen Hubbard, MD; C) The Mayo Clinic Institutional Review Board (IRB); D) The Research Subject Advocate (RSA)

Correct answer: B) The Principal Investigator, Joleen Hubbard, MD"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to discontinue participation in the study?

A) You may discontinue at any time, but you will lose access to certain medical services.
B) You may discontinue at any time without any impact on your medical care or access to services.
C) If you discontinue, you will be required to pay a penalty fee.
D) Discontinuation is only allowed with the approval of the study coordinator.

Correct answer: B) You may discontinue at any time without any impact on your medical care or access to services."
