,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best reflects the nature of the activity you are being asked to participate in according to the consent form?
A) You are being invited to a routine medical check-up with no research elements.
B) You are being asked to participate in a research study designed to improve patient experience during bone marrow biopsies.
C) You are being asked to join a commercial product testing group for virtual reality headsets.
D) You are being offered a standard educational course on bone marrow biopsies.

Correct answer: B) You are being asked to participate in a research study designed to improve patient experience during bone marrow biopsies."
1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""Improving the Patient Experience During Bone Marrow Biopsy/Aspiration (BMBA): Do Interventions Decrease Distress and Pain""?
A) To compare the effectiveness of different bone marrow biopsy techniques;
B) To assess the impact of various relaxation and distraction methods on patient experience during bone marrow biopsies;
C) To determine the accuracy of bone marrow biopsy results;
D) To evaluate the long-term outcomes of patients after bone marrow biopsies.

Correct answer: B) To assess the impact of various relaxation and distraction methods on patient experience during bone marrow biopsies."
2,The expected duration of the subject's participation,"For how long will a participant be involved in the research study for the Improving Patient Experience During Bone Marrow Biopsy/Aspiration (BMBA)?
A) For the duration of multiple visits over a year; B) Only during a single bone marrow biopsy procedure visit; C) For a period of six months; D) Throughout several procedures until the study concludes

Correct answer: B) Only during a single bone marrow biopsy procedure visit"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study ""Improving the Patient Experience During Bone Marrow Biopsy/Aspiration (BMBA)""?

A) Subjects will be charged an additional fee for participating in the study.
B) Subjects will receive a stipend to cover any potential costs incurred during the study.
C) Subjects may be responsible for costs associated with treatment of research-related injuries, which may be billed to their insurance.
D) There are no additional costs to the subject for participating in the study.

Correct answer: C) Subjects may be responsible for costs associated with treatment of research-related injuries, which may be billed to their insurance."
4,A description of the procedures to be followed,"What will happen during your participation in the study if you are assigned to Intervention 1?

A) You will receive a standard bone marrow biopsy without any additional interventions.
B) You will be provided with a virtual reality headset to experience guided meditation during the procedure.
C) You will listen to a selection of music stations or pick your favorite type of music before and during the procedure.
D) You will be asked to complete a series of physical exercises before the biopsy.

Correct answer: B) You will be provided with a virtual reality headset to experience guided meditation during the procedure."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"If you choose to withdraw from the study early, what will be expected of you?
A) You will be required to pay a penalty fee for early withdrawal;
B) You will be asked to complete some of the procedures described in the consent form, such as the post-procedure survey;
C) You will have to provide a detailed explanation for your decision to withdraw;
D) You will be obligated to continue participating in other unrelated studies.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following interventions are being tested for their effectiveness in reducing distress and pain during bone marrow biopsies in this study?
A) Standard pain medication adjustments; B) Use of a virtual reality headset for guided meditation; C) Enhanced recovery after surgery protocols; D) Administration of a new anesthetic drug

Correct answer: B) Use of a virtual reality headset for guided meditation"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Jefferson study on improving patient experience during bone marrow biopsies?
A) 30; B) 60; C) 90; D) 120
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with the interventions used in this study?
A) Risk of infection from the bone marrow biopsy; B) Symptoms of motion sickness from the virtual reality intervention; C) Increased pain during the procedure due to music therapy; D) Risk of confidentiality breach from the nature imagery

Correct answer: B) Symptoms of motion sickness from the virtual reality intervention"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may experience by being part of this research study on improving patient experience during bone marrow biopsies?

A) Guaranteed cure for their underlying condition
B) Financial compensation for participation
C) Decreased distress and pain during the procedure
D) A permanent virtual reality headset for personal use

Correct answer: C) Decreased distress and pain during the procedure"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What is the alternative to participating in the ""Improving Patient Experience During Bone Marrow Biopsies"" study?
A) Undergoing the bone marrow biopsy without any additional interventions or changes to the standard procedure; B) Receiving a different type of medical intervention not related to bone marrow biopsies; C) Participating in a different research study focused on bone marrow biopsy techniques; D) There is no alternative and participation is mandatory.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be handled in this study?
A) Your personal health information will be shared publicly with anyone interested in the study results.
B) Your personal health information will be collected and may be shared with research personnel, IRBs, and others as required by law, but steps will be taken to protect your identity.
C) Your personal health information will be used for marketing purposes by the study sponsors.
D) Your personal health information will be kept completely confidential and will not be shared with anyone, including the research team.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience a research-related injury during the study, which of the following statements is true according to the new consent form?
A) The study will provide full compensation for the treatment of the injury.
B) Jefferson will offer reasonable and necessary care to treat injuries directly resulting from participation in the research, but will not cover the costs.
C) All medical expenses related to the injury will be covered by your health insurance without any additional costs.
D) You will receive a fixed monetary compensation for any injury regardless of its severity.

Correct answer: B) Jefferson will offer reasonable and necessary care to treat injuries directly resulting from participation in the research, but will not cover the costs."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you inform as soon as possible?

A) Your primary care physician;
B) The main investigator, Anne Delengowski, or investigator Michelle Lasota;
C) The emergency room staff only;
D) Your insurance company.

Correct answer: B) The main investigator, Anne Delengowski, or investigator Michelle Lasota."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the study?

A) Withdrawing from the study will result in a penalty.
B) You may withdraw at any time without any penalty or loss of benefits you are entitled to.
C) If you withdraw from the study, you will lose access to certain medical benefits.
D) You are not allowed to withdraw once the study has begun.

Correct answer: B) You may withdraw at any time without any penalty or loss of benefits you are entitled to."
