,Topics,Questions
0,A statement that the study involves research,"
Which of the following statements accurately reflects the nature of the activity you are being asked to participate in according to the consent form?
A) A routine medical procedure with no research component.
B) A commercial product survey unrelated to medical research.
C) A research study combining two treatments for spinal tumors.
D) A voluntary social experiment without medical intervention.

Correct answer: C) A research study combining two treatments for spinal tumors."
1,An explanation of the purposes of the research,"
What is the primary objective of the research study described in the consent form?
A) To evaluate the effectiveness of physical therapy in spinal cord injury recovery; B) To assess the combination of laser ablation and spinal radiosurgery in treating spinal tumors; C) To compare different pharmaceutical treatments for back pain; D) To study the long-term effects of spinal surgery on mobility

Correct answer: B"
2,The expected duration of the subject's participation,"
How long is the expected duration of participation for a subject in this research study?
A) 1 year; B) 2 years; C) 6 months; D) 3 years
Correct answer: B) 2 years"
3,Any additional costs to the subject that may result from participation in the research,"
Which of the following statements is true regarding potential additional costs to you as a participant in the research study?

A) You will be responsible for all medical costs, including those not related to the study.
B) The study will cover all medical and personal costs, including travel and accommodation.
C) You may be responsible for certain medical costs not covered by the study, such as insurance co-payments and costs related to your usual ongoing medical care.
D) Participants will receive a stipend to cover any additional costs incurred during the study.

Correct answer: C) You may be responsible for certain medical costs not covered by the study, such as insurance co-payments and costs related to your usual ongoing medical care."
4,A description of the procedures to be followed,"
Which of the following procedures will you undergo as part of the study's treatment phase?

A) Thermal ablation in the intraoperative MRI suite followed by general anesthesia.
B) Stereotactic Radiosurgery 1-14 days after thermal ablation using CT guided radiation therapy.
C) A routine MRI scan with and without contrast after each treatment session.
D) All of the above are correct.

Correct answer: D) All of the above are correct."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"
What will happen if you choose to withdraw your participation from the research study?
A) You will be required to pay a penalty fee for early withdrawal;
B) You will no longer be eligible for any medical care at Henry Ford Hospital;
C) You may continue to use and release information that has already been collected, but cannot collect new information;
D) Your participation in the study will end, and no further personal health information will be collected or used for the study.

Correct answer: D"
6,Identification of any procedures which are experimental,"
Which of the following procedures is considered experimental in the context of this study?
A) Standard open surgical removal of spinal tumor without laser ablation or radiation
B) Routine MRI scans with and without contrast for tumor monitoring
C) Combination of spinal interstitial laser ablation and stereotactic spine radiosurgery (SSRS) for spinal tumor treatment
D) Completing quality of life surveys via MyChart or paper copy

Correct answer: C"
7,The approximate number of subjects involved in the study,"
How many participants are expected to be enrolled in the study at Henry Ford Hospital?
A) 10; B) 15; C) 20; D) 25
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"
Which of the following is a potential risk associated with participating in the study described in the consent form?
A) Temporary muscle stiffness; B) Permanent damage to the spinal cord; C) Increased risk of common cold; D) Allergic reaction to anesthesia

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"
Which of the following is a potential benefit of participating in the ""Thermal Ablation with and without Spine Radiosurgery for Spine Mets"" study as described in the consent form?

A) Guaranteed cure of the spinal tumor
B) Less invasive surgery with a shorter hospital stay and recovery period
C) A fixed financial compensation for participation
D) Immediate improvement in mobility post-surgery

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","
What are the alternative treatment options available to you if you choose not to participate in the study?
A) Traditional open surgery without laser ablation or radiation; B) Radiation treatment alone; C) No intervention at all; D) All of the above

Correct answer: D"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","
Which of the following statements best describes how your personal health information will be handled in this study?
A) Your personal health information will be shared publicly to promote the study.
B) Your personal health information may be released to specific parties involved in the research, but efforts will be made to keep it confidential.
C) Your personal health information will be kept completely confidential and will not be shared with anyone.
D) Your personal health information will be used for marketing purposes unrelated to the study.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","
If you experience an injury as a result of participating in the ""Thermal Ablation with and without Spine Radiosurgery for Spine Mets"" study, which of the following statements is true regarding compensation for your medical care?
A) The study will provide full compensation for all medical care related to the injury.
B) You and/or your medical insurance will be responsible for the costs of medical care if you are injured as a result of participating in this study.
C) All medical treatments for injuries sustained during the study will be provided free of charge by the hospital.
D) A special federal compensation fund will cover all expenses related to any injury sustained during the study.

Correct answer: B) You and/or your medical insurance will be responsible for the costs of medical care if you are injured as a result of participating in this study."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","
If you experience an injury related to the research study, whom should you contact for assistance?

A) The FDA or other regulatory agencies;
B) Dr. Ian Lee, the Principal Investigator, or his staff;
C) Your insurance company;
D) The Henry Ford Health IRB Administration Office.

Correct answer: B) Dr. Ian Lee, the Principal Investigator, or his staff."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","
What will happen if you decide not to participate in the study or if you choose to withdraw from the study at a later time?
A) You will incur a penalty and may lose benefits you are entitled to.
B) You will not be able to receive any medical care from Henry Ford Health (HFH).
C) There will be no penalty or loss of benefits you are otherwise entitled to, and you will continue to receive your usual medical care.
D) You will be required to pay for the costs of the procedures that have been performed up to the point of withdrawal.

Correct answer: C"
