,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the study described in the consent form?
A) The study is a routine medical procedure without any research components.
B) The study is a commercial product trial with no data collection or analysis.
C) The study is a research project evaluating a new ultrasound technique for prostate biopsy.
D) The study is a survey of patient satisfaction with current prostate biopsy methods.

Correct answer: C) The study is a research project evaluating a new ultrasound technique for prostate biopsy."
1,An explanation of the purposes of the research,"What is the primary goal of the ARFI Imaging for Targeted Prostate Biopsy study?
A) To compare the effectiveness of different types of anesthesia; B) To assess the financial impact of new ultrasound technology; C) To evaluate a new ultrasound technique that may improve the guidance for targeted prostate biopsies; D) To test the comfort levels of patients during standard MR-ultrasound fusion procedures

Correct answer: C"
2,The expected duration of the subject's participation,"How much additional time will the ARFI Imaging study add to the standard MR-ultrasound fusion targeted prostate biopsy procedure?
A) 15 minutes; B) 30 minutes; C) 45 minutes; D) 60 minutes
Correct answer: B) 30 minutes"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs associated with participating in the ARFI Imaging for Targeted Prostate Biopsy study?

A) Participants will be billed for additional costs related to the investigational ultrasound imaging and biopsies.
B) Participants will receive compensation to cover any additional costs incurred by participating in the study.
C) Participants will not incur any additional costs for participating in the study, but are responsible for routine medical care costs.
D) All costs, including those for routine medical care and investigational procedures, will be covered by the study.

Correct answer: C) Participants will not incur any additional costs for participating in the study, but are responsible for routine medical care costs."
4,A description of the procedures to be followed,"What additional procedure will participants undergo as part of the ARFI Imaging for Targeted Prostate Biopsy study, in addition to the standard MR-ultrasound fusion biopsy?

A) Participants will undergo a CT scan to provide further imaging data.
B) Participants will receive up to 4 additional biopsy samples guided by the investigational device.
C) Participants will have a complete MRI scan of the entire body to check for metastases.
D) Participants will be given a new experimental drug to enhance the imaging process.

Correct answer: B) Participants will receive up to 4 additional biopsy samples guided by the investigational device."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ARFI Imaging for Targeted Prostate Biopsy study?

A) You will be required to pay a penalty fee for early withdrawal;
B) You will continue to be part of the study and data collection without your consent;
C) You will not experience any penalty or loss of benefits and it will not affect your access to health care at Duke;
D) Your medical records will be excluded from the study analysis immediately upon withdrawal.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the ARFI Imaging for Targeted Prostate Biopsy study?
A) Standard MR-ultrasound fusion targeted prostate biopsy;
B) Use of a standard ultrasound probe for imaging;
C) Use of a custom-designed ARFI ultrasound probe and needle guide for additional biopsies;
D) Routine therapeutic ultrasound treatments for physical therapy.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the ARFI Imaging for Targeted Prostate Biopsy study at Duke?
A) 30; B) 60; C) 90; D) 120
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with participating in the ARFI Imaging for Targeted Prostate Biopsy study?
A) Unnecessary exposure to radiation; B) Slight heating of tissue and increased time under anesthesia; C) Risk of contracting a communicable disease; D) Financial costs for additional procedures

Correct answer: B) Slight heating of tissue and increased time under anesthesia"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the ARFI Imaging for Targeted Prostate Biopsy study?

A) Guaranteed cure for prostate cancer
B) Immediate financial compensation for participation
C) Improved diagnostic imaging of suspected cancer which may enhance the accuracy of prostate biopsy
D) A permanent new ultrasound device for personal use

Correct answer: C"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the ARFI Imaging for Targeted Prostate Biopsy study, what standard procedure will you continue to receive for your condition?
A) A standard MR-ultrasound fusion targeted prostate biopsy;
B) A full surgical removal of the prostate;
C) A wait-and-see approach with regular check-ups but no biopsy;
D) A referral to an alternative research study focusing on prostate cancer detection.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled in the ARFI Imaging for Targeted Prostate Biopsy study?
A) Your personal information will be shared publicly to promote the study.
B) Your personal information will be kept confidential, with access limited to individuals directly involved in the research, and may be disclosed if required by law.
C) Your personal information will be used for marketing purposes by Duke University.
D) All your health information will be disclosed to the public as part of the study results.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in the ARFI Imaging for Targeted Prostate Biopsy study, which of the following statements is true regarding compensation and medical treatment?
A) You will receive monetary compensation and free medical care for any study-related injury.
B) Immediate necessary medical care will be provided, but there is no commitment to monetary compensation or free medical care for study-related injuries.
C) All medical treatments and associated costs for injuries will be covered by the study.
D) No medical care or compensation is available in the event of a study-related injury.

Correct answer: B) Immediate necessary medical care will be provided, but there is no commitment to monetary compensation or free medical care for study-related injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience a research-related injury during the study, whom should you contact for assistance?

A) The National Institutes of Health (NIH)
B) Dr. Thomas Polascik during regular business hours, or the Duke Operator after hours and on weekends and holidays
C) The Duke University Health System Institutional Review Board (IRB) Office
D) Your insurance provider

Correct answer: B"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide to withdraw from the ARFI Imaging for Targeted Prostate Biopsy study after consenting to participate?
A) You will incur a penalty and may lose benefits to which you are otherwise entitled.
B) You will not be able to receive any standard medical care at Duke University Health System.
C) You may withdraw at any time without penalty or loss of benefits to which you are otherwise entitled.
D) Your withdrawal will automatically enroll you in a different study.

Correct answer: C) You may withdraw at any time without penalty or loss of benefits to which you are otherwise entitled."
