,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a routine medical treatment not involving research.
B) The activity is a commercial service offered to the public.
C) The activity is a research study aimed at improving hand function in breast cancer survivors.
D) The activity is a leisure program unrelated to healthcare or research.

Correct answer: C) The activity is a research study aimed at improving hand function in breast cancer survivors."
1,1,An explanation of the purposes of the research,"What is the primary goal of the research study titled ""The Effect of Hand Mobility and Grip Strengthening Exercise on Upper Limb Volume, Quality of Life, and Hand Function in Breast Cancer Survivors""?
A) To evaluate the effectiveness of a new chemotherapy drug for breast cancer; B) To assess the impact of specific exercises on daily task performance and arm swelling in breast cancer survivors with lymphedema; C) To compare the outcomes of different surgical techniques for breast cancer; D) To study the psychological effects of breast cancer diagnosis on women's mental health.
Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the total duration of the research study in which participants are expected to be involved?
A) 4 weeks; B) 8 weeks; C) 12 weeks; D) 16 weeks
Correct answer: B) 8 weeks"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the research study on hand mobility and grip strengthening exercise for breast cancer survivors?

A) Participants will be charged for the compression garment and associated items used during the study.
B) Participants may incur additional costs for medical care if an illness or injury results from the study.
C) Participants will have to pay for the initial evaluation as part of their regular treatment for arm swelling.
D) There are no additional costs to participants, and all treatment sessions are provided free of charge.

Correct answer: B) Participants may incur additional costs for medical care if an illness or injury results from the study."
4,4,A description of the procedures to be followed,"What will happen during the initial evaluation session of the study?

A) Your arm will be measured with a ruler, and you will be asked to complete a questionnaire about your general health.
B) Both of your arms will be measured with a tape measure, your grip strength will be tested, and you will perform a pegboard task and complete two surveys.
C) You will undergo a full physical examination, including blood tests and an MRI scan of your arm.
D) You will be given a detailed explanation of the study and asked to sign additional consent forms.

Correct answer: B"
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study on hand mobility and grip strengthening exercises for breast cancer survivors?
A) You will be required to return the compression garment and associated items provided for the study; B) You will be charged for the treatment sessions you have attended; C) You may continue to receive care for your swollen arm without any penalty; D) You will lose access to all breast cancer treatment services at Presbyterian Healthcare Services.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following is an experimental procedure being tested in the research study for breast cancer survivors with lymphedema?
A) Standard therapy sessions twice per week for 8 weeks;
B) Use of a compression garment to manage arm swelling;
C) Specific exercises aimed at improving hand mobility and grip strength;
D) Manual Lymphatic Drainage and compression applied to the swollen arm.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many women are expected to participate in the study on hand mobility and grip strengthening exercises for breast cancer survivors?
A) 20; B) 50; C) 100; D) The number of participants is not specified in the consent form.
Correct answer: D"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks identified in the consent form for participants of the hand mobility and grip strengthening exercise study for breast cancer survivors?
A) Increased arm swelling and severe fatigue; B) Immediate disqualification from the study; C) Guaranteed improvement of hand function; D) Mandatory participation in future research studies

Correct answer: A"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the hand mobility and grip strengthening exercise study for breast cancer survivors with lymphedema?
A) Participants may experience an increase in daily energy levels.
B) Participants may improve their ability to complete daily tasks and potentially decrease arm swelling.
C) Participants will receive financial compensation for their time in the study.
D) Participants will be guaranteed a cure for their lymphedema.

Correct answer: B) Participants may improve their ability to complete daily tasks and potentially decrease arm swelling."
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the hand mobility and grip strengthening exercise study, what is an alternative treatment option for managing lymphedema after breast cancer treatment?
A) You may continue with the usual care for your swollen arm;
B) You will be required to participate in a different research study;
C) There are no alternative treatments available outside the study;
D) You will be provided with a new experimental drug therapy.

Correct answer: A"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your confidentiality be protected in this research study?
A) All research paperwork will be stored on a public cloud accessible by all clinic staff.
B) Identifiable information will be stored in a locked filing cabinet within the Presbyterian Santa Fe Regional Medical Center with 24/7 security.
C) Participant names and contact information will be openly displayed alongside their medical records.
D) Research data will be shared with third-party advertisers for marketing purposes.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state regarding medical care if a participant is injured as a result of the study?

A) The study will provide free medical care and financial assistance for any injuries.
B) Medical care will be provided, but may be billed to the participant or their insurance.
C) All medical costs for injuries will be covered by the participant's insurance only.
D) Participants will not receive any medical care for injuries related to the study.

Correct answer: B) Medical care will be provided, but may be billed to the participant or their insurance."
