,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the study described in the consent form?
A) The study is a routine medical treatment for advanced hepatocellular carcinoma.
B) The study is a Phase 2 clinical trial investigating the effectiveness of cabozantinib and pembrolizumab for advanced hepatocellular carcinoma.
C) The study is a survey of patient satisfaction with current hepatocellular carcinoma treatments.
D) The study is a long-term observational study without any intervention.

Correct answer: B) The study is a Phase 2 clinical trial investigating the effectiveness of cabozantinib and pembrolizumab for advanced hepatocellular carcinoma."
1,1,An explanation of the purposes of the research,"What is the primary objective of the Phase 2 trial involving cabozantinib and pembrolizumab in this research study?
A) To compare the effectiveness of cabozantinib and pembrolizumab with standard chemotherapy treatments; B) To determine the safety and tolerability of cabozantinib alone; C) To evaluate the effectiveness of cabozantinib and pembrolizumab when given together for the treatment of advanced hepatocellular carcinoma; D) To assess the long-term impact of pembrolizumab on kidney function

Correct answer: C) To evaluate the effectiveness of cabozantinib and pembrolizumab when given together for the treatment of advanced hepatocellular carcinoma"
2,2,The expected duration of the subject's participation,"For how long may a participant be treated with cabozantinib and pembrolizumab as part of this study?
A) Up to 1 year; B) Up to 2 years; C) Up to 6 months; D) Indefinitely until disease progression

Correct answer: B) Up to 2 years"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following is a potential additional cost that subjects may incur as a result of participating in the research study?
A) Cost of cabozantinib and pembrolizumab drugs
B) Cost of administration of pembrolizumab
C) Cost of transportation to and from the study site
D) Cost of personal medical insurance premiums

Correct answer: B) Cost of administration of pembrolizumab"
4,4,A description of the procedures to be followed,"Which of the following is a correct summary of the procedures you will undergo if you participate in the Phase 2 trial of cabozantinib and pembrolizumab for advanced hepatocellular carcinoma?

A) You will receive a combination of oral medication and IV infusion once a month, with routine check-ups every six months.
B) You will be treated with cabozantinib daily and receive pembrolizumab via IV infusion every 3 weeks, with various health assessments throughout the treatment.
C) The study consists solely of taking cabozantinib orally every day without any additional treatments or assessments.
D) You will undergo a single intensive treatment session with both study drugs, followed by a long-term observational period without further intervention.

Correct answer: B) You will be treated with cabozantinib daily and receive pembrolizumab via IV infusion every 3 weeks, with various health assessments throughout the treatment."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What happens if you choose to withdraw from the study at any point after consenting to participate?
A) You will be required to continue the study treatments without any further assessments; B) You will be charged a penalty fee for early withdrawal; C) You may stop participating at any time without any penalty or loss of benefits to which you are entitled; D) Your standard medical care will be discontinued by the study providers.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which of the following treatments being studied in the trial are considered experimental for the first-line treatment of advanced hepatocellular carcinoma (HCC)?
A) Standard chemotherapy for HCC
B) The combination of cabozantinib and pembrolizumab
C) Palliative care for symptom management in HCC
D) Surgical resection of liver tumors

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many participants are expected to enroll in the Phase 2 trial of cabozantinib and pembrolizumab for advanced hepatocellular carcinoma?
A) 15; B) 29; C) 50; D) 100
Correct answer: B"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with the study treatment of cabozantinib and pembrolizumab for advanced hepatocellular carcinoma?
A) Temporary hair color change; B) Increased risk of common cold; C) Improvement in diabetes symptoms; D) Severe skin reactions with possible infection

Correct answer: D"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the Phase 2 trial of cabozantinib and pembrolizumab for the treatment of advanced hepatocellular carcinoma?
A) Guaranteed cure of advanced hepatocellular carcinoma
B) Direct financial compensation for participation
C) Possible contribution to the advancement of medical knowledge and treatment options for future patients
D) Assurance of fewer side effects compared to other treatments

Correct answer: C"
