,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the SYNC study as outlined in the consent form?
A) The SYNC study is a routine medical treatment program for cancer-related fatigue.
B) The SYNC study is a research trial investigating the impact of light exposure and behavior on cancer-related fatigue.
C) The SYNC study is a commercial product launch for the Sync app by Arcascope Inc.
D) The SYNC study is a peer support group for individuals dealing with cancer-related fatigue.

Correct answer: B) The SYNC study is a research trial investigating the impact of light exposure and behavior on cancer-related fatigue."
1,1,An explanation of the purposes of the research,"What is the primary goal of the SYNC App research study?
A) To evaluate the effectiveness of a new cancer medication; B) To assess the impact of light exposure and behavior changes on cancer-related fatigue; C) To compare the battery life of different mobile devices; D) To provide financial compensation to cancer survivors

Correct answer: B"
2,2,The expected duration of the subject's participation,"For how long are participants expected to be involved in the SYNC App study?
A) 6 weeks; B) 12 weeks; C) 24 weeks; D) 48 weeks
Correct answer: B) 12 weeks"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject that may result from participation in the research study ""A Randomized Trial of the SYNC App""?

A) Participants will be responsible for all costs associated with the use of the Sync app and wearable sensor, including data charges and device maintenance.
B) Participants will incur additional costs for health care services received during the study as part of their regular care.
C) The study will cover all costs related to the research, and participants will not be billed for any study-specific procedures or services.
D) Participants will be required to purchase an Apple Watch if they do not already own one to participate in the study.

Correct answer: C) The study will cover all costs related to the research, and participants will not be billed for any study-specific procedures or services."
4,4,A description of the procedures to be followed,"Which of the following best describes the procedures you will follow if you participate in the SYNC study?

A) You will be asked to take a new medication and attend weekly in-person check-ups at the study site.
B) You will be provided with the Sync app to download onto your iPhone, an Apple Watch to wear, and glasses that you may be asked to wear at certain times throughout the study.
C) You will undergo a series of physical fitness tests each week and report your dietary intake daily.
D) You will be required to stay overnight at the study facility for observation over the 12-week study period.

Correct answer: B"
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the SYNC study before its completion?
A) You will be required to pay a penalty fee for early withdrawal; 
B) You will have to return the Apple Watch and glasses provided by the study; 
C) Your decision to withdraw will not result in any penalties or loss of benefits you are entitled to; 
D) You will be prohibited from participating in any future research studies at the University of Michigan.

Correct answer: C"
6,6,Identification of any procedures which are experimental,"Which component of the SYNC study is considered experimental?
A) The use of a standard mobile health app for daily communication; B) The use of blue-light blocking glasses as part of the intervention group; C) The collection of health surveys regarding sleep and fatigue; D) The provision of an Apple Watch to monitor daily activity and health metrics.

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many participants does the study aim to enroll for the investigation of the SYNC App's impact on cancer-related fatigue?
A) 50; B) 100; C) 138; D) 200
Correct answer: C"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort mentioned in the SYNC study consent form?
A) Risk of severe allergic reactions to the medication provided; B) Discomfort from answering personal health history questions; C) Risk of significant data charges due to high data usage by the app; D) Risk of physical injury from the wearable sensor

Correct answer: B"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements accurately describes the potential benefits of participating in the SYNC App study?
A) Participants will definitely experience an improvement in their cancer-related fatigue.
B) Participants will receive financial compensation for their involvement, which is a direct benefit of the study.
C) There is no guarantee of personal benefit, but participants may find the Sync app interventions helpful for fatigue.
D) Participants will benefit from a cure for their cancer-related fatigue by the end of the study.

Correct answer: C) There is no guarantee of personal benefit, but participants may find the Sync app interventions helpful for fatigue."
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternatives to participating in the SYNC App study for cancer-related fatigue?
A) Undergoing a different clinical trial focused on medication for fatigue management; B) Receiving standard care for fatigue without the use of the SYNC App; C) There are no specified alternatives to this study; D) Enrolling in a wellness program that includes exercise and nutrition counseling for fatigue reduction.
Correct answer: C"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected in the SYNC study?
A) Your health information will be shared publicly for educational purposes.
B) Your health information will be kept in password-protected files and will not include names or other direct identifiers.
C) Your health information will be stored without any security measures to maintain confidentiality.
D) All health information collected will be sent directly to insurance companies for billing purposes.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form state about compensation if a participant experiences injury as a result of the study?

A) Participants will receive financial compensation for any injury directly caused by the study.
B) Participants will receive free medical treatment for any injury directly caused by the study.
C) The study does not expect physical injury to occur, and no specific compensation or medical treatment is outlined for such instances.
D) Participants will be provided with health insurance coverage for any injuries sustained during the study.

Correct answer: C) The study does not expect physical injury to occur, and no specific compensation or medical treatment is outlined for such instances."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any concerns or issues related to the SYNC study, whom should you contact for assistance?

A) Your personal physician; 
B) The SYNC study staff via the provided email address; 
C) The Institutional Review Board (IRBMED); 
D) The National Institutes of Health.

Correct answer: B) The SYNC study staff via the provided email address."
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you choose not to participate or decide to withdraw from the SYNC study at any time?
A) You will incur a penalty and may lose some benefits.
B) You will not face any penalties or lose benefits to which you are otherwise entitled.
C) Your current medical care will be discontinued.
D) You will be required to pay a fee for the time spent in the study.

Correct answer: B) You will not face any penalties or lose benefits to which you are otherwise entitled."
