,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Does the LCI-HEM-BMT-IMPPACT-001 study involve research activities?
A) Yes, it is a research study.
B) No, it is a routine medical procedure.
C) No, it is a commercial product trial.
D) Yes, but it is only observational with no active intervention.

Correct answer: A) Yes, it is a research study."
1,1,An explanation of the purposes of the research,"What is the primary purpose of the LCI-HEM-BMT-IMPPACT-001 research study?
A) To evaluate the effectiveness of a new chemotherapy drug; B) To assess the impact of a pharmacogenomic panel on supportive care medication management during and after hematopoietic stem cell transplantation; C) To compare different surgical techniques for bone marrow extraction; D) To test the long-term survival rates of different stem cell transplant donor types

Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the expected duration of a subject's participation in the LCI-HEM-BMT-IMPPACT-001 study?
A) 3 months; B) 5 months; C) 1 year; D) 2 years
Correct answer: B) 5 months"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs a subject may incur from participating in the LCI-HEM-BMT-IMPPACT-001 study?
A) Subjects will be charged for the pharmacogenomic testing required by the study.
B) Subjects will receive a stipend to cover any additional costs incurred during the study.
C) Subjects will not have any out-of-pocket costs for pharmacogenomic testing, but standard care costs will be billed to their insurance.
D) Subjects will be responsible for all medical costs, including standard care and pharmacogenomic testing.

Correct answer: C) Subjects will not have any out-of-pocket costs for pharmacogenomic testing, but standard care costs will be billed to their insurance."
4,4,A description of the procedures to be followed,"Which of the following procedures will be followed for participants in the LCI-HEM-BMT-IMPPACT-001 study?

A) Participants will undergo a surgical procedure to implant a monitoring device.
B) Participants will provide a blood sample for complete genome sequencing.
C) Participants will have a cheek swab collected for pharmacogenomic testing.
D) Participants will be required to stay in the hospital for continuous observation over the 5-month study period.

Correct answer: C) Participants will have a cheek swab collected for pharmacogenomic testing."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the LCI-HEM-BMT-IMPPACT-001 study?
A) You will be required to pay a penalty fee for early withdrawal;
B) Your relationship with the investigators or Atrium Health will be negatively affected;
C) You will not be able to receive any standard medical treatment in the future;
D) Your decision to withdraw will not affect your future relations with the investigators or Atrium Health.

Correct answer: D"
6,6,Identification of any procedures which are experimental,"Which of the following procedures in the LCI-HEM-BMT-IMPPACT-001 study is considered experimental?
A) Hematopoietic stem cell transplantation as part of standard care; B) Use of a pharmacogenomic panel to guide supportive care medication choices; C) Collection of demographic information and medical history; D) Standard billing of clinic visits and prescriptions to your insurance

Correct answer: B"
7,7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the LCI-HEM-BMT-IMPPACT-001 study at Levine Cancer Institute?
A) 100; B) 130; C) 150; D) 200
Correct answer: B"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the LCI-HEM-BMT-IMPPACT-001 study?
A) Risk of severe allergic reactions to the cheek swab; B) Emotional distress from survey questions or pharmacogenomic test results; C) Risk of contracting a communicable disease from the study staff; D) Immediate financial costs for pharmacogenomic testing.

Correct answer: B) Emotional distress from survey questions or pharmacogenomic test results."
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the LCI-HEM-BMT-IMPPACT-001 study?
A) Guaranteed improvement in transplant outcomes
B) Immediate financial compensation for participation
C) Possible better management of symptoms through pharmacogenomic-guided medication
D) Assurance of no side effects from medications

Correct answer: C) Possible better management of symptoms through pharmacogenomic-guided medication"
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternatives if you choose not to participate in the pharmacogenomic-guided supportive care study?
A) You can opt for standard supportive care without pharmacogenomic testing; B) You will be required to undergo a different type of genetic testing; C) There are no alternatives and you must participate in the study; D) You will be given a placebo instead of actual supportive care medications.

Correct answer: A"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be handled in the LCI-HEM-BMT-IMPPACT-001 study?
A) Your personal health information will be shared publicly to promote the study.
B) Your personal health information will be kept private, and a code will be used instead of your name whenever possible.
C) Your personal health information will be disclosed to all staff members at Atrium Health without restrictions.
D) Your personal health information will be used for future research studies without your consent.

Correct answer: B) Your personal health information will be kept private, and a code will be used instead of your name whenever possible."
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in the LCI-HEM-BMT-IMPPACT-001 study, which of the following statements is true regarding compensation for injury?
A) You will receive free treatment for the injury and compensation for any other medical expenses.
B) You will be provided or arranged for treatment, but you will be responsible for deductibles, co-payments, and co-insurance.
C) The study will cover all medical expenses, including deductibles, co-payments, and co-insurance.
D) You will receive a fixed monetary compensation for any injury sustained during the study.

Correct answer: B) You will be provided or arranged for treatment, but you will be responsible for deductibles, co-payments, and co-insurance."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any medical problems or suffer a research-related injury during the study, whom should you contact?

A) The Study Subject Adviser;
B) The Principal Investigator listed on the first page of the consent document;
C) A family member or friend;
D) Your personal physician not associated with the study.

Correct answer: B) The Principal Investigator listed on the first page of the consent document;"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the LCI-HEM-BMT-IMPPACT-001 study?

A) Withdrawing from the study will result in a penalty and loss of benefits you are entitled to.
B) You may withdraw from the study at any time, but you will lose access to certain medical treatments.
C) You are free to withdraw from the study at any time without any penalty or loss of benefits you are entitled to.
D) If you withdraw from the study, your relationship with Atrium Health and the investigators will be negatively affected.

Correct answer: C) You are free to withdraw from the study at any time without any penalty or loss of benefits you are entitled to."
