,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the activity described in the consent form?
A) The activity is a routine medical procedure with no research component.
B) The activity is a commercial product trial with the primary goal of marketing.
C) The activity is a research study aiming to evaluate robotic mastectomy as a surgical alternative.
D) The activity is a mandatory medical intervention required by public health regulations.

Correct answer: C) The activity is a research study aiming to evaluate robotic mastectomy as a surgical alternative."
1,An explanation of the purposes of the research,"What is the primary goal of the ""Surgical and Patient Reported Outcomes in Robotic Mastectomy – A Pilot Study""?
A) To compare the recovery times between robotic mastectomy and traditional open surgery
B) To assess the safety and aesthetic outcomes of robotic mastectomy compared to conventional mastectomy
C) To determine the effectiveness of new post-operative pain medications
D) To evaluate the use of robotic mastectomy in the treatment of non-cancerous breast tumors

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the expected duration of a participant's involvement in the robotic mastectomy study from the time of consent to the final follow-up?

A) 3 months
B) 6 months
C) 12 months
D) 24 months

Correct answer: B) 6 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs incurred by participating in the Surgical and Patient Reported Outcomes in Robotic Mastectomy – A Pilot Study?

A) Participants will have to pay for the robotic surgery instruments and consumables.
B) Participants will be responsible for the additional costs of the longer surgery due to the robotic procedure.
C) Participants will receive compensation for their time, inconvenience, and transportation for each study visit.
D) Participants will be charged for the pre-operation blood tests, medications, and doctor visits as part of the study.

Correct answer: C) Participants will receive compensation for their time, inconvenience, and transportation for each study visit."
4,A description of the procedures to be followed,"Which of the following best describes the procedure for a robotic mastectomy as outlined in the consent form?
A) The breast is removed through a large incision with traditional surgical tools.
B) The breast is removed through a small incision using a robotic camera and instruments controlled by the surgeon at a computer console.
C) The breast is removed non-surgically using advanced imaging techniques.
D) The breast is removed through multiple large incisions with the assistance of a robotic arm not controlled by the surgeon.

Correct answer: B) The breast is removed through a small incision using a robotic camera and instruments controlled by the surgeon at a computer console."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the research study?
A) You will be charged a fee for the time and resources used; B) Your medical care at Changi General Hospital will be adversely affected; C) Any data collected until the time of withdrawal will be kept and analyzed, but your follow-up will continue as per routine clinical practice; D) You will be required to return the $50 per study visit compensation received.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the context of this study?
A) Conventional mastectomy with general anesthesia; B) Robotic mastectomy with virtual/remote supervision; C) Standard post-operative care and follow-up; D) Use of the Da Vinci Si surgical system for mastectomy

Correct answer: B) Robotic mastectomy with virtual/remote supervision"
7,The approximate number of subjects involved in the study,"How many participants does the study aim to recruit at Changi General Hospital?

A) 10 participants
B) 20 participants
C) 30 participants
D) 40 participants

Correct answer: B) 20 participants"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the robotic mastectomy study?
A) Increased risk of common cold symptoms; B) Longer duration under general anesthesia; C) Immediate full recovery of sensation in the chest area; D) Reduced risk of infection compared to conventional surgery

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may reasonably expect from participating in the robotic mastectomy study?

A) Guaranteed cure of breast cancer
B) Smaller surgical incision, which may lead to lesser pain and faster recovery
C) Financial compensation for medical expenses related to the surgery
D) A permanent solution to prevent future breast tumors

Correct answer: B) Smaller surgical incision, which may lead to lesser pain and faster recovery"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatments available if you choose not to participate in the robotic mastectomy study?
A) Standard care involving chemotherapy only; B) Conventional or endoscopic mastectomy with a potentially shorter surgery duration; C) Radiation therapy as a sole treatment option; D) Herbal and natural remedies without surgical intervention
Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal data be protected during the research study according to the consent form?
A) Your personal data will be made publicly available for research transparency.
B) Your personal data will be labeled with a unique code number to protect your identity, and only the study team will have access to the information linking the code to your personal data.
C) All your personal data will be shared with international researchers without any form of coding or anonymization.
D) Your personal data will be stored without any security measures or restrictions on access.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a direct result of the research procedures in this study, what kind of support will the institution provide?
A) The institution will provide full compensation for both the injury and any subsequent treatment required.
B) The institution will provide appropriate medical treatment for the injury, but not compensation for other consequences of the treatment.
C) The institution will not provide any support, medical treatment, or compensation for injuries related to the research study.
D) The institution will only provide compensation if negligence can be proven.

Correct answer: B) The institution will provide appropriate medical treatment for the injury, but not compensation for other consequences of the treatment."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an injury related to the research procedures, whom should you contact for assistance according to the consent form?
A) The hospital's general information desk; B) The Principal Investigator, Dr. Mok Chi Wei; C) The SingHealth Centralised Institutional Review Board; D) Your personal family doctor
Correct answer: B) The Principal Investigator, Dr. Mok Chi Wei"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the study?
A) Withdrawing from the study will result in a penalty.
B) You may withdraw at any time without affecting your medical care.
C) You will lose benefits if you decide to withdraw from the study.
D) You must provide a valid reason to withdraw from the study.

Correct answer: B) You may withdraw at any time without affecting your medical care."
