,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best reflects the nature of the activity described in the informed consent form?
A) The activity is a routine medical treatment not involving research.
B) The activity is a commercial product testing not involving research.
C) The activity is a clinical study involving research.
D) The activity is a public survey not involving research.

Correct answer: C) The activity is a clinical study involving research."
1,An explanation of the purposes of the research,"What is the primary purpose of the clinical study described in the consent form?
A) To compare the effectiveness of different blood pressure medications; B) To assess the long-term effects of a new diet on B-cell precursor ALL; C) To investigate the efficacy and safety of blinatumomab as a bridge to allo-HSCT in high-risk B-cell precursor ALL patients; D) To study the impact of physical exercise on the recovery of B-cell precursor ALL patients.

Correct answer: C) To investigate the efficacy and safety of blinatumomab as a bridge to allo-HSCT in high-risk B-cell precursor ALL patients."
2,The expected duration of the subject's participation,"What is the expected duration of participation for subjects in this clinical study?
A) 1 year; B) 2 years; C) 6 months; D) 3 years

Correct answer: B) 2 years"
3,Any additional costs to the subject that may result from participation in the research,"What does the consent form indicate regarding the financial responsibility for any study-related injuries?
A) The subject is responsible for all medical costs associated with study-related injuries.
B) The study sponsor will cover the medical treatment costs and provide financial compensation for study-related injuries.
C) The subject's insurance will be billed for any study-related injuries.
D) There is no mention of financial responsibility for study-related injuries.

Correct answer: B) The study sponsor will cover the medical treatment costs and provide financial compensation for study-related injuries."
4,A description of the procedures to be followed,"Which of the following best describes the study procedure for participants in the experimental group of the clinical study?

A) Participants in the experimental group will receive Blinatumomab for 4 weeks followed by immediate allo-HSCT.
B) Participants in the experimental group will receive Blinatumomab for 2 weeks followed by BUCY allo-HSCT starting on day 15.
C) Participants in the experimental group will only receive standard chemotherapy without Blinatumomab before allo-HSCT.
D) Participants in the experimental group will be given Blinatumomab indefinitely as the sole treatment.

Correct answer: B) Participants in the experimental group will receive Blinatumomab for 2 weeks followed by BUCY allo-HSCT starting on day 15."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the clinical study at any time?
A) You will be required to pay for all treatments received during the study; B) You may face discrimination or retaliation from the study team; C) Your medical treatment and rights will remain unaffected; D) The study physician will automatically enroll you in a different study

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in this clinical study?
A) Standard BUCY allo-HSCT without Blinatumomab; B) Blinatumomab followed by BUCY allo-HSCT; C) Routine bone marrow and MRD assessments; D) Collection of peripheral blood and bone marrow for routine examination.

Correct answer: B) Blinatumomab followed by BUCY allo-HSCT"
7,The approximate number of subjects involved in the study,"How many subjects are expected to participate in the Blinatumomab clinical study?
A) 20; B) 40; C) 80; D) 100

Correct answer: C) 80"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort mentioned in the consent form for participants in the Blinatumomab study?
A) Severe allergic reactions to the medication; B) Cytokine Release Syndrome (CRS) and Immune Effector Cell-Associated Neurotoxicity Syndrome (ICANS); C) Increased risk of chronic diseases unrelated to the study; D) Immediate disqualification from the study upon experiencing any side effects

Correct answer: B) Cytokine Release Syndrome (CRS) and Immune Effector Cell-Associated Neurotoxicity Syndrome (ICANS)"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the Blinatumomab clinical study as mentioned in the consent form?
A) Guaranteed cure for High Risk B-cell precursor ALL
B) Free immune function assessment before and after Blinatumomab treatment
C) Financial gain from selling biological samples
D) Immediate improvement in overall health status

Correct answer: B) Free immune function assessment before and after Blinatumomab treatment"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options mentioned in the consent form for subjects who choose not to participate in the Blinatumomab study?
A) Intensive chemotherapy regimens; B) Standard BUCY allo-HSCT without Blinatumomab; C) Participation in another clinical trial; D) No alternative treatments are mentioned in the consent form.

Correct answer: D) No alternative treatments are mentioned in the consent form."
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal information and data be handled in this clinical study?
A) Your identity and personal information will be made public along with the study results.
B) Your personal information will be shared with third-party companies for marketing purposes.
C) Your personal information and data will be kept strictly confidential and will not be disclosed.
D) Your personal information will be recorded without any measures for confidentiality.

Correct answer: C) Your personal information and data will be kept strictly confidential and will not be disclosed."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury related to your participation in this clinical study, what will the study sponsor provide according to the consent form?
A) The study sponsor will provide only medical treatment but no financial compensation.
B) The study sponsor will provide both medical treatment and financial compensation.
C) The study sponsor will provide financial compensation but no medical treatment.
D) The study sponsor will not provide any medical treatment or financial compensation.

Correct answer: B) The study sponsor will provide both medical treatment and financial compensation."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any study-related injuries, who should you contact for medical treatment costs and financial compensation according to the consent form?
A) The ethics committee contact person; B) The investigator's legal representative; C) The study sponsor; D) Your personal physician
Correct answer: C) The study sponsor"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the Blinatumomab clinical study?

A) Participation in the study is mandatory once you sign the consent form.
B) You may face penalties or loss of benefits if you refuse to participate in the study.
C) You can withdraw from the study at any time without any penalties or loss of benefits you are entitled to.
D) Withdrawing from the study will result in a loss of your standard medical care.

Correct answer: C) You can withdraw from the study at any time without any penalties or loss of benefits you are entitled to."
