,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical treatment with no data collection
B) A personal fitness and nutrition program not related to a study
C) A research study evaluating the effect of triple pre-rehabilitation on radiotherapy for head and neck cancer patients
D) A general health survey conducted by Peking University with no specific patient interventions

Correct answer: C) A research study evaluating the effect of triple pre-rehabilitation on radiotherapy for head and neck cancer patients"
1,1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To assess the effectiveness of a new chemotherapy drug for head and neck cancer patients;
B) To evaluate the impact of triple pre-rehabilitation on patients undergoing radiotherapy for head and neck cancer;
C) To compare different surgical techniques for head and neck cancer treatment;
D) To investigate the psychological effects of radiotherapy on patients with head and neck cancer.

Correct answer: B"
2,2,The expected duration of the subject's participation,"How long is the duration of the intervention for patients in the pre-rehabilitation group from the time of enrollment?
A) From enrollment until the start of radiotherapy
B) From enrollment until the end of radiotherapy
C) From the start of radiotherapy until the end of radiotherapy
D) From enrollment until 6 weeks after radiotherapy

Correct answer: B) From enrollment until the end of radiotherapy"
3,3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the participants in terms of the costs associated with the study?
A) Participants will have to pay for the intervention program.
B) Participants will be charged for the medical measures in case of accidental injury.
C) Participants will not incur any costs for participating in the study.
D) Participants will be responsible for transportation costs to and from the study site.

Correct answer: C) Participants will not incur any costs for participating in the study."
4,4,A description of the procedures to be followed,"Which of the following statements accurately describes the follow-up procedures for participants in the study?

A) Participants will be followed up only at the beginning and at the end of radiotherapy.
B) Participants will be followed up at four different times: at enrollment, before radiotherapy, in the middle of radiotherapy, and at the end of radiotherapy.
C) Participants will be followed up weekly via phone calls throughout the duration of the study.
D) Participants will be followed up daily through in-person visits during the study.

Correct answer: B) Participants will be followed up at four different times: at enrollment, before radiotherapy, in the middle of radiotherapy, and at the end of radiotherapy."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the ""Effect of triple pre-rehabilitation on radiotherapy for head and neck cancer patients"" study?
A) You will be required to pay for any treatments received during the study;
B) Your medical treatment and rights at Tianjin Medical University Cancer Institution and Hospital will be negatively affected;
C) Your participation in other clinical studies will be restricted;
D) Your current and future medical treatment and rights will not be affected, and you can withdraw at any time without any reason.
Correct answer: D"
6,6,Identification of any procedures which are experimental,"Which of the following is considered the experimental intervention in this study?
A) Standard radiotherapy for head and neck cancer patients;
B) Triple pre-rehabilitation intervention consisting of exercise, nutrition, and psychology before and during radiotherapy;
C) Weekly WeChat follow-ups for standard medical advice;
D) Use of elastic bands for physical exercise as part of standard care.

Correct answer: B) Triple pre-rehabilitation intervention consisting of exercise, nutrition, and psychology before and during radiotherapy."
7,7,The approximate number of subjects involved in the study,"How many patients are expected to be enrolled in the randomized controlled trial for the Effect of Triple Pre-rehabilitation on Radiotherapy for Head and Neck Cancer Patients?
A) 20 patients in each group; B) 40 patients in each group; C) 60 patients in each group; D) 80 patients in total

Correct answer: B) 40 patients in each group"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are some of the potential risks or discomforts that participants might experience during the ""Effect of triple pre-rehabilitation on radiotherapy for head and neck cancer patients"" study?
A) Muscle strain and hypoglycemia due to the intervention program; B) Increased risk of cancer due to participation; C) Immediate disqualification from health insurance coverage; D) Mandatory long-term hospitalization as part of the study protocol

Correct answer: A"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to subjects participating in the ""Effect of triple pre-rehabilitation on radiotherapy for head and neck cancer patients"" study?

A) Guaranteed improvement in health and complete remission of cancer
B) Optimization of mental and physical health and potential reduction of adverse reactions during radiotherapy
C) Financial compensation for time and travel to the study site
D) Immediate access to new cancer treatments not yet available to the public

Correct answer: B"
