,Topics,Questions
0,A statement that the study involves research,"Which of the following statements accurately reflects the nature of the CARE study as described in the consent form?
A) The CARE study is a commercial service evaluation.
B) The CARE study is a non-research related educational program.
C) The CARE study is a clinical trial involving research.
D) The CARE study is a routine medical treatment with no research component.

Correct answer: C) The CARE study is a clinical trial involving research."
1,An explanation of the purposes of the research,"What is the primary goal of the CARE research study?
A) To compare the effectiveness of apixaban and enoxaparin in preventing blood clots after bladder removal surgery;
B) To test a new experimental blood thinner for post-surgery patients;
C) To evaluate the long-term side effects of blood thinners in patients who have not undergone surgery;
D) To determine the best surgical techniques for bladder removal.

Correct answer: A) To compare the effectiveness of apixaban and enoxaparin in preventing blood clots after bladder removal surgery."
2,The expected duration of the subject's participation,"For how long will participants be actively involved in the CARE study after their bladder removal surgery?
A) Until 30 days after surgery; B) Until 60 days after surgery; C) Until 90 days after surgery; D) Until 120 days after surgery
Correct answer: C) Until 90 days after surgery"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs you may incur as a result of participating in the CARE study?

A) You will be responsible for the full cost of the blood thinners as they are not covered by the study.
B) The study will cover all costs associated with the blood thinners and other medications.
C) Your insurance will be billed for the blood thinners, and you may be responsible for some costs, similar to if you were not in the study.
D) Participation in the study will result in higher costs for blood thinners compared to standard care.

Correct answer: C) Your insurance will be billed for the blood thinners, and you may be responsible for some costs, similar to if you were not in the study."
4,A description of the procedures to be followed,"Which of the following procedures will you be asked to complete if you agree to join the CARE study?
A) Undergo a surgical procedure not related to your current treatment plan.
B) Keep the entire medication supply you are given until your phone call at 30 days, at which point you will be asked to count the remaining pills/vials of medication.
C) Attend weekly in-person meetings with the research team for progress updates.
D) Provide a blood sample at each phone call interaction with the research team.

Correct answer: B) Keep the entire medication supply you are given until your phone call at 30 days, at which point you will be asked to count the remaining pills/vials of medication."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the CARE study before it ends?
A) You will be required to pay a penalty fee for early withdrawal; B) You will still receive the $20 compensation for participating; C) Your future care at Penn Medicine will be affected; D) Withdrawal will not interfere with your future care at Penn Medicine.

Correct answer: D"
6,Identification of any procedures which are experimental,"Which of the following procedures is considered experimental in the CARE study?
A) The use of apixaban as a blood thinner after bladder removal surgery
B) The use of enoxaparin as a blood thinner after bladder removal surgery
C) The randomization process to assign either apixaban or enoxaparin to participants
D) Neither apixaban nor enoxaparin is considered experimental in this study

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the Comparison of Apixaban versus Enoxaparin for VTE Prevention after Radical Cystectomy (CARE) study?
A) 50 participants; B) 100 participants; C) 150 participants; D) The number of participants is not specified in the consent form.
Correct answer: D) The number of participants is not specified in the consent form."
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are some of the potential risks or discomforts that participants might experience in the CARE study?
A) Headaches and insomnia; B) Serious bleeding and possible liver dysfunction; C) Increased risk of heart attack; D) Allergic reactions to the study medication

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What is the expected benefit for participants in the CARE study?

A) Participants will receive a new experimental blood thinner not available outside the study.
B) Participants will receive financial compensation for their involvement in the study.
C) Participants will directly benefit from improved health outcomes as a result of the study.
D) There is no direct anticipated benefit to participants, but the study may help inform future patient care.

Correct answer: D"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the CARE study, what standard care option will you be offered following your bladder removal surgery?
A) You will not receive any blood thinners after surgery;
B) You will be given a prescription for a blood thinner and instructed to self-administer it until 30 days after surgery;
C) You will be required to stay in the hospital for 30 days for monitoring;
D) You will be given a placebo instead of a blood thinner.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected during the CARE study?
A) Personal health information will be shared publicly on the study's website.
B) Personal health information will be stored on a secure, encrypted server and managed with commercial-grade encryption to protect privacy.
C) Personal health information will be accessible to all employees of the University of Pennsylvania without restrictions.
D) Personal health information will be disclosed to third-party marketers for promotional purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What will happen if you suffer an injury as a direct result of participating in the CARE study?
A) The University of Pennsylvania will provide free treatment for the injury and compensation.
B) You will be offered the necessary care to treat the injury, but you may be responsible for some costs, and no additional compensation will be provided by the University of Pennsylvania.
C) All medical expenses related to the injury will be covered by the study, and you will receive additional compensation for pain and suffering.
D) The study will not acknowledge any injuries, and you will have to seek medical treatment independently without any assistance from the study.

Correct answer: B) You will be offered the necessary care to treat the injury, but you may be responsible for some costs, and no additional compensation will be provided by the University of Pennsylvania."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns about your rights as a research participant or experience a research-related injury, whom should you contact?
A) The Institutional Review Board (IRB); B) The Principal Investigator; C) The Emergency Contact provided; D) The Research Office

Correct answer: A) The Institutional Review Board (IRB)"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the CARE study after bladder removal surgery?
A) You will not undergo the bladder removal surgery as it is contingent on participation.
B) You will still undergo the bladder removal surgery and receive standard post-operative care including a prescription for a blood thinner.
C) You will be penalized by the hospital and may lose access to certain medical benefits.
D) Your decision will be kept confidential and will not affect your future healthcare.

Correct answer: B) You will still undergo the bladder removal surgery and receive standard post-operative care including a prescription for a blood thinner."
