,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) The activity is a routine medical treatment not involving research.
B) The activity is a commercial product trial with no research component.
C) The activity is a research study involving the testing of medication dosages.
D) The activity is a voluntary survey without any medical intervention.

Correct answer: C) The activity is a research study involving the testing of medication dosages."
1,An explanation of the purposes of the research,"What is the primary goal of the Phase I/II Trial of Gabapentin plus Ketamine for head and neck cancer patients?
A) To evaluate the effectiveness of chemotherapy alone; B) To assess the pain management with gabapentin and ketamine during and after cancer treatment; C) To determine the best surgical techniques for head and neck cancer; D) To study the psychological impact of cancer diagnosis

Correct answer: B"
2,The expected duration of the subject's participation,"For how long will participants be expected to be involved in the study activities, including follow-up visits?

A) Up to 3 months after the end of treatment
B) Up to 6 months after the end of treatment
C) Up to 1 year after the end of treatment
D) Indefinitely, with no specified end to participation

Correct answer: A) Up to 3 months after the end of treatment"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the Phase I/II Trial of Gabapentin plus Ketamine for pain management in head and neck cancer patients?
A) Subjects will incur significant additional costs for participating in the study.
B) Subjects will be responsible for the cost of gabapentin pills, but the ketamine nasal spray will be provided free of charge.
C) There are no additional costs to the subject for participating in the study.
D) Subjects will be charged for the blood draws required for the study.

Correct answer: C) There are no additional costs to the subject for participating in the study."
4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants will follow in the study?

A) Participants will only take gabapentin and ketamine as needed for pain relief during their cancer treatment.
B) Participants will take gabapentin and ketamine daily, complete a daily medication compliance form, attend weekly study visits, and have blood draws at specific intervals.
C) Participants will receive a one-time dose of gabapentin and ketamine at the beginning of the study and then as requested.
D) Participants will be observed for side effects without taking any study medications.

Correct answer: B) Participants will take gabapentin and ketamine daily, complete a daily medication compliance form, attend weekly study visits, and have blood draws at specific intervals."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your standard medical care if you choose to withdraw from the study?

A) You will lose access to all medical care provided by Vanderbilt University Medical Center; B) Your standard medical care will continue without any changes; C) You will be charged a fee for withdrawing from the study; D) Your health insurance premiums will increase

Correct answer: B"
6,Identification of any procedures which are experimental,"Which of the following procedures in the study are considered experimental?
A) Routine blood draws for standard cancer treatment monitoring; B) Use of gabapentin in pill form for pain management; C) Combination treatment of gabapentin and ketamine for pain prevention and treatment; D) Filling out questionnaires regarding pain and functional status

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many patients are anticipated to participate in the Phase I/II Trial of Gabapentin plus Ketamine for pain management in head and neck cancer patients?
A) 50 patients; B) 100 patients; C) 150 patients; D) 200 patients

Correct answer: C) 150 patients"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the Phase I/II Trial of Gabapentin plus Ketamine for pain management in head and neck cancer patients?
A) Increased risk of infection at the cancer site; B) Dizziness and drowsiness from the medications; C) Immediate disqualification from health insurance; D) Permanent loss of sensation at the medication application site

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants might experience from being in this study?
A) Guaranteed cure for their head and neck cancer
B) Immediate financial compensation for participation
C) Possible pain relief from the medications being studied
D) Assurance of no side effects from the medications

Correct answer: C) Possible pain relief from the medications being studied"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative treatment options for pain management if you choose not to participate in the Phase I/II Trial of Gabapentin plus Ketamine study?
A) You will be provided with a specialized new drug regimen developed for non-participants; B) You will receive standard pain management care as determined by your healthcare provider; C) You will be enrolled in a different clinical trial focusing on alternative pain management techniques; D) No alternative treatments will be offered outside of the study.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal health information be protected during this study?
A) By assigning a unique identifier to link your name to the study-related information.
B) By publishing your name and medical information in the study results.
C) By sharing your identifiable health information with the public.
D) By allowing unrestricted access to your health information to all hospital staff.

Correct answer: A) By assigning a unique identifier to link your name to the study-related information."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in this research study, which of the following statements is true regarding compensation for medical treatment?
A) Vanderbilt will cover all medical costs associated with the injury.
B) You may be billed for the cost of medical care provided at Vanderbilt to treat the injury, and you will be responsible for any copayments or deductibles.
C) You will receive a fixed monetary compensation for any injury sustained.
D) The study sponsor will provide full compensation for all injury-related expenses.

Correct answer: B) You may be billed for the cost of medical care provided at Vanderbilt to treat the injury, and you will be responsible for any copayments or deductibles."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an injury as a result of participating in this study, whom should you contact for assistance?

A) The Institutional Review Board Office at Vanderbilt University; 
B) Dr. Dianne Lou or Dr. Barbara Murphy at 615-322-4967; 
C) Your personal physician; 
D) The National Cancer Institute.

Correct answer: B) Dr. Dianne Lou or Dr. Barbara Murphy at 615-322-4967"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to discontinue participation in the study?
A) You may discontinue at any time and it will not affect your regular medical care.
B) If you discontinue, you may lose access to certain medical treatments.
C) Discontinuing participation will result in a penalty.
D) You are required to complete the study once you begin.

Correct answer: A) You may discontinue at any time and it will not affect your regular medical care."
