,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical check-up with no research component
B) A commercial promotion for gratitude journaling products
C) A research study investigating the effects of gratitude journaling on well-being and exercise readiness
D) A social media campaign to raise awareness about breast cancer

Correct answer: C) A research study investigating the effects of gratitude journaling on well-being and exercise readiness"
1,An explanation of the purposes of the research,"What is the primary goal of the gratitude journaling intervention in this research study?
A) To increase the use of gratitude journals in clinical settings; B) To assess the impact of gratitude journaling on physical activity and well-being among older African American breast cancer survivors; C) To compare different types of journaling methods; D) To provide participants with a new form of entertainment

Correct answer: B"
2,The expected duration of the subject's participation,"For how many weeks will participants be expected to be involved in the gratitude journaling intervention study?
A) 4 weeks; B) 8 weeks; C) 12 weeks; D) 16 weeks
Correct answer: B) 8 weeks"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the ""A Pilot Feasibility Study of a Gratitude Journaling Intervention"" research study?

A) Participants will have to pay for the blood tests required during the study.
B) Participants will incur costs for transportation to the UF Research Center for the study appointments.
C) There are no costs for participants who qualify for the study.
D) Participants will be charged for the journaling materials provided for the study.

Correct answer: C) There are no costs for participants who qualify for the study."
4,A description of the procedures to be followed,"What will participants be required to do as part of the gratitude journaling intervention in this study?

A) Journal about their daily activities at least once a week for six weeks.
B) Journal about gratitude or general memories at least twice a week for eight weeks.
C) Complete a series of physical exercises as part of their journaling activities.
D) Attend weekly in-person therapy sessions at the UF Research Center.

Correct answer: B) Journal about gratitude or general memories at least twice a week for eight weeks."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"If you choose to withdraw from the gratitude journaling intervention study, what will happen?
A) You will be required to pay a penalty fee for early withdrawal;
B) You will continue to be part of the study but will not have to participate in journaling;
C) Your decision to withdraw will not affect your entitlement to benefits or result in any penalties;
D) You will be obligated to complete the study once you have started.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures in the study is considered experimental?
A) Routine blood tests during regular health check-ups; B) Gratitude journaling intervention combined with goal-setting to enhance well-being and exercise readiness; C) Standard medical treatment for breast cancer survivors; D) Psychological surveys conducted annually as part of standard clinical care

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the gratitude journaling intervention study for older African American female breast cancer survivors?
A) 20; B) 32; C) 45; D) 50
Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants may experience during the gratitude journaling intervention study?
A) Risk of personal data being shared publicly; B) Discomfort or pain from blood-draw procedures; C) Increased risk of cancer recurrence; D) Financial costs for participation in the study

Correct answer: B) Discomfort or pain from blood-draw procedures"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit to participants in the gratitude journaling intervention study for older African American female breast cancer survivors?

A) Guaranteed reduction in cancer recurrence
B) Direct financial compensation for participation
C) Exposure to motivational techniques and potential improvement in well-being and metabolic health
D) Free comprehensive medical treatment for any condition

Correct answer: C) Exposure to motivational techniques and potential improvement in well-being and metabolic health"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative options for participants who choose not to be involved in the gratitude journaling intervention study?
A) Participants can enroll in a different clinical trial focused on exercise and well-being; B) Participants can seek out resources to independently practice gratitude and journaling; C) Participants will be provided with a different form of therapy by the research team; D) There are no alternative procedures or treatments provided by the study team.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who is legally allowed to review your research records, and how will your confidentiality be protected according to the consent form?
A) Only the participant and the Principal Investigator; B) The researchers, certain University of Florida officials, the involved hospital or clinic, and the Institutional Review Board; C) Any member of the public requesting access; D) All healthcare providers in the state

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a direct result of participating in this research study, which of the following statements is true regarding the compensation for medical treatments?

A) All medical and hospital expenses will be covered by the study without any cost to you.
B) Only professional services from University of Florida Health Science Center healthcare providers will be provided without charge, other expenses will be billed.
C) You will receive a fixed monetary compensation for any type of injury sustained during the study.
D) The study will cover all medical expenses, including deductibles, co-insurance, or co-payments.

Correct answer: B) Only professional services from University of Florida Health Science Center healthcare providers will be provided without charge, other expenses will be billed."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any discomfort or injury as a result of participating in this study, whom should you contact for assistance?

A) The Institutional Review Board (IRB) office
B) The Principal Investigator, Dr. Lakeshia Cousin
C) Your personal physician
D) The University of Florida Health Science Center healthcare providers

Correct answer: B"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the study?

A) Withdrawing from the study will result in a penalty and loss of benefits.
B) You may withdraw at any time, but you will lose some benefits you are otherwise entitled to.
C) You can withdraw at any time without any penalties or loss of benefits you are entitled to.
D) You cannot withdraw once you have agreed to participate in the study.

Correct answer: C) You can withdraw at any time without any penalties or loss of benefits you are entitled to."
