,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the HOPE-Genomics study as outlined in the consent form?
A) The study is a commercial service offering personalized genomic test results.
B) The study is a non-research related educational program for general health awareness.
C) The study is a research activity designed to test the effectiveness of a web-based education tool on patient knowledge of personal genomic test results.
D) The study is a routine medical evaluation that is part of standard patient care.

Correct answer: C) The study is a research activity designed to test the effectiveness of a web-based education tool on patient knowledge of personal genomic test results."
1,An explanation of the purposes of the research,"What is the primary goal of the HOPE-Genomics research study?
A) To provide a new treatment for cancer patients; B) To evaluate the effectiveness of a web-based education tool in improving patient knowledge about genomic testing and cancer; C) To compare different chemotherapy drugs; D) To assess the long-term survival rates of cancer patients after genomic testing

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total expected duration of participation for each subject in the HOPE-Genomics study?
A) 6 months; B) 9 months; C) 12 months; D) 24 months
Correct answer: C) 12 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the HOPE-Genomics study?
A) Participants will be responsible for the costs of genomic testing and any associated medical procedures.
B) Participants will incur additional costs for the use of the HOPE-Genomics web tool.
C) There are no additional costs to participants for taking part in the study, and insurance will not be billed.
D) Participants will have to pay for the surveys they complete during the study.

Correct answer: C) There are no additional costs to participants for taking part in the study, and insurance will not be billed."
4,A description of the procedures to be followed,"How long is the estimated time you will spend viewing the HOPE-Genomics tool as part of the study procedures?
A) 5-10 minutes
B) 15-20 minutes
C) 30-45 minutes
D) 60 minutes or more

Correct answer: B) 15-20 minutes"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you decide to withdraw your consent for participation in the HOPE-Genomics study?
A) You will be charged a fee for the time and resources used during your participation; B) You will no longer be able to receive any medical treatment at City of Hope; C) Your participation in the study will end, but it will not affect your future treatment at City of Hope; D) You will be required to return the gift cards received for participating in the study.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which aspect of the HOPE-Genomics study is considered experimental?
A) Completing standard surveys about cancer and genomics after receiving genomic test results;
B) Interacting with a web-based education tool designed to improve understanding of personal genomic test results;
C) Undergoing genomic testing to identify changes in DNA related to cancer risk;
D) Receiving standard medical care and treatment at City of Hope.

Correct answer: B) Interacting with a web-based education tool designed to improve understanding of personal genomic test results."
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the HOPE-Genomics Web Tool Randomized Clinical Trial?
A) 200; B) 365; C) 465; D) 560
Correct answer: C) 465"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in the HOPE-Genomics study?
A) Physical injury from medical procedures; B) Emotional distress from survey questions; C) Loss of insurance coverage due to participation; D) Exposure to radiation during the study

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the HOPE-Genomics Web Tool Randomized Clinical Trial?
A) Direct medical benefits to the participant from the use of the web tool.
B) Financial compensation for the time spent participating in the study.
C) The knowledge gained may help future patients with genomic testing at City of Hope.
D) Guaranteed improvement in the participant's personal health condition.

Correct answer: C) The knowledge gained may help future patients with genomic testing at City of Hope."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the HOPE-Genomics study, what is the alternative option available to you?
A) You will be required to participate in a different study; 
B) You will not receive any further treatment at City of Hope; 
C) You will continue to receive standard care without participating in the study; 
D) You will be given access to a different web-based education tool.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your confidentiality will be maintained if you participate in the HOPE-Genomics study?
A) Your identity will be shared publicly whenever your information is used for the study.
B) Your personal health information will be kept confidential and will only be disclosed with your permission.
C) All your health information will be accessible by the general public for educational purposes.
D) Your confidentiality is not guaranteed once your information is shared with third parties outside of City of Hope.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants in the HOPE-Genomics study if they experience discomfort or emotional upset during the study-related activities?

A) Participants will receive free medical treatment for any discomfort or emotional upset.
B) Participants will receive counseling and support from social workers and psychologists as needed.
C) Participants will receive a fixed monetary compensation for any injury incurred during the study.
D) Participants will not receive any compensation for discomfort or emotional upset.

Correct answer: B) Participants will receive counseling and support from social workers and psychologists as needed."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience any emotional upset during the study or have questions about your rights as a research subject, whom should you contact?

A) The Institutional Review Board (IRB) at City of Hope; 
B) The principal investigator, Dr. Stacy Gray; 
C) Your personal physician; 
D) The National Institutes of Health (NIH)

Correct answer: B) The principal investigator, Dr. Stacy Gray;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to discontinue participation in the HOPE-Genomics study?

A) You may discontinue at any time, but it may affect your future treatment at City of Hope.
B) You may discontinue at any time without any impact on your future treatment at City of Hope.
C) Discontinuation is only permitted with the approval of the study coordinator.
D) If you discontinue, you will lose access to certain benefits at City of Hope.

Correct answer: B) You may discontinue at any time without any impact on your future treatment at City of Hope."
