,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the informed consent form?
A) A routine medical check-up
B) A standard treatment program without any experimental procedures
C) A clinical research study comparing different treatment durations
D) A non-medical, personal survey

Correct answer: C) A clinical research study comparing different treatment durations"
1,An explanation of the purposes of the research,"What is the primary objective of the multicenter, randomized, open-label clinical study titled ""Rezvilutamide 6-months Course Compared with Long-Term Androgen Deprivation Therapy (ADT) + Docetaxel Chemotherapy in High Tumor Burden Metastatic Hormone-Sensitive Prostate Cancer (mHSPC)""?
A) To determine the best surgical technique for prostate cancer treatment
B) To evaluate the cost-effectiveness of Rezvilutamide as a treatment option
C) To assess whether a 6-month course of Rezvilutamide is non-inferior to a long-term course in improving radiographic progression-free survival in patients
D) To compare the taste preferences of patients taking Rezvilutamide versus other medications

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for subjects in this clinical trial?
A) 6 months; B) Up to 12 months; C) 2 years; D) Indefinite until disease progression

Correct answer: B) Up to 12 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs that the subject may incur as a result of participating in the research?
A) The study will cover all medication, examination, and transportation costs for the subject.
B) The subject will be responsible for outpatient fees, transportation costs, medication costs, and examination fees.
C) The subject will receive a stipend to cover personal expenses during the study.
D) There are no costs associated with participating in the research; everything is covered by the study.

Correct answer: B) The subject will be responsible for outpatient fees, transportation costs, medication costs, and examination fees."
4,A description of the procedures to be followed,"Which of the following statements accurately describes the treatment procedures that participants will undergo in the study?

A) Participants will only receive ADT without any additional treatments.
B) Participants will be given a combination of Rezvilutamide, ADT, and Docetaxel for a period of 6 months.
C) Participants will be randomly assigned to either receive a 6-month course of degarelix with ADT and Docetaxel or a long-term course of degarelix with ADT and Docetaxel.
D) All participants will undergo surgical castration without the option of medication-based ADT.

Correct answer: C) Participants will be randomly assigned to either receive a 6-month course of degarelix with ADT and Docetaxel or a long-term course of degarelix with ADT and Docetaxel."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the study at any point after consenting to participate?
A) You will be required to reimburse the cost of any treatments received during the study; B) You will be barred from receiving any further medical care from the participating hospitals; C) You may withdraw without any impact on your future medical care or treatment options; D) You will have to pay a penalty fee for early withdrawal from the study.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following treatments being studied is considered experimental in this clinical trial?
A) Standard Androgen Deprivation Therapy (ADT) alone;
B) ADT combined with a 6-month course of Rezvilutamide;
C) ADT combined with a long-term course of Rezvilutamide;
D) ADT combined with Docetaxel chemotherapy for 6 cycles.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the multicenter study on Rezvilutamide with ADT Plus Chemotherapy in High Tumor Burden mHSPC?
A) 50; B) 100; C) 150; D) 200

Correct answer: B) 100"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort that participants may experience during the study?
A) Increased energy levels and improved mood; B) Diarrhea and dehydration requiring intravenous fluids; C) Enhanced physical strength; D) Immediate cure of the disease

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the ""Rezvilutamide 6-months Course Compared with Long-Term Androgen Deprivation Therapy (ADT) + Docetaxel Chemotherapy in High Tumor Burden Metastatic Hormone-Sensitive Prostate Cancer (mHSPC)"" study?

A) Guaranteed cure for prostate cancer
B) Financial compensation for participation
C) Possible improvement in condition and contribution to medical research
D) Free long-term medical care for any condition

Correct answer: C) Possible improvement in condition and contribution to medical research"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the Rezvilutamide study, which alternative treatment options are available to you?
A) ADT monotherapy only; B) ADT combined with a non-specified second-generation anti-androgen therapy; C) ADT combined with abiraterone or ADT combined with docetaxel; D) No alternative treatments are available

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who may have access to your personal health information if you participate in this study?
A) Only the research team at Jiangsu Provincial People's Hospital; B) Government authorities, hospital ethics committees, and other relevant researchers as regulated; C) All hospital staff members; D) The general public

Correct answer: B"
