,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the IMPACT Study as detailed in the consent form?
A) The study is a routine medical check-up and not considered research.
B) The study is a commercial product trial with guaranteed health benefits for participants.
C) The study is a research project designed to evaluate genetic risk assessment services.
D) The study is a recreational survey not related to medical or genetic research.

Correct answer: C) The study is a research project designed to evaluate genetic risk assessment services."
1,An explanation of the purposes of the research,"What is the primary goal of the IMPACT Study as described in the consent form?
A) To provide immediate medical treatment for inherited cancer; B) To assess the effectiveness of new cancer medications; C) To evaluate factors related to access to genetic risk assessment and testing services; D) To offer financial compensation for inherited cancer treatment

Correct answer: C"
2,The expected duration of the subject's participation,"How much time is anticipated for a participant to complete the baseline survey for the IMPACT Study?
A) 15 minutes; B) 30 minutes; C) 45 minutes; D) 60 minutes
Correct answer: C) 45 minutes"
3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the participant for taking part in the IMPACT Study?
A) Participants will have to pay for the baseline survey and medical record release authorization.
B) Participants will be responsible for any costs associated with medical care for injuries directly resulting from the study.
C) There are no costs to the participant for taking part in the study.
D) Participants will need to pay for any additional care required due to the usual care they would normally receive for treating their illness.

Correct answer: C) There are no costs to the participant for taking part in the study."
4,A description of the procedures to be followed,"What steps will you be asked to complete if you agree to participate in the IMPACT study?

A) Undergo a series of medical treatments specific to inherited cancer.
B) Complete a baseline survey and possibly provide a copy of your genetic test report.
C) Attend regular in-person meetings with the study team for genetic counseling.
D) Participate in a randomized clinical trial involving medication for inherited cancer.

Correct answer: B) Complete a baseline survey and possibly provide a copy of your genetic test report."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your regular medical care if you choose to withdraw from the IMPACT Study?
A) Your medical care will be discontinued at Vanderbilt University Medical Center; B) Your decision to withdraw will result in a penalty or loss of benefits; C) Withdrawing from the study will not affect your regular medical care; D) You will be required to pay a fee for withdrawing from the study.
Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following procedures in the IMPACT Study is considered experimental?
A) Completion of a baseline survey about genetic risk assessment and testing services
B) Authorization for release of medical records to the study team
C) Review of survey answers and medical records by the study team
D) Use of a $10 gift card as an incentive for completing the baseline survey and providing medical records or genetic test report

Correct answer: A"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the IMPACT Study?
A) 1,000; B) 2,500; C) 5,000; D) 10,000
Correct answer: C) 5,000"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What is a potential risk associated with participating in the IMPACT Study?
A) Physical injury from medical procedures; B) Accidental release of private information; C) Direct financial costs to the participant; D) Mandatory genetic modification

Correct answer: B) Accidental release of private information"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits are associated with participating in the IMPACT Study?

A) Guaranteed medical treatment for inherited cancer
B) A $10 gift card for completing the baseline survey and authorization for release of medical records
C) Direct personal health benefits from the study findings
D) Assurance of improved insurability and employability

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the IMPACT Study, what will be the impact on your standard medical care?

A) Your standard medical care will be discontinued; 
B) Your standard medical care will remain unaffected; 
C) You will be required to pay additional costs for your standard medical care; 
D) You will not be able to access genetic testing services in the future.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your identifiable information will be handled in the IMPACT Study?
A) Your name and contact details will be published alongside the study results.
B) Your identifying information will be kept in a secure location and will not be used in study publications or reports.
C) Your medical records will be openly accessible to the public for educational purposes.
D) All study participants' names and medical details will be shared with insurance companies.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the IMPACT study consent form state regarding compensation for potential injury during the study?
A) Participants will receive full compensation for any injuries sustained during the study.
B) Participants will receive immediate medical care at Vanderbilt for injuries directly resulting from research tests or treatments, without charge to them or their insurance.
C) Participants will receive a predetermined sum of money for any injuries sustained during the study.
D) There are no plans for Vanderbilt to pay for any injury caused by the usual care or the costs of any additional care, nor to provide monetary compensation for injuries.

Correct answer: D) There are no plans for Vanderbilt to pay for any injury caused by the usual care or the costs of any additional care, nor to provide monetary compensation for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you experience an injury as a result of participating in the IMPACT study, whom should you contact for assistance?

A) The VUMC Institutional Review Board Office;
B) Tuya Pal, MD, FACMG, the Principal Investigator;
C) Your personal healthcare provider;
D) The National Institutes of Health (NIH).

Correct answer: B) Tuya Pal, MD, FACMG, the Principal Investigator."
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you choose not to participate in the IMPACT Study or if you decide to withdraw from the study at a later time?

A) You will lose access to certain medical treatments that are only available to study participants.
B) Your current medical care or access to health benefits will be negatively affected.
C) There will be no penalty or loss of benefits to which you are otherwise entitled, and it will not affect your treatment or benefits.
D) You will be required to reimburse the cost of any study-related procedures that have been performed.

Correct answer: C) There will be no penalty or loss of benefits to which you are otherwise entitled, and it will not affect your treatment or benefits."
