,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the activity described in the consent form?
A) A routine medical check-up with no data collection
B) A commercial promotion for synbiotic supplements
C) A research study investigating the effects of synbiotic supplements on anxiety in breast cancer survivors
D) A personal fitness and diet coaching program

Correct answer: C) A research study investigating the effects of synbiotic supplements on anxiety in breast cancer survivors"
1,An explanation of the purposes of the research,"What is the primary goal of the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) To assess the impact of synbiotic supplements on physical fitness levels;
B) To investigate the effects of synbiotic supplements on anxiety symptoms in female breast cancer survivors;
C) To determine the effectiveness of synbiotic supplements in curing breast cancer;
D) To explore the relationship between synbiotic supplements and weight loss in women over 50.

Correct answer: B"
2,The expected duration of the subject's participation,"How long is the total time commitment required from each participant in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) 2 weeks; B) 4 hours; C) 6 weeks; D) 8 weeks

Correct answer: C) 6 weeks"
3,Any additional costs to the subject that may result from participation in the research,"What will be the financial responsibility of the participant for taking part in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) Participants will have to pay for the synbiotic or placebo supplements.
B) Participants will be responsible for any medical expenses incurred due to injury from the study.
C) There are no costs to the participant for being in the study, and all study-related examinations and education will be provided at no cost.
D) Participants will need to purchase additional health insurance coverage for study participation.

Correct answer: C) There are no costs to the participant for being in the study, and all study-related examinations and education will be provided at no cost."
4,A description of the procedures to be followed,"How long is the total time commitment required from participants for the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?

A) 2 weeks
B) 4 hours over 6 weeks
C) 6 months
D) 1 year

Correct answer: B) 4 hours over 6 weeks"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your relationship with Auburn University if you choose to withdraw from the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) You will be subject to academic penalties or job termination; B) You will lose access to university healthcare services; C) Your class standing, grades, or job at Auburn University will not be affected; D) You will be required to reimburse the cost of participation up to that point.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental procedure in the study ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors""?

A) Routine blood tests and physical measurements such as height and weight;
B) Administration of a daily synbiotic or placebo supplement over the course of the study;
C) Completion of anxiety symptom questionnaires and dietary assessments;
D) Collection and analysis of fecal samples to study the gut microbiome.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many female breast cancer survivors will be asked to participate in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) 50; B) 100; C) 150; D) The consent form does not specify the number
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk or discomfort associated with participating in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) Temporary bruising from blood draws; B) Severe allergic reactions to the synbiotic supplement; C) Long-term medication side effects; D) Increased risk of cancer recurrence
Correct answer: A"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What potential benefits might participants experience as a result of taking part in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?

A) Guaranteed cure for anxiety symptoms
B) Possible reduction in anxiety symptoms and improved bowel function
C) Financial gain from the sale of synbiotic supplements
D) Immediate improvement in overall health status

Correct answer: B"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you choose not to participate in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) You will be required to participate in a different study focused on anxiety reduction;
B) You will be provided with a standard anxiety treatment by the research team;
C) You can choose not to participate without affecting your insurance coverage or healthcare delivery;
D) There are no alternative options available outside of the study.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will your personal information be protected in the ""Synbiotic Supplementation to Reduce Anxiety Symptoms in Female Breast Cancer Survivors"" study?
A) All information will be made public for research transparency.
B) Information will be stored in unlocked cabinets and on the study coordinator's personal computer.
C) Information will be stored in locked file cabinets in locked study offices, or in password-protected computer files accessible only to trained study staff.
D) Personal information will be shared with all study participants for peer review.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the new consent form state about compensation and medical treatment if a participant is injured during the study?
A) Participants will receive free medical treatment for any injuries sustained during the study.
B) Participants will receive financial compensation for participating, but the study does not provide funds for medical expenses in case of injury.
C) The study will cover all medical expenses related to injuries sustained during the study.
D) Participants must cover their own medical expenses if they are injured, but they will receive a higher compensation for their participation.

Correct answer: B) Participants will receive financial compensation for participating, but the study does not provide funds for medical expenses in case of injury."
