,Topics,Questions
0,A statement that the study involves research,"Which of the following statements accurately reflects the nature of the activity described in the consent form?
A) The activity is a standard medical procedure with no research component.
B) The activity is a commercial service offered to the general public.
C) The activity is part of a research study involving micro-ultrasound imaging for prostate cancer.
D) The activity is a routine health check-up unrelated to research.

Correct answer: C) The activity is part of a research study involving micro-ultrasound imaging for prostate cancer."
1,An explanation of the purposes of the research,"What is the primary goal of the research study described in the consent form?
A) To evaluate the effectiveness of a new prostate cancer medication; B) To assess the accuracy of a new blood pressure monitoring device; C) To develop better tools for prostate cancer detection using micro-ultrasound imaging; D) To compare the effectiveness of different surgical techniques for prostatectomy.

Correct answer: C"
2,The expected duration of the subject's participation,"How much time is anticipated for your active participation in the imaging portion of the study?
A) Approximately 2 minutes; B) Approximately 30 minutes; C) Approximately 1 hour; D) Approximately 15 minutes
Correct answer: A"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding the costs of participating in the Predicting Location and Extent of Prostate Cancer using Micro-Ultrasound Imaging study?
A) Participants will be charged for the use of the ExactVu device during the study.
B) Participants will receive a stipend for their time involved in the study.
C) Participants will not incur any costs for participating in the study.
D) Participants will be responsible for the costs of any additional treatments required due to complications from the study.

Correct answer: C) Participants will not incur any costs for participating in the study."
4,A description of the procedures to be followed,"What will happen during your participation in the prostate cancer study using micro-ultrasound imaging?

A) You will undergo a full surgical procedure to remove the prostate.
B) You will be asked to complete a series of physical fitness tests.
C) The ExactVu device will be used to take ultrasound images of your prostate before a biopsy or surgery.
D) You will be required to stay in the hospital for a 24-hour observation period.

Correct answer: C) The ExactVu device will be used to take ultrasound images of your prostate before a biopsy or surgery."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What happens if you choose to withdraw from the research study after consenting to participate?
A) You will be required to pay a penalty fee for withdrawing; B) You may discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled; C) Your health insurance will be cancelled; D) You will be obligated to continue participating in other unrelated research studies.

Correct answer: B"
6,Identification of any procedures which are experimental,"Which aspect of the study is considered experimental according to the consent form?
A) The use of the FDA-approved ExactVu device for micro-ultrasound imaging of the prostate;
B) The use of investigational software in conjunction with the ExactVu device;
C) The process of comparing ultrasound images with pathology reports;
D) The routine prostate biopsy or radical prostatectomy for prostate cancer treatment.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants is the research study aiming to enroll?
A) 50 participants; B) 100 participants; C) 150 participants; D) 200 participants
Correct answer: B) 100 participants"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks associated with participating in the micro-ultrasound imaging study for prostate cancer detection?
A) Significant risk of radiation exposure; B) High likelihood of severe allergic reactions; C) Minimal to none, with no anticipated harm; D) Risk of long-term tissue damage

Correct answer: C"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the prostate cancer micro-ultrasound imaging study?
A) Participants will receive financial compensation for their involvement in the study.
B) Participants will directly benefit from improved prostate cancer detection during the study.
C) Participants' involvement may help develop better diagnostic tools for future prostate cancer patients.
D) Participants will receive a guarantee of personal health improvement as a result of the study.

Correct answer: C) Participants' involvement may help develop better diagnostic tools for future prostate cancer patients."
