,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the REBECCA project as described in the consent form?
A) The REBECCA project is a commercial product trial.
B) The REBECCA project is a non-research related public survey.
C) The REBECCA project is a research study approved by the Research Ethics Committee.
D) The REBECCA project is a routine medical procedure with no research component.

Correct answer: C) The REBECCA project is a research study approved by the Research Ethics Committee."
1,An explanation of the purposes of the research,"What is the primary goal of the REBECCA-INCLIVA-Inter-QoL study?
A) To compare the effectiveness of different chemotherapy drugs; B) To assess the impact of a new surgical technique on breast cancer; C) To evaluate the use of ""real-world data"" to improve patient quality of life during chemotherapy or radiotherapy; D) To determine the best nutritional plan for breast cancer patients undergoing treatment.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for each subject in the REBECCA-INCLIVA-Inter-QoL study?
A) 6 months; B) 18 months; C) 12 months; D) 24 months
Correct answer: B) 18 months"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs to the subject for participating in the REBECCA study?
A) Subjects will incur additional costs for the use of the REBECCA system and mobile devices.
B) Subjects will be charged for the supportive telephone consultations provided during the study.
C) There are no additional costs mentioned for subjects participating in the study.
D) Subjects must pay for the activity bracelet or smartwatch used to collect data.

Correct answer: C) There are no additional costs mentioned for subjects participating in the study."
4,A description of the procedures to be followed,"Which of the following best describes the procedures that participants in the Intervention Group of the REBECCA-INCLIVA-Inter-QoL study will follow?

A) Participants will only receive standard medical care without any additional support or technology.
B) Participants will be asked to use a smartwatch and mobile applications to provide real-world data, and may receive telephone support consultations based on this data.
C) Participants will be required to attend weekly in-person meetings at the University Clinical Hospital of Valencia for the duration of the study.
D) Participants will be given a placebo treatment and will not be monitored or contacted by the study team during the study.

Correct answer: B) Participants will be asked to use a smartwatch and mobile applications to provide real-world data, and may receive telephone support consultations based on this data."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your medical care if you choose to withdraw from the REBECCA study at any time?
A) Your medical care will be discontinued; B) Your medical care will be limited to non-chemotherapy treatments; C) Your medical care will remain unaffected; D) You will be required to pay for the medical care received during the study

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered an experimental procedure in the REBECCA-INCLIVA-Inter-QoL study?
A) Standard treatment with chemotherapy or radiotherapy;
B) Supportive telephone consultations providing general advice on recommended lifestyle habits;
C) Use of the REBECCA system to collect real-world data through mobile devices and apps;
D) Routine medical visits and standard clinical practice.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the REBECCA-INCLIVA-Inter-QoL study?
A) 50; B) 100; C) 110; D) 150

Correct answer: C) 110"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the REBECCA -INCLIVA -Inter-QoL study as described in the consent form?
A) Exposure to high levels of radiation from the activity bracelet; B) The need to spend a significant amount of time daily interacting with mobile devices and apps; C) The risk of severe allergic reactions to the materials of the activity bracelet; D) The possibility of personal data being shared publicly without consent.

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following statements best describes the potential benefits of participating in the REBECCA-INCLIVA-Inter-QoL study?

A) Participants will definitely experience an improvement in the prognosis and treatment of breast cancer.
B) Participants may not receive any direct benefit regarding the prognosis and treatment of breast cancer, but the study could help improve future patients' quality of life and satisfaction with treatment.
C) Participants will receive financial compensation for contributing to the improvement of breast cancer treatments.
D) Participants will be guaranteed a cure for their breast cancer by participating in the study.

Correct answer: B) Participants may not receive any direct benefit regarding the prognosis and treatment of breast cancer, but the study could help improve future patients' quality of life and satisfaction with treatment."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to participants who choose not to use the REBECCA system in the study?
A) Participants can opt for standard clinical practice without additional support; B) Participants will be required to use a different mobile application for data collection; C) Participants will not receive any medical care or follow-up; D) Participants will receive the same telephone consultations without the use of the REBECCA system.
Correct answer: D"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have restricted access to your personally identified information according to the REBECCA study consent form?
A) Only the principal investigator and the study team;
B) Competent authorities, the Research Ethics Committee, and authorized sponsor personnel for data verification purposes;
C) All hospital staff members;
D) Any third-party advertisers for marketing purposes.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the REBECCA study consent form indicate regarding compensation and medical treatment if a participant is injured during the study?
A) Participants will receive financial compensation and free medical treatment if injured.
B) The consent form does not mention any compensation or medical treatment for injuries.
C) Participants will receive medical treatment, but no financial compensation for injuries.
D) Participants will be provided with information on where to obtain medical treatment if injured, but no compensation is mentioned.

Correct answer: B) The consent form does not mention any compensation or medical treatment for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have any doubts or require further clarification about the REBECCA study, whom should you contact?
A) The Data Protection Agency; B) The principal investigator, Dr. Cristina Hernando Melià; C) The Research Ethics Committee; D) A family member or friend

Correct answer: B) The principal investigator, Dr. Cristina Hernando Melià"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your ability to withdraw from the REBECCA study?

A) You can withdraw at any time, but it may affect your medical care.
B) You can withdraw at any time, without having to provide a reason, and it will not affect your medical care.
C) You cannot withdraw once you have agreed to participate in the study.
D) Withdrawing from the study will result in a penalty or loss of medical benefits you are entitled to.

Correct answer: B) You can withdraw at any time, without having to provide a reason, and it will not affect your medical care."
