,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the PReVenT study as described in the consent form?
A) The PReVenT study is a commercial service offered to patients.
B) The PReVenT study is a research project designed to improve adherence to breast cancer screening.
C) The PReVenT study is a mandatory program for all patients at the healthcare facility.
D) The PReVenT study is a new medication trial for breast cancer treatment.

Correct answer: B) The PReVenT study is a research project designed to improve adherence to breast cancer screening."
1,An explanation of the purposes of the research,"What is the primary goal of the PReVenT research study?
A) To test a new breast cancer treatment; B) To improve patient recovery times after surgery; C) To enhance adherence to breast cancer screening through patient reminders and self-referrals; D) To compare the effectiveness of different breast cancer screening methods.

Correct answer: C) To enhance adherence to breast cancer screening through patient reminders and self-referrals."
2,The expected duration of the subject's participation,"How long is the expected duration of participation for subjects in the PReVenT study?
A) 3 months; B) 6 months; C) 12 months; D) 9 months

Correct answer: B"
3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding additional costs to the subject in the PReVenT study?
A) Subjects will incur additional costs for the reminders and self-referrals via online patient portals and text messaging.
B) Subjects will be responsible for the costs of any medical care or treatments that are not part of the study.
C) There are no additional costs to the subjects for participating in the study.
D) Subjects will have to pay for the use of the online patient portal and text messaging services.

Correct answer: C) There are no additional costs to the subjects for participating in the study."
4,A description of the procedures to be followed,"Which of the following best describes the initial step a participant will take after being enrolled in the PReVenT study?
A) Participants will immediately begin receiving breast cancer screening reminders via text messaging.
B) Participants will be asked to complete a baseline health questionnaire.
C) Participants will be given an iPad with a pre-installed patient portal application.
D) Participants will be randomized to either the control group or the intervention group.

Correct answer: D"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you decide to withdraw from the PReVenT study at any point?
A) You will be required to pay a penalty for early withdrawal; B) You will be asked to participate in an exit interview to discuss your reasons for leaving; C) Your access to the online patient portal will be immediately revoked; D) You can leave the study at any time without any consequences to the care you receive from your healthcare provider.

Correct answer: D"
6,Identification of any procedures which are experimental,"Which of the following components of the PReVenT study is considered experimental?
A) Standard clinic visits for breast cancer screening; B) Use of online patient portals and text messaging for patient reminders and self-referrals; C) Routine physical examinations for breast cancer screening; D) Review of medical history as part of the screening process.
Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the PReVenT study for improving adherence to breast cancer screening?
A) 50; B) 100; C) 150; D) 200

Correct answer: B"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the PReVenT study?
A) Risk of allergic reactions to study medications; B) Risk of data breach and loss of confidentiality; C) Risk of increased cancer due to participation; D) Risk of physical injury during exercise tests

Correct answer: B) Risk of data breach and loss of confidentiality"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the PReVenT study for breast cancer screening adherence?
A) Guaranteed early detection of breast cancer
B) Personalized medical advice for breast cancer treatment
C) Receiving educational materials about breast cancer screening
D) A reduction in the cost of breast cancer screening

Correct answer: C) Receiving educational materials about breast cancer screening"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative options available to you if you choose not to participate in the PReVenT study for improving adherence to breast cancer screening?
A) You can opt for regular screening reminders from your healthcare provider; B) There are no alternative options provided by the study; C) You will be automatically enrolled in a different study; D) You will receive a personalized breast cancer screening plan.

Correct answer: A"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected in the PReVenT study?
A) Your health information will be shared publicly for educational purposes.
B) Your health information will be disclosed to third-party marketers.
C) Your health information will be kept confidential, with access limited to authorized study personnel.
D) All your health information will be published in the study results without any confidentiality measures.

Correct answer: C"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","If you experience an injury as a result of participating in this study, which of the following statements is true regarding compensation and medical treatment?
A) Participants will receive free medical treatment for any study-related injuries.
B) Participants will receive financial compensation for any study-related injuries.
C) The study has arranged for emergency treatment and professional services, but not free treatment or payment for injuries.
D) All medical costs for injuries sustained during the study will be billed to the participant's insurance.

Correct answer: C) The study has arranged for emergency treatment and professional services, but not free treatment or payment for injuries."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If a participant in the PReVenT study experiences a research-related injury, whom should they contact for assistance?
A) The participant's personal physician; B) The study's principal investigator; C) The hospital's legal department; D) The Committee for the Protection of Human Subjects at the University of Texas Health Science Center at Houston
Correct answer: D"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","Which of the following statements is true regarding your participation in the PReVenT study for improving adherence to breast cancer screening?
A) Participation is mandatory and required by law.
B) If you refuse to participate, you will lose access to certain medical benefits.
C) You can decide to stop participating at any time without any penalty or loss of benefits you are entitled to.
D) Discontinuing participation in the study will result in a penalty fee.

Correct answer: C) You can decide to stop participating at any time without any penalty or loss of benefits you are entitled to."
