,Topics,Questions
0,A statement that the study involves research,"Which of the following statements is true regarding the nature of the Community Support Program for Lung Cancer Screening?

A) It is a commercial service program for general health check-ups.
B) It is a research study aimed at improving lung cancer screening attendance.
C) It is a routine medical procedure for treating lung cancer patients.
D) It is a non-research related community event for health awareness.

Correct answer: B) It is a research study aimed at improving lung cancer screening attendance."
1,An explanation of the purposes of the research,"What is the primary goal of the Community Support Program for Lung Cancer Screening (CSP-LCS) research study?
A) To evaluate the effectiveness of a new lung cancer medication; B) To assess the impact of community support on lung cancer treatment outcomes; C) To improve attendance at lung cancer screening follow-up appointments through community support; D) To compare different lung cancer screening technologies

Correct answer: C"
2,The expected duration of the subject's participation,"How long will your participation in the Community Support Program for Lung Cancer Screening study last?
A) Until after your scheduled appointment; B) For the entire 12 months of the study duration; C) For a period of 1 year after your appointment; D) Indefinitely, as long as the study continues

Correct answer: A) Until after your scheduled appointment"
3,Any additional costs to the subject that may result from participation in the research,"What costs will participants be responsible for during the study?

A) Participants will be responsible for any costs exceeding the $30 Lyft voucher limit for transportation.
B) Participants will be responsible for the full cost of transportation to and from their appointment.
C) Participants will be responsible for any deductibles or co-pays as per their insurance for routine office visits, scans, and blood work.
D) Participants will incur additional costs for participating in the survey after their screening.

Correct answer: C) Participants will be responsible for any deductibles or co-pays as per their insurance for routine office visits, scans, and blood work."
4,A description of the procedures to be followed,"What will happen after you enroll in the Community Support Program for Lung Cancer Screening study?

A) A community support program representative (CSPR) will contact you only through My Penn Medicine.
B) You will be required to arrange your own transportation to and from your appointment.
C) A CSPR will assist you with travel arrangements and appointment scheduling, and you may be contacted for a post-screening survey.
D) You will be automatically enrolled in a long-term lung cancer treatment program.

Correct answer: C) A CSPR will assist you with travel arrangements and appointment scheduling, and you may be contacted for a post-screening survey."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the Community Support Program for Lung Cancer Screening study?

A) You will be required to reimburse the cost of the Lyft voucher provided for travel.
B) Withdrawing from the study will result in the cancellation of your lung cancer screening appointment.
C) You may withdraw at any time, and it will not affect your future medical care or access to services.
D) You will have to provide a reason for your withdrawal to the research team, and it will be recorded in the study results.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is an experimental procedure being tested in the Community Support Program for Lung Cancer Screening study?
A) Routine office visits and blood work for lung cancer screening; B) Use of a community support program representative to assist with appointment attendance; C) Standard lung cancer screening with low dose CT (LDCT); D) Collection of demographic information and appointment attendance for research purposes.

Correct answer: B"
7,The approximate number of subjects involved in the study,"How many participants do the researchers at Penn plan to enroll in the Community Support Program for Lung Cancer Screening study?
A) 100-250; B) 250-400; C) 450-600; D) 600-750
Correct answer: C) 450-600"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the Community Support Program for Lung Cancer Screening study?
A) Risk of privacy breach due to data sharing; B) Physical side effects from medical procedures; C) Financial costs exceeding the provided travel voucher limit; D) Discomfort from participating in lengthy study procedures

Correct answer: A"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What are the potential benefits of participating in the Community Support Program for Lung Cancer Screening study?

A) Participants will receive a comprehensive health insurance plan.
B) Participants will receive financial support for travel to their screening appointments and contribute to improving lung cancer screening attendance.
C) Participants will be cured of any lung conditions they may have.
D) Participants will receive a new lung screening technology not available to the public.

Correct answer: B) Participants will receive financial support for travel to their screening appointments and contribute to improving lung cancer screening attendance."
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What alternative options are available to you if you choose not to participate in the Community Support Program for Lung Cancer Screening study?
A) You will be provided with a private car service for your medical appointments;
B) You will still have your scheduled lung cancer screening appointment without the additional support from the study;
C) You will receive a personal health coach to assist with your healthcare needs;
D) You will be enrolled in a different study focused on lung health improvement.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","How will the University of Pennsylvania protect your personal information during the study?
A) By publishing your name and personal information for research transparency;
B) By using password-protected computer files and limiting access to study staff;
C) By sharing all your personal information with the public;
D) By not collecting any personal information at all.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What does the consent form indicate about compensation and medical treatment if a participant is injured during the study?

A) Participants will receive financial compensation for any injuries sustained during the study.
B) The study will cover all medical treatments required for injuries directly caused by the study.
C) The consent form does not specify any compensation or medical treatments for injuries related to the study.
D) Participants will receive a stipend to cover any medical expenses resulting from study-related injuries.

Correct answer: C) The consent form does not specify any compensation or medical treatments for injuries related to the study."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have questions about your rights as a research participant or wish to discuss problems or concerns related to the study, whom should you contact?

A) The Institutional Review Board (IRB) at the University of Pennsylvania;
B) The Principal Investigator (PI) of the study;
C) The local health department;
D) Your personal healthcare provider.

Correct answer: A) The Institutional Review Board (IRB) at the University of Pennsylvania;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does it mean for your participation in the Community Support Program for Lung Cancer Screening study to be voluntary?

A) You are required to participate and may face penalties if you choose not to.
B) Your participation is mandatory once you begin, and you cannot withdraw.
C) You can choose to participate or not, and you can withdraw at any time without any penalties or loss of benefits you are entitled to.
D) You will lose access to certain medical benefits if you decide not to participate or if you choose to withdraw from the study.

Correct answer: C"
