,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the FearLess study for patients with glioma?
A) The study is a routine medical treatment for glioma without any research components.
B) The study is a commercial service offered to improve quality of life for patients with glioma.
C) The study is a research project designed to evaluate a new therapy approach for patients with glioma.
D) The study is a peer support group for glioma patients without any structured therapy or research.

Correct answer: C) The study is a research project designed to evaluate a new therapy approach for patients with glioma."
1,An explanation of the purposes of the research,"What is the primary goal of the FearLess intervention program being studied?
A) To provide financial assistance to patients with glioma; B) To evaluate the effectiveness of a new medication for brain tumors; C) To assess the potential benefits of the intervention on mood and quality of life in brain tumor patients; D) To compare the outcomes of traditional and alternative cancer treatments.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected total duration of participation for a subject in the FearLess study for patients with glioma?
A) 1-2 months; B) 3-4 months; C) 6-8 months; D) 9-12 months
Correct answer: B) 3-4 months"
3,Any additional costs to the subject that may result from participation in the research,"What financial costs will you be responsible for if you decide to participate in the FearLess intervention study for patients with glioma?
A) You will have to pay for the FearLess intervention sessions.
B) You will be responsible for the costs of medical treatments related to the study.
C) There are no financial costs for participating in the study, but your time will be required.
D) You will need to purchase equipment for the Zoom sessions.

Correct answer: C) There are no financial costs for participating in the study, but your time will be required."
4,A description of the procedures to be followed,"What is the expected total duration of participation for a patient enrolled in the FearLess intervention program?

A) Approximately 1-2 months
B) Approximately 3-4 months
C) Approximately 5-6 months
D) Approximately 7-8 months

Correct answer: B) Approximately 3-4 months"
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will be the impact on your medical care if you choose to withdraw from the FearLess study?
A) You will lose access to all medical care at VCU Massey Cancer Center; B) Your medical care, employment status, or academic standing at VCU will be negatively affected; C) Withdrawing from the study will not affect your medical care or any other services you are entitled to; D) You will be required to reimburse the cost of any therapy sessions you attended

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental component of the FearLess study for patients with glioma?
A) Regular neuropsychological evaluations and recommendations from Dr. Loughan as part of usual care;
B) Completion of online surveys about fear of cancer recurrence, mood, and quality of life;
C) Accessing treatment for mental health or cognitive concerns related to diagnosis and treatment;
D) Participation in weekly Zoom sessions with a study clinician as part of the FearLess intervention program.

Correct answer: D"
7,The approximate number of subjects involved in the study,"How many participants are expected to be enrolled in the FearLess intervention program for patients with glioma?
A) 20-30 participants; B) 50-60 participants; C) 100-120 participants; D) The exact number is not specified in the consent form.
Correct answer: D) The exact number is not specified in the consent form."
8,A description of any reasonably foreseeable risks or discomforts to the subject,"Which of the following is a potential risk associated with participating in the FearLess study for patients with glioma?
A) Risk of severe allergic reactions to medications used in the study; B) Risk of emotional distress when discussing psychological and emotional health; C) Risk of significant cognitive decline due to study procedures; D) Risk of data breach resulting in public exposure of personal financial information.

Correct answer: B"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit that participants may experience from the FearLess intervention program for patients with glioma?
A) Guaranteed cure for glioma
B) Improvement in mood and quality of life
C) Financial compensation for medical expenses
D) Access to exclusive medical treatments not available to non-participants

Correct answer: B) Improvement in mood and quality of life"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you choose not to participate in the FearLess intervention program, what standard care options are available to you at the clinic?
A) You will receive a specialized yoga program tailored to your fitness level; 
B) You will have access to regular neuropsychological evaluations and recommendations from Dr. Loughan; 
C) You will be enrolled in an alternative experimental drug trial; 
D) You will be provided with a series of self-help books on coping with brain tumors.

Correct answer: B"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal health information will be protected if you participate in the FearLess study?
A) Your personal health information will be shared publicly to promote the study.
B) Your personal health information will be kept private and stored securely, with access limited to authorized individuals.
C) Your personal health information will be disclosed to all study sponsors without any restrictions.
D) Your personal health information will be used for marketing purposes unrelated to the study.

Correct answer: B"
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants if they experience injury as a result of their participation in the FearLess study?
A) Free medical treatment for the injury
B) A specific insurance policy covering injuries related to the study
C) No specific compensation for injuries is mentioned
D) A stipend to cover any medical expenses incurred due to injury

Correct answer: C) No specific compensation for injuries is mentioned"
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have any questions or concerns about your rights as a participant in the FearLess study, whom should you contact?

A) The Principal Investigator, Dr. Ashlee Loughan;
B) Virginia Commonwealth University Office of Research;
C) Your personal physician;
D) The Department of Health and Human Services (DHHS).

Correct answer: B) Virginia Commonwealth University Office of Research;"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you choose not to participate or decide to withdraw from the FearLess study at any time?
A) You will incur a penalty and lose benefits you are entitled to.
B) Your medical care, employment status, or academic standing at VCU may be negatively affected.
C) There will be no penalty or loss of benefits you are otherwise entitled to, and it will not affect your medical care or other entitlements.
D) You will be required to pay for the costs of the study sessions you have attended.

Correct answer: C) There will be no penalty or loss of benefits you are otherwise entitled to, and it will not affect your medical care or other entitlements."
