,Topics,Questions
0,A statement that the study involves research,"Which of the following statements best describes the nature of the PROMOTE Pilot Study as outlined in the consent form?
A) The study is a commercial marketing campaign for HPV vaccinations.
B) The study is a routine vaccination program without any research components.
C) The study is a research project aimed at understanding pharmacy staff's perspectives on HPV vaccination delivery.
D) The study is a mandatory government vaccination initiative for children.

Correct answer: C) The study is a research project aimed at understanding pharmacy staff's perspectives on HPV vaccination delivery."
1,An explanation of the purposes of the research,"What is the primary goal of the PROMOTE Pilot Study?
A) To evaluate the effectiveness of a new blood pressure medication in pharmacies;
B) To assess the impact of pharmacy staff training on the sale of over-the-counter medications;
C) To understand pharmacy staff perspectives on delivering HPV vaccinations to children in pharmacies;
D) To compare different brands of HPV vaccines for effectiveness.

Correct answer: C"
2,The expected duration of the subject's participation,"How long is the expected duration of participation for pharmacy staff members in the PROMOTE Pilot Study?
A) 1-2 months; B) 3-5 months; C) 6-12 months; D) Over a year

Correct answer: B) 3-5 months"
3,Any additional costs to the subject that may result from participation in the research,"What compensation will participants receive for their involvement in the PROMOTE Pilot Study?
A) Participants will not receive any compensation.
B) Participants will receive $40 cash for completing both surveys.
C) Participants will be reimbursed for any additional costs incurred.
D) Participants will receive a discount on future pharmacy services.

Correct answer: B) Participants will receive $40 cash for completing both surveys."
4,A description of the procedures to be followed,"What steps are involved for pharmacy staff members who agree to participate in the PROMOTE Pilot Study?
A) Complete a single 30-minute online survey and attend one 30-minute training session.
B) Complete two online surveys, each taking 10-15 minutes, and attend two 60-minute training sessions.
C) Participate in a single in-person training session and provide personal health information for the study.
D) Attend a series of weekly meetings for the duration of the study and submit daily reports on HPV vaccination communications.

Correct answer: B) Complete two online surveys, each taking 10-15 minutes, and attend two 60-minute training sessions."
5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen if you choose to withdraw from the PROMOTE Pilot Study at any point?
A) You will be required to complete the remaining surveys and training sessions; B) Your employment at the pharmacy may be terminated; C) You can stop participating at any time without any impact on your employment; D) You will have to reimburse the $40 cash received for participating.

Correct answer: C"
6,Identification of any procedures which are experimental,"Which of the following is considered the experimental procedure in the PROMOTE Pilot Study?
A) Completing standard surveys about pharmacy practices;
B) Attending regular staff meetings at the pharmacy;
C) Implementing a new communication strategy for promoting HPV vaccinations;
D) Providing routine HPV vaccinations to patients.

Correct answer: C"
7,The approximate number of subjects involved in the study,"How many pharmacy staff members are expected to complete the pre/post surveys in the PROMOTE Pilot Study?
A) 10; B) 15; C) 20; D) 25
Correct answer: D"
8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts that participants might experience in the PROMOTE Pilot Study?
A) Risk of a breach of privacy due to data collection; B) Physical side effects from HPV vaccination; C) Discomfort from the 60-minute training sessions; D) There are no anticipated risks or discomforts associated with participating in this study.

Correct answer: D"
9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"What is one potential benefit for pharmacy staff participating in the PROMOTE Pilot Study?
A) Guaranteed improvement in personal health
B) Receiving a $40 cash incentive for completing both surveys
C) Automatic promotion within their current place of employment
D) Personal identification in published study results

Correct answer: B) Receiving a $40 cash incentive for completing both surveys"
10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","If you decide not to participate in the PROMOTE Pilot Study, what is an alternative option available to you?
A) You will be required to attend the training sessions without participating in the study; 
B) You will not have any alternative options and must participate in the study; 
C) You can continue your usual pharmacy practice without employing the new communication strategy; 
D) You will be automatically enrolled in a different study related to HPV vaccination.

Correct answer: C"
11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Which of the following statements best describes how your personal information will be handled if you participate in the PROMOTE Pilot Study?
A) Your personal information will be shared publicly with your name and contact details.
B) Your personal information will be stored with identifying information for future contact.
C) Your personal information will be kept confidential and stored without identifying information.
D) Your personal information will be disclosed to all pharmacy customers for transparency.

Correct answer: C) Your personal information will be kept confidential and stored without identifying information."
12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants for their involvement in the PROMOTE Pilot Study?
A) Participants will receive $40 cash for completing both surveys.
B) Participants will receive medical treatments if injury occurs during the study.
C) Participants will receive a percentage of the study's profits.
D) No compensation is provided to participants.

Correct answer: A) Participants will receive $40 cash for completing both surveys."
13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have concerns about your rights as a participant in the PROMOTE Pilot Study, whom should you contact?
A) The primary investigator, Dr. Parth Shah; B) The Director of the Fred Hutch Institutional Review Office; C) The Washington State Pharmacy Association; D) Your personal healthcare provider
Correct answer: B) The Director of the Fred Hutch Institutional Review Office"
14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What will happen if you decide not to participate in the PROMOTE Pilot Study or if you choose to withdraw at any point during the study?
A) You will incur a penalty and may lose benefits.
B) Your employment at the pharmacy may be affected.
C) You will not face any penalty or loss of benefits you are otherwise entitled to.
D) You will be required to complete the study once you consent to participate.

Correct answer: C) You will not face any penalty or loss of benefits you are otherwise entitled to."
