,Unnamed: 0,Topics,Questions
0,0,A statement that the study involves research,"Which of the following statements best describes the nature of the eHOPE study?

A) The eHOPE study is a commercial program for general public health improvement.
B) The eHOPE study is a non-research educational program for parents.
C) The eHOPE study is a research trial to evaluate the feasibility and effectiveness of information support for parents of children with haematological cancer.
D) The eHOPE study is a mandatory government program for all parents with children diagnosed with cancer.

Correct answer: C) The eHOPE study is a research trial to evaluate the feasibility and effectiveness of information support for parents of children with haematological cancer."
1,1,An explanation of the purposes of the research,"What is the primary objective of the eHOPE study?
A) To provide financial assistance to parents of children with haematological cancer
B) To evaluate the impact of a new chemotherapy drug on haematological cancer
C) To assess the feasibility and preliminary effectiveness of eHOPE in supporting parents through information support
D) To compare the effectiveness of eHOPE with traditional in-person support groups

Correct answer: C"
2,2,The expected duration of the subject's participation,"How long is the expected participation period for parents in the eHOPE feasibility study?
A) 4 weeks; B) 8 weeks; C) 12 weeks; D) 6 months

Correct answer: B) 8 weeks"
3,3,Any additional costs to the subject that may result from participation in the research,"Which of the following statements is true regarding any additional costs you may incur as a result of participating in the eHOPE study?
A) You will have to pay for the eHOPE content development costs and Xperiencify fees.
B) Your child's treatment costs will be covered by the study.
C) You will be responsible for your child's treatment costs, but you will receive an honorarium to compensate for your time and internet use at the end of the study.
D) There are no additional costs; all study-related expenses are paid for by the sponsor.

Correct answer: C) You will be responsible for your child's treatment costs, but you will receive an honorarium to compensate for your time and internet use at the end of the study."
4,4,A description of the procedures to be followed,"What steps will participants need to take after enrolling in the eHOPE study?

A) Participants will be required to attend weekly in-person meetings at the hospital.
B) Participants will be given a specific diet plan to follow for their child's condition.
C) Participants will need to complete questionnaires at the beginning and at the 8th week of the study.
D) Participants will be asked to provide daily blood samples for the duration of the study.

Correct answer: C) Participants will need to complete questionnaires at the beginning and at the 8th week of the study."
5,5,The consequences of a subject's decision to withdraw from the research and procedures for orderly termination of participation by the subject,"What will happen to the data collected from you if you choose to withdraw from the eHOPE study?
A) The data collected will be destroyed and not used in the study;
B) The data collected up to the point of withdrawal will still be used in the study;
C) Withdrawing from the study will result in a penalty fee;
D) Your child's future treatment will be affected if you withdraw.

Correct answer: B"
6,6,Identification of any procedures which are experimental,"Which component of the eHOPE study is considered experimental?
A) Routine care and information provided by healthcare professionals during scheduled appointments;
B) Access to a website with general information about childhood cancers;
C) The use of the eHOPE website to provide targeted information support and activities for parents of children with haematological cancer;
D) Completion of questionnaires at the beginning and end of the study.

Correct answer: C"
7,7,The approximate number of subjects involved in the study,"How many participants will be enrolled in the eHOPE feasibility study?
A) 32; B) 64; C) 96; D) 128

Correct answer: B) 64"
8,8,A description of any reasonably foreseeable risks or discomforts to the subject,"What are the potential risks or discomforts associated with participating in the eHOPE feasibility study?
A) Risk of physical injury from medical procedures; B) Discomfort from discussing personal health information; C) Risk of a breach of confidentiality regarding personal health data; D) Side effects from trial medications

Correct answer: C"
9,9,A description of any benefits to the subject or to others which may reasonably be expected from the research,"Which of the following is a potential benefit of participating in the eHOPE study for parents of children with haematological cancer?

A) Guaranteed improvement in the child's health condition.
B) Special access to the eHOPE website with tailored information for Malaysian parents.
C) Financial compensation for the child's treatment costs.
D) A physical risk reduction associated with the treatment of haematological cancer.

Correct answer: B) Special access to the eHOPE website with tailored information for Malaysian parents."
10,10,"A disclosure of appropriate alternative procedures or courses of treatment, if any, that might be advantageous to the subject","What are the alternative options for obtaining supportive information if you choose not to participate in the eHOPE study?
A) You can only receive information from your child's healthcare provider; B) You must find another clinical trial for supportive information; C) You are free to seek supportive information from other websites or your child's healthcare provider; D) There are no alternatives available outside of the eHOPE study.

Correct answer: C"
11,11,"A statement describing the extent, if any, to which confidentiality of records identifying the subject will be maintained","Who will have access to your personal and medical information obtained during the study, and how will your confidentiality be protected?
A) Only the principal investigator and no one else; 
B) Study staff, qualified monitors and auditors, the sponsor or its affiliates, and governmental or regulatory authorities, with all personal details treated as strictly confidential;
C) All hospital staff and the general public;
D) Only other participants in the study.

Correct answer: B"
12,12,"For research involving more than minimal risk, an explanation as to whether any compensation, and an explanation as to whether any medical treatments are available, if injury occurs and, if so, what they consist of, or where further information may be obtained","What compensation is provided to participants in the eHOPE feasibility study if they experience any issues related to the study?

A) Participants will receive free medical treatment for any injuries.
B) Participants will be compensated for their time and internet use at the end of the study.
C) Participants will receive a stipend for each questionnaire completed during the study.
D) Participants will be provided with insurance coverage for any study-related injuries.

Correct answer: B) Participants will be compensated for their time and internet use at the end of the study."
13,13,"Research, Rights or Injury: An explanation of whom to contact for answers to pertinent questions about the research and research subjects' rights, and whom to contact in the event of a research-related injury to the subject","If you have questions about your rights as a participant in the eHOPE study, whom should you contact?

A) The Secretary, Medical Research & Ethics Committee, Ministry of Health Malaysia
B) The principal investigator of the study
C) The sponsor of the study
D) Your child's healthcare provider

Correct answer: A) The Secretary, Medical Research & Ethics Committee, Ministry of Health Malaysia"
14,14,"A statement that participation is voluntary, refusal to participate will involve no penalty or loss of benefits to which the subject is otherwise entitled, and the subject may discontinue participation at any time without penalty or loss of benefits, to which the subject is otherwise entitled","What does the consent form state about your right to withdraw from the eHOPE study?

A) Withdrawing from the study will result in a loss of benefits for your child's treatment.
B) You may withdraw from the study at any time, but your child's treatment costs will then become your responsibility.
C) You can withdraw from the study at any time without affecting your child's medical care or entitlement to benefits.
D) If you withdraw from the study, you will have to reimburse the cost of any treatments received.

Correct answer: C) You can withdraw from the study at any time without affecting your child's medical care or entitlement to benefits."
